Year,World
2012,
2013,
2014,425100.0927459233
2015,432744.33271541126
2016,440570.7170780783
2017,448545.04628129123
2018,456671.2102148752
2019,464953.0987686553
2020,473394.6018324567
2021,484265.66885933373
2022,495304.13017588225
2023,506513.87567192724
2024,517898.79523729405
2025,529462.7787618076
2026,541209.7161352931
2027,553143.4972475755
2028,565268.0119884803
2029,577587.1502478323
2030,590104.8019154565
2031,602824.8568811782
2032,615751.2050348226
2033,628887.7362662145
2034,642238.3404651793
2035,655806.907521542
2036,669597.3273251278
2037,683613.4897657615
2038,697859.2847332688
2039,712338.6021174742
2040,727055.331808203
2041,742013.3636952806
2042,757216.5876685317
2043,772668.8936177817
2044,788374.1714328555
2045,804336.3110035784
2046,820559.2022197754
2047,837046.7349712716
2048,853802.799147892
2049,870831.2846394621
2050,888136.0813358068
2051,905721.0791267509
2052,923590.1679021199
2053,941747.2375517389
2054,960196.1779654326
2055,978940.8790330268
2056,997985.2306443461
2057,1017333.1226892155
2058,1036988.4450574608
2059,1056955.087638906
2060,1077236.9403233775
