Year,World
2012,
2013,
2014,425100.0927459233
2015,432584.36789558176
2016,440247.9754945531
2017,448057.49741193384
2018,456016.72085935937
2019,464129.4330484649
2020,472399.4211908857
2021,483096.53206148633
2022,493958.49330867286
2023,504989.0921440804
2024,516192.11577934446
2025,527571.3514261002
2026,539130.5862959829
2027,550873.6076006279
2028,562804.2025516706
2029,574926.1583607461
2030,587243.2622394896
2031,599759.3013995365
2032,612478.0630525223
2033,625403.3344100819
2034,638538.9026838507
2035,651888.555085464
2036,665456.0788265574
2037,679245.2611187657
2038,693259.8891737245
2039,707503.750203069
2040,721980.6314184342
2041,736694.320031456
2042,751648.6032537691
2043,766847.2682970092
2044,782294.1023728112
2045,797992.8926928106
2046,813947.4264686427
2047,830161.4909119427
2048,846638.8732343459
2049,863383.3606474878
2050,880398.7403630035
2051,897688.799592528
2052,915257.325547697
2053,933108.1054401457
2054,951244.9264815091
2055,969671.5758834231
2056,988391.8408575223
2057,1007409.5086154422
2058,1026728.3663688187
2059,1046352.2013292859
2060,1066284.8007084802
