Year,World
2012,
2013,
2014,425100.0927459233
2015,433757.39975392265
2016,442598.7257843452
2017,451589.35033673793
2018,460733.23175305256
2019,470034.3283752408
2020,479496.59854525427
2021,489124.00060504465
2022,498920.4928965636
2023,508890.03376176266
2024,519036.5815425938
2025,530723.730318946
2026,542595.8026948331
2027,554656.7570122073
2028,566910.5516130201
2029,579361.144839223
2030,592012.4950327678
2031,604868.560535606
2032,617933.2996896894
2033,631210.6708369697
2034,644704.6323193985
2035,658419.1424789273
2036,672358.159657508
2037,686525.6421970922
2038,700925.5484396316
2039,715561.8367270777
2040,730438.4654013822
2041,745559.392804497
2042,760928.5772783734
2043,776549.9771649635
2044,792427.5508062185
2045,808565.2565440902
2046,824967.0527205305
2047,841636.8976774908
2048,858578.7497569228
2049,875796.5673007785
2050,893294.308651009
2051,911075.9321495662
2052,929145.3961384019
2053,947506.6589594677
2054,966163.678954715
2055,985120.414466096
2056,1004380.8238355619
2057,1023948.8654050642
2058,1043828.4975165555
2059,1064023.678511986
2060,1084538.3667333089
