Year,World
2012,21534.0
2013,22203.0
2014,22548.0
2015,24255.0
2016,24919.0
2017,25848.88525517477
2018,26340.14241814749
2019,25770.63846604724
2020,26430.51247697329
2021,26578.706334018585
2022,27009.382932361466
2023,27858.38636191867
2024,28784.864291896825
2025,29734.75967278025
2026,30850.099367239323
2027,31977.477911444115
2028,33159.25075753474
2029,34390.40281625841
2030,35520.64985884876
2031,36992.90871256538
2032,38355.48414765593
2033,39750.41775687349
2034,41174.48457105026
2035,42846.500547153984
2036,44213.58795153747
2037,45612.79009027171
2038,47134.44835682756
2039,48669.87062189271
2040,50386.248152714514
2041,51764.334530017266
2042,53313.98222057775
2043,54851.485186252365
2044,56379.793540618695
2045,57662.017129126376
2046,59391.18035338557
2047,60858.06349179287
2048,62291.447226388664
2049,63685.71613197971
2050,64911.07871629241
2051,66395.50535713304
2052,68347.7414956991
2053,70211.82968951066
2054,71832.6222046025
2055,73456.48039874258
2056,75078.78824906402
2057,76701.99294925666
2058,78323.45629633481
2059,79931.53393181368
2060,81531.92175374334
