Year,World
2012,21534.0
2013,22203.0
2014,22548.0
2015,24255.0
2016,24919.0
2017,25848.88525517477
2018,26340.14241814749
2019,25784.25846604724
2020,26504.75247697329
2021,26711.986334018588
2022,27163.932932361466
2023,28060.236361918673
2024,29029.984291896828
2025,30019.249672780246
2026,31161.58936723932
2027,32314.927911444116
2028,33517.99075753474
2029,34766.44281625841
2030,35910.72985884876
2031,37389.46871256539
2032,38757.68414765593
2033,40158.34775687349
2034,41588.86457105027
2035,43268.41054715398
2036,44639.177951537466
2037,46043.95009027171
2038,47567.47835682756
2039,49093.97062189271
2040,50789.90815271451
2041,52144.84453001726
2042,53664.74222057775
2043,55167.00518625236
2044,56650.9935406187
2045,57877.507129126374
2046,59543.35035338558
2047,60941.70349179287
2048,62301.60722638866
2049,63618.346131979706
2050,64762.45871629241
2051,66108.66535713304
2052,67952.9214956991
2053,69836.64968951065
2054,71480.5122046025
2055,73131.62039874258
2056,74785.728249064
2057,76445.81294925667
2058,78109.58629633482
2059,79772.83393181369
2060,81434.97175374335
