Year, World
2012, 21534.00000000000
2013, 22203.00000000000
2014, 22548.29900000000
2015, 24618.92406917750
2016, 25207.15364885060
2017, 25793.30923812670
2018, 26384.33063099220
2019, 27002.68985095660
2020, 27536.20812276510
2021, 28170.95724356500
2022, 28732.54799498470
2023, 29279.65665775830
2024, 29826.32569267570
2025, 30335.61786968770
2026, 30908.43602765280
2027, 31440.07551730620
2028, 31961.75202133420
2029, 32483.48899466140
2030, 33333.92919980250
2031, 34072.56909131490
2032, 34916.60768052010
2033, 35773.38262874340
2034, 36643.12683057120
2035, 37616.30694858670
2036, 38415.59313978220
2037, 39313.88033777780
2038, 40221.70518257710
2039, 41138.83981096460
2040, 41961.72286887260
2041, 43015.62530709270
2042, 43975.41052542810
2043, 44943.71706914090
2044, 45923.73792618610
2045, 46865.81946768700
2046, 47915.37505593380
2047, 48927.28847601250
2048, 49950.28786258090
2049, 50983.74462200800
2050, 52073.21280665920
2051, 52143.85945414110
2052, 53108.37218502950
2053, 54077.80046727320
2054, 55051.98642919610
2055, 56104.79619900210
2056, 57193.70547069920
2057, 58292.05818927630
2058, 59400.75218087940
2059, 60518.40968441380
2060, 61645.04913661100
