Year,World
2012,21534.0
2013,22203.0
2014,22548.0
2015,24096.97749295929
2016,24618.73004232864
2017,25408.39233334452
2018,25764.33845559927
2019,26309.839809083263
2020,26951.679609928775
2021,27568.427437013466
2022,28201.641972431462
2023,28829.08929271107
2024,29451.39971328011
2025,30014.939061626217
2026,30684.748631384235
2027,31296.387470705155
2028,31904.01584534047
2029,32507.947483575892
2030,33050.18822992987
2031,33706.93191578573
2032,34302.60729652175
2033,34896.284468512735
2034,35490.159419198135
2035,36077.811234185974
2036,36673.15377192583
2037,37263.36959476685
2038,37852.83244174302
2039,38441.90204683468
2040,39090.56278718236
2041,39620.1605232613
2042,40209.998208335564
2043,40795.873107971674
2044,41385.34437605373
2045,42046.83456995162
2046,42577.11157710875
2047,43180.395097075896
2048,43789.41814410615
2049,44404.773892870966
2050,45065.326636849786
2051,45862.83507494972
2052,46623.07736895604
2053,47404.17456332536
2054,48194.951496425776
2055,49008.487383337
2056,49888.327977480796
2057,50787.53586909552
2058,51713.027987228015
2059,52643.17696537287
2060,53602.81925365833
