Year, World
2012, 21534.00000000000
2013, 22203.00000000000
2014, 22548.29900000000
2015, 24689.22031414310
2016, 25378.20759047170
2017, 26074.63472780850
2018, 26783.36391748460
2019, 27504.42152694960
2020, 28193.37721351870
2021, 28983.60100149910
2022, 29722.98667122940
2023, 30467.15384084360
2024, 31217.04795587160
2025, 31932.00953749410
2026, 32738.61614965980
2027, 33504.99644372390
2028, 34280.16040412240
2029, 35056.93069107020
2030, 35907.64447490190
2031, 36609.40675837480
2032, 37379.66817861060
2033, 38153.01505550450
2034, 38933.90644204290
2035, 39787.40594523900
2036, 40493.76109969510
2037, 41276.93534929130
2038, 42066.60563469120
2039, 42853.10288687930
2040, 43550.60827118780
2041, 44441.00594240850
2042, 45246.48136814450
2043, 46045.78675015800
2044, 46846.75448700370
2045, 47641.54189680520
2046, 48457.43757815260
2047, 49261.67066283180
2048, 50066.31016890090
2049, 50974.77049762850
2050, 51969.64806628040
2051, 52658.35810526290
2052, 53482.73480175180
2053, 54310.28136039610
2054, 55166.39520691960
2055, 56002.90118012620
2056, 56836.67316592390
2057, 57672.02401120160
2058, 58508.88277790520
2059, 59333.20986884020
2060, 60153.72831753800
