# "The value for CONVENTIONAL Variable Operation & Maintenance (VOM) Cost is
# calculated per functional unit (i.e. per hour of operation). According to
# PJM (2011), VOM costs include expenses such as air filter replacements,
# inspections and overhauls, water treatment expenses, catalyst replacements,
# and major overhaul expenses. Given that these can occur in some cases over
# a number of years, the costs are divided by hours of operation to derive a
# cost per hour of operation, which is why these costs are reported in MWh.
# The MWh values for the IPCC minimum, median, and maximum VOM costs are input
# and then converted to kWh values. These figures on historical generation were
# collected from The World Bank Data in The Shift Project Data Portal
# (http://www.tsp-data-portal.org/Breakdown-of-Electricity-Generation-by-Energy-Source#tspQvChart).
# NOTE: the IPCC uses the following sources for calculating minimum, median,
# and maximum First Cost for coal and natural gas: 
#  Coal PC (Pulverized Coal): Black and Veatch (2012), DEA (2012), IEA/NEA (2010),
#    IEA (2013a), IEA-RETD (2013), Schmidt et al. (2012), US EIA (2013).
#  Gas Combined Cycle: Black and Veatch (2012), DEA (2012), IEA/NEA (2010),
#    IEA (2011),IEA (2013a), IEA-RETD (2013), Schmidt et al. (2012), US EIA (2013).
# Source for PJM definition:
# https://pjm.com/~/media/committees-groups/subcommittees/cds/20110228/20110228-item-06a-cds-educational-paper-for-vom.ashx
#
Source ID, Link, Region, Specific Geographic Location, Source Validation Code, Year, License Code, Raw Data Input, Original Units, Weight
Black and Veatch 2012 - Natural gas Combined Cycle Technology, https://www.bv.com/docs/reports-studies/nrel-cost-report.pdf, , , 2 - Public Sector/ Multilateral Agency, 2012, , 3.67, US$2012/MWh, @energy_mix_natural_gas@
Black and Veatch 2012 - Pulverized Coal Fired Power Generation, https://www.bv.com/docs/reports-studies/nrel-cost-report.pdf, , , 2 - Public Sector/ Multilateral Agency, 2012, , 3.71, US$2012/MWh, @energy_mix_coal@
EnergyNet.DK- advanced pulverized coal fired powerplant, https://energiatalgud.ee/img_auth.php/4/42/Energinet.dk._Technology_Data_for_Energy_Plants._2012.pdf, EU, Denmark, 2 - Public Sector/ Multilateral Agency, 2012, , 7, €2011/MWh, @energy_mix_coal@
EnergyNet.DK - gas turbine combined cycle (back pressure), https://energiatalgud.ee/img_auth.php/4/42/Energinet.dk._Technology_Data_for_Energy_Plants._2012.pdf, EU, Denmark, 2 - Public Sector/ Multilateral Agency, 2012, , 2.5, €2011/MWh, @energy_mix_natural_gas@
EnergyNet.DK - Gas turbine single cycle large scale, https://energiatalgud.ee/img_auth.php/4/42/Energinet.dk._Technology_Data_for_Energy_Plants._2012.pdf, EU, Denmark, 2 - Public Sector/ Multilateral Agency, 2012, , 4, €2011/MWh, @energy_mix_natural_gas@
EnergyNet.DK - gas turbine single cycle medium scale, https://energiatalgud.ee/img_auth.php/4/42/Energinet.dk._Technology_Data_for_Energy_Plants._2012.pdf, EU, Denmark, 2 - Public Sector/ Multilateral Agency, 2012, , 7, €2011/MWh, @energy_mix_natural_gas@
US EIA (2013) Conventional Natural gas Combined Cycle , https://www.eia.gov/outlooks/capitalcost/pdf/updated_capcost.pdf , USA, , 2 - Public Sector/ Multilateral Agency, 2013, , 3.6, US$2012/MWh, @energy_mix_natural_gas@
US EIA (2013) Coal Single Unit Advanced PC, https://www.eia.gov/outlooks/capitalcost/pdf/updated_capcost.pdf , USA, , 2 - Public Sector/ Multilateral Agency, 2013, , 4.47, US$2012/MWh, @energy_mix_coal@
US EIA (2013) Advanced Natural gas Combined Cycle, https://www.eia.gov/outlooks/capitalcost/pdf/updated_capcost.pdf , USA, , 2 - Public Sector/ Multilateral Agency, 2013, , 3.27, US$2012/MWh, @energy_mix_natural_gas@
JRC ETRI (2014) Pulverised Coal Supercritical, http://publications.jrc.ec.europa.eu/repository/handle/JRC92496, EU, , 2 - Public Sector/ Multilateral Agency, 2014, , 3.6, €2013/MWh, @energy_mix_coal@
JRC ETRI (2014) Combined Cycle Gas Turbine Advanced, http://publications.jrc.ec.europa.eu/repository/handle/JRC92496, EU, , 2 - Public Sector/ Multilateral Agency, 2014, , 2, €2013/MWh, @energy_mix_natural_gas@
