Year, World
2012, 21534.00000000000
2013, 22203.00000000000
2014, 22548.29900000000
2015, 24641.81556818450
2016, 25332.06016272470
2017, 26029.41550143790
2018, 26741.67450298040
2019, 27483.18103722190
2020, 28154.40836791750
2021, 28949.97964150440
2022, 29684.52247919110
2023, 30425.41042503180
2024, 31175.81799804630
2025, 31904.39085457530
2026, 32709.58513454750
2027, 33491.95777615800
2028, 34283.25512722300
2029, 35084.46270082730
2030, 35990.81386020540
2031, 36710.27975024480
2032, 37533.84298002710
2033, 38367.87282181750
2034, 39212.88280701240
2035, 40159.76457939490
2036, 40935.45563895750
2037, 41809.43328112020
2038, 42692.10786518650
2039, 43583.95441224110
2040, 44381.35335261610
2041, 45408.61166800320
2042, 46342.26189660570
2043, 47285.19557358560
2044, 48240.25403849790
2045, 49159.61788916580
2046, 50187.66023017960
2047, 51180.56190612540
2048, 52187.62096636090
2049, 53208.83276745500
2050, 54290.10840277330
2051, 55322.78112482230
2052, 56391.90140497770
2053, 57474.96339448840
2054, 58571.08556957840
2055, 59689.96285565150
2056, 60824.82239501570
2057, 61974.16328175980
2058, 63138.37157013000
2059, 64314.77479253140
2060, 65506.36030999570
