"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Metzger 2005,https://www.ag.ndsu.edu/archive/carringt/livestock/Beef%20Report%2005/Costs%20and%20Returns%20for%20Cow.htm,USA,N. Dakota,,1  - Peer Reviewed,2005,,10.47,2005 US$cow,12.668700000000001,US$2014/ ha/ yr,,"cow-calf, average of 11 years and 245 producers; refer table 1",
NSW 2016a,http://www.dpi.nsw.gov.au/__data/assets/pdf_file/0005/175523/16-North-Coast-weaners-unimproved.pdf,OECD90,Australia,,2 - Public Sector/ Multilateral Agency,2016,,134.8,2016 AU$,102.43473814625524,US$2014/ ha/ yr,,coastal weaners native pasture; refer page 1,
NSW 2016b,http://www.dpi.nsw.gov.au/__data/assets/pdf_file/0004/175522/18-North-coast-weaners-improved.pdf,OECD90,Australia,,2 - Public Sector/ Multilateral Agency,2016,,230.98,2016 AU$,175.522075793932,US$2014/ ha/ yr,,cow-calf; refer page 1,
Holmgren 2015,http://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1716&context=extension_curall,USA,Utah ,,1  - Peer Reviewed,2015,,325.41,2015 US$/cow,325.0227621,US$2014/ ha/ yr,,cow-calf; refer table 1   ,
Griffith 2015,https://ag.tennessee.edu/arec/Documents/budgets/archived/CowCalf2015.pdf,USA,Tennessee,,1  - Peer Reviewed,2015,,89.52,2015 US$/cow,89.41347119999999,US$2014/ ha/ yr,,cow-calf; refer page 3   ,
Holmgren 2013,https://extension.usu.edu/boxelder/files/uploads/Farm%20Management/Cow_Calf.pdf,USA,Utah ,,1  - Peer Reviewed,2013,,245.42,2013 US$,250.3284,US$2014/ ha/ yr,,cow-calf; source not found,
NSW 2016c,http://www.dpi.nsw.gov.au/__data/assets/pdf_file/0003/175530/26-Young-cattle-15-20-mths.pdf,OECD90,Australia,,2 - Public Sector/ Multilateral Agency,2016,,205.96,2016 AU$,156.50933730417455,US$2014/ ha/ yr,,cow-calf ; refer page 1,
Browne 2012,"http://ageconsearch.umn.edu/bitstream/124249/2/2012AC%20Browne,%20Natalie%20CP.pdf",OECD90,Australia,,1  - Peer Reviewed,2012,,211.0,2012 AU$/hectare,167.3441,US$2014/ ha/ yr,,steer average; refer table 6,
Browne 2012,"http://ageconsearch.umn.edu/bitstream/124249/2/2012AC%20Browne,%20Natalie%20CP.pdf",OECD90,Australia,,1  - Peer Reviewed,2012,,76.0,2012 AU$/hectare,60.275600000000004,US$2014/ ha/ yr,,cow-calf average; refer table 6,
Guevara 2012,http://cdn.intechopen.com/pdfs/40419/InTech-Status_of_beef_cattle_production_in_argentina_over_the_last_decade_and_its_prospects.pdf,Latin America,Argentina,,1  - Peer Reviewed,2010,,88.0,2010 US$/hectare,95.92,US$2014/ ha/ yr,,cow-calf; refer table 6,
