Year,World
2012,35800.0
2013,36200.0
2014,37100.0
2015,37900.0
2016,38700.0
2017,39500.0
2018,40300.0
2019,41100.0
2020,41900.0
2021,42700.0
2022,43500.0
2023,44300.0
2024,45100.0
2025,45800.0
2026,46600.0
2027,47400.0
2028,48200.0
2029,49000.0
2030,49700.0
2031,50600.0
2032,51400.0
2033,52100.0
2034,52900.0
2035,53700.0
2036,54400.0
2037,55200.0
2038,56000.0
2039,56700.0
2040,57500.0
2041,58300.0
2042,59100.0
2043,59800.0
2044,60600.0
2045,61300.0
2046,62100.0
2047,62900.0
2048,63600.0
2049,64400.00000000001
2050,65000.0
2051,65900.0
2052,66600.0
2053,67400.0
2054,68100.0
2055,68900.0
2056,69600.0
2057,70300.0
2058,71100.0
2059,71800.0
2060,72500.0
