Year,Project Drawdown Updated AEZ Model - Jan 2020
2012,1161.049477863449
2013,1161.049477863449
2014,1161.049477863449
2015,1161.049477863449
2016,1161.049477863449
2017,1161.049477863449
2018,1161.049477863449
2019,1161.049477863449
2020,1161.049477863449
2021,1161.049477863449
2022,1161.049477863449
2023,1161.049477863449
2024,1161.049477863449
2025,1161.049477863449
2026,1161.049477863449
2027,1161.049477863449
2028,1161.049477863449
2029,1161.049477863449
2030,1161.049477863449
2031,1161.049477863449
2032,1161.049477863449
2033,1161.049477863449
2034,1161.049477863449
2035,1161.049477863449
2036,1161.049477863449
2037,1161.049477863449
2038,1161.049477863449
2039,1161.049477863449
2040,1161.049477863449
2041,1161.049477863449
2042,1161.049477863449
2043,1161.049477863449
2044,1161.049477863449
2045,1161.049477863449
2046,1161.049477863449
2047,1161.049477863449
2048,1161.049477863449
2049,1161.049477863449
2050,1161.049477863449
2051,1161.049477863449
2052,1161.049477863449
2053,1161.049477863449
2054,1161.049477863449
2055,1161.049477863449
2056,1161.049477863449
2057,1161.049477863449
2058,1161.049477863449
2059,1161.049477863449
2060,1161.049477863449
