Year,World
2012,107.90123227146243
2013,112.05468517660081
2014,116.80289663852082
2015,120.2257250745128
2016,124.7002622038573
2017,129.38551073109076
2018,134.2861788196412
2019,156.88670788976438
2020,161.23318947926043
2021,163.07596695205902
2022,164.77901431474834
2023,166.34211203935004
2024,168.18474793658456
2025,169.93502409002588
2026,171.593766379363
2027,173.16207858500158
2028,174.64118634947607
2029,176.03213091491037
2030,177.3360969809032
2031,178.73735980100187
2032,180.06446722214537
2033,181.31732123333157
2034,182.49778746530504
2035,183.6036841481815
2036,184.63694356281363
2037,185.596124464689
2038,186.4820389180582
2039,187.2930642816712
2040,188.03004288848683
2041,188.83371898155949
2042,189.5060950632409
2043,190.11713013714947
2044,190.66591957931547
2045,191.15150643955408
2046,191.5729331174126
2047,191.92921382996755
2048,192.21927820833398
2049,192.4420125403037
2050,192.35341955452495
2051,192.68092858424737
2052,192.6948075542819
2053,192.63652064283397
2054,192.5046077079864
2055,192.29768898503372
2056,192.01453664187542
2057,191.6540513180212
2058,191.21514873377836
2059,190.69680624610132
2060,190.0980015224627
