VMA number,Title on xls,Fixed Mean,Fixed High,Fixed Low
1,Current Adoption,2.0,2.0,2.0
2,CONVENTIONAL First Cost per Implementation Unit,149.36295857525025,269.90627453379835,28.81964261670214
3,SOLUTION First Cost per Implementation Unit,1904.0844006533334,2627.1299660958957,1181.0388352107711
4,CONVENTIONAL Lifetime Capacity,46813.62250000001,61296.168101639625,32331.0768983604
5,SOLUTION Lifetime Capacity,135254.4,156340.88436890315,114167.91563109682
6,CONVENTIONAL Average Annual Use,2450.975,3467.775733100312,1434.1742668996874
7,SOLUTION Average Annual Use,5635.599999999999,8502.260831001813,2768.9391689981862
8,CONVENTIONAL Variable Operating Cost (VOM) per Functional Unit,0.099621569854372,0.11437101091208568,0.08487212879665834
9,SOLUTION Variable Operating Cost (VOM) per Functional Unit,0.0057297978103500015,0.010704762912000003,0.0007548327087000001
10,CONVENTIONAL Fixed Operating Cost (FOM),118.4657142857143,244.04397928289904,2.4042857142857144
11,SOLUTION Fixed Operating Cost (FOM),31.83071628,31.83071628,31.83071628
12,CONVENTIONAL Total Energy Used per Functional Unit,0.29081503743400844,0.29081503743400844,0.29081503743400844
15,CONVENTIONAL Fuel Consumed per Functional Unit,2553.0658631951173,2553.0658631951173,2553.0658631951173
25,TAM Share for Space Heating,0.8220252783470526,0.8787647039256181,0.7652858527684872
26,First Costs of Exchange Heaters for Households,343.699393287,343.699393287,343.699393287
27,Fixed Costs of Exchange Heaters,13.0361251674,13.0361251674,13.0361251674
28,Learning Rate,0.08766666666666667,0.11767592449746875,0.05765740883586459
