Year,World
2012,
2013,
2014,13479.7
2015,13613.3
2016,13667.2
2017,13711.4
2018,13744.4
2019,13766.0
2020,13775.7
2021,13664.1
2022,13538.1
2023,13393.8
2024,13233.7
2025,13083.3
2026,12883.9
2027,12692.1
2028,12478.0
2029,12250.8
2030,12209.4
2031,12301.9
2032,12358.2
2033,12413.3
2034,12466.5
2035,12518.8
2036,12566.4
2037,12613.0
2038,12657.2
2039,12698.8
2040,12736.4
2041,12820.4
2042,12900.5
2043,12974.7
2044,13047.4
2045,13137.1
2046,13188.4
2047,13258.0
2048,13327.4
2049,13397.0
2050,13457.4
2051,12561.8
2052,12520.9
2053,12478.6
2054,12434.9
2055,12407.3
2056,12385.6
2057,12363.3
2058,12340.0
2059,12306.8
2060,12269.4
