Year,Project Drawdown Updated AEZ Model - Jan 2020
2012,363.75725617666933
2013,363.75725617666933
2014,363.75725617666933
2015,363.75725617666933
2016,363.75725617666933
2017,363.75725617666933
2018,363.75725617666933
2019,363.75725617666933
2020,363.75725617666933
2021,363.75725617666933
2022,363.75725617666933
2023,363.75725617666933
2024,363.75725617666933
2025,363.75725617666933
2026,363.75725617666933
2027,363.75725617666933
2028,363.75725617666933
2029,363.75725617666933
2030,363.75725617666933
2031,363.75725617666933
2032,363.75725617666933
2033,363.75725617666933
2034,363.75725617666933
2035,363.75725617666933
2036,363.75725617666933
2037,363.75725617666933
2038,363.75725617666933
2039,363.75725617666933
2040,363.75725617666933
2041,363.75725617666933
2042,363.75725617666933
2043,363.75725617666933
2044,363.75725617666933
2045,363.75725617666933
2046,363.75725617666933
2047,363.75725617666933
2048,363.75725617666933
2049,363.75725617666933
2050,363.75725617666933
2051,363.75725617666933
2052,363.75725617666933
2053,363.75725617666933
2054,363.75725617666933
2055,363.75725617666933
2056,363.75725617666933
2057,363.75725617666933
2058,363.75725617666933
2059,363.75725617666933
2060,363.75725617666933
