Year,"Bunting et al. (2018)"
2012,13.4885113696653
2013,13.3547824140861
2014,13.2223792855807
2015,13.2862546977464
2016,13.2744358795366
2017,13.2637453728169
2018,13.2541359333168
2019,13.2455603167662
2020,13.2379712788947
2021,13.2313215754322
2022,13.2255639621084
2023,13.2206511946530
2024,13.2165360287957
2025,13.2131712202663
2026,13.2105095247946
2027,13.2085036981102
2028,13.2071064959429
2029,13.2062706740225
2030,13.2059489880787
2031,13.2060941938412
2032,13.2066590470398
2033,13.2075963034041
2034,13.2088587186641
2035,13.2103990485493
2036,13.2121700487895
2037,13.2141244751145
2038,13.2162150832540
2039,13.2183946289378
2040,13.2206158678955
2041,13.2228315558570
2042,13.2249944485520
2043,13.2270573017101
2044,13.2289728710612
2045,13.2306939123349
2046,13.2321731812611
2047,13.2333634335695
2048,13.2342174249898
2049,13.2346879112517
2050,13.2347276480849
2051,13.2342893912194
2052,13.2333258963846
2053,13.2317899193105
2054,13.2296342157267
2055,13.2268115413630
2056,13.2232746519491
2057,13.2189763032148
2058,13.2138692508898
2059,13.2079062507038
2060,13.2010400583866
