Year,World
2012,
2013,
2014,6111.0
2015,6124.2
2016,6143.0
2017,6165.9
2018,6190.1
2019,6258.3
2020,6254.0
2021,6389.6
2022,6452.6
2023,6515.2
2024,6578.6
2025,6626.2
2026,6705.4
2027,6768.9
2028,6831.4
2029,6894.5
2030,6981.6
2031,7015.3
2032,7073.3
2033,7131.3
2034,7189.6
2035,7269.1
2036,7303.4
2037,7359.9
2038,7415.8
2039,7471.3
2040,7542.2
2041,7578.9
2042,7629.7
2043,7680.5
2044,7731.6
2045,7782.3
2046,7834.8
2047,7885.0
2048,7935.2
2049,7984.6
2050,8015.8
2051,8072.5
2052,8120.3
2053,8167.2
2054,8214.0
2055,8259.9
2056,8305.7
2057,8350.6
2058,8395.4
2059,8440.3
2060,8484.1
