# Adoption Data for the Solar PV Utility solution
"Year", "Based on: IEA ETP 2016 6DS", "Based on: AMPERE (2014) IMAGE Refpol", "Based on: AMPERE (2014) MESSAGE REFPol", "Based on: AMPERE (2014) GEM E3 REFpol", "Based on: IEA ETP 2016 4DS", "Based on: AMPERE (2014) IMAGE 550", "Based on: AMPERE (2014) MESSAGE 550", "Based on: AMPERE (2014) GEM E3 550", "Based on: Greenpeace (2015) Reference", "Based on: IEA ETP 2016 2DS", "Based on: AMPERE (2014) IMAGE 450", "Based on: AMPERE (2014) MESSAGE 450", "Based on: AMPERE (2014) GEM E3 450", "Based on: Greenpeace (2015) Energy Revolution", "[Source 6 - Ambitious]", "Based on: Greenpeace (2015) Advanced Energy Revolution"
2012, 58.200000000000, 58.200000000000, 58.200000000000, 58.200000000000, 58.200000000000, 58.200000000000, 58.200000000000, 58.200000000000, 58.200000000000, 58.200000000000, 58.200000000000, 58.200000000000, 58.200000000000, 58.200000000000, 58.200000000000, 58.200000000000 
2013, 81.060000000000, 81.060000000000, 81.060000000000, 81.060000000000, 81.060000000000, 81.060000000000, 81.060000000000, 81.060000000000, 81.060000000000, 81.060000000000, 81.060000000000, 81.060000000000, 81.060000000000, 81.060000000000, 81.060000000000, 81.060000000000 
2014, 112.633033333333, 112.633033333333, 112.633033333333, 112.633033333333, 112.633033333333, 112.633033333333, 112.633033333333, 112.633033333333, 112.633033333333, 112.633033333333, 112.633033333333, 112.633033333333, 112.633033333333, 112.633033333333, 112.633033333333, 112.633033333333 
2015, 139.857283566872, 218.061458724080, 119.082872575862, 94.240258491883, 142.919670863915, 200.568940886122, 118.482865159397, 105.617727611626, 126.399764235751, 102.172743965758, 197.281699339054, 122.547495953420, 120.017885126478, 168.120000000000, , 176.240921072125 
2016, 161.384706916512, 253.630780980623, 139.070863900396, 115.457996911889, 170.192521833400, 236.254786229944, 140.784790286889, 132.960778975503, 143.455700871114, 133.273312616177, 228.936590297760, 148.953061934165, 150.183578269524, 243.900000000000, , 272.031352077412 
2017, 183.549332398292, 290.357092189636, 160.738678491041, 139.360288511192, 199.109421004087, 273.957528356309, 165.840689813848, 163.573907609949, 160.493392319423, 168.718568461076, 261.614613818223, 178.943896931913, 183.576950541000, 331.020000000000, , 383.309351726204 
2018, 206.359850788913, 328.334097897407, 184.276817469110, 166.022586510267, 229.594875578155, 313.798682105302, 193.982184657285, 197.388649094052, 177.503046826938, 208.395706253165, 295.396037144644, 212.836885757995, 220.085217400077, 428.880000000000, , 509.379473948514 
2019, 229.824952865072, 367.652327727321, 209.874233910955, 195.518623203619, 261.573392757786, 355.896693644772, 225.539420463751, 234.334115927583, 194.474872639915, 252.191920745153, 330.358282586330, 250.947114755723, 259.592846854710, 536.940000000000, , 649.546272674357 
2020, 320.121438664317, 620.220850298973, 267.303807877295, 203.777863326157, 321.237138745319, 579.993115389344, 305.156191839779, 228.500254574434, 244.800000000000, 320.861414568127, 561.306277742516, 345.348402195410, 270.443743021390, 565.200000000000, , 654.000000000000 
2021, 278.753671180806, 450.674923779096, 268.003202888698, 263.304949416338, 329.707643742450, 447.336580663344, 300.222179392150, 317.329667347263, 228.265871167287, 351.690358839663, 404.135310243796, 341.078939238698, 347.139698822437, 781.440000000000, , 969.388115356698 
2022, 304.234668973780, 494.566220837752, 300.916303365190, 301.744147909504, 365.712391951844, 496.920393864296, 344.011970925035, 363.238234231625, 245.065460374199, 407.166971947606, 443.110252961919, 393.734124892955, 394.948185601715, 916.860000000000, , 1147.672267173220 
2023, 330.405013559091, 540.170925975932, 336.650956463261, 343.314415967010, 402.908231575518, 549.243502117878, 392.545332210842, 411.993997588458, 261.788053871603, 466.311440766285, 483.584816135806, 451.873088401818, 445.293953196108, 1060.260000000000, , 1337.271311213340 
2024, 357.273395713438, 587.586008458821, 375.400427552835, 388.092313096965, 441.219669815653, 604.430447278751, 446.157570106818, 463.528250024471, 278.423859905759, 529.010960048412, 525.642203425063, 515.816052425538, 498.063762174252, 1211.100000000000, , 1537.489801407060 
2025, 422.318652787009, 636.908697627844, 417.358420403904, 436.154759349121, 490.183286108155, 662.606154029165, 505.184745620476, 517.772490363652, 311.400000000000, 581.084259607792, 569.365840799439, 585.884053924668, 553.144511891680, 1273.800000000000, , 1595.400000000000 
2026, 413.139035836041, 688.234767213119, 462.717949665546, 487.577827012171, 520.887370954022, 723.894130140363, 569.962300893221, 574.656971103118, 311.395942569354, 664.623929013844, 614.837844332583, 662.397336111244, 610.421689703684, 1533.060000000000, , 1967.003335975370 
2027, 442.153675357695, 741.659409798505, 511.671816411265, 542.437186745678, 562.092648256616, 788.417303243530, 640.825549980114, 634.111251000389, 327.712635691309, 737.311768202569, 662.139806043100, 745.675896993518, 669.779990326818, 1703.100000000000, , 2194.907488209990 
2028, 471.901115555184, 797.279559705706, 564.414189456056, 600.809777758691, 604.111552984389, 856.300476131792, 718.111642329255, 696.066155035081, 343.903374335047, 813.103436865579, 711.354868470339, 836.041772131310, 731.105392069157, 1878.360000000000, , 2430.649302318260 
2029, 502.390047205207, 855.192799778451, 621.139957554701, 662.773137170947, 646.868592339521, 927.669228611742, 802.158834377690, 760.452942467101, 359.958366746824, 891.886129755584, 762.566745460828, 933.818189195583, 794.284247570901, 2058.420000000000, , 2673.533332230220 
2030, 519.264630171699, 914.110197752762, 669.196542003481, 677.944524340846, 716.071662157424, 977.255284187730, 842.915044513222, 807.338370487822, 378.000000000000, 919.317235307815, 780.267605306785, 961.679606609328, 855.202388792752, 2306.400000000000, , 3040.200000000000 
2031, 565.627147969652, 978.290392558228, 747.323822474401, 797.784150562458, 734.295103740580, 1081.367904720770, 991.893945177531, 896.247878668436, 391.621945859527, 1057.973367227420, 871.317105489709, 1152.900152682770, 925.747965073939, 2430.480000000000, , 3177.946255185200 
2032, 598.392698637473, 1043.671010779640, 817.174020303322, 870.988387377905, 778.813590190867, 1163.950654365370, 1098.262456919970, 967.518786150019, 407.210949052969, 1145.052301314660, 929.023956601688, 1274.856346175180, 993.805301899127, 2621.460000000000, , 3438.084256088260 
2033, 631.934503864627, 1111.738754354680, 891.793024506012, 948.097813543036, 823.768240077232, 1250.526317471840, 1212.754898821990, 1040.948448352680, 422.625038999482, 1234.671038639740, 989.065696860953, 1405.526266347890, 1063.262421494470, 2814.960000000000, , 3702.582688515060 
2034, 666.261254427811, 1182.594366525800, 971.379866126780, 1029.193298278190, 869.083560601855, 1341.224506020390, 1335.716183001920, 1116.470204265640, 437.854423945323, 1326.716773955370, 1051.528810437140, 1545.240255089450, 1134.007270506820, 3010.440000000000, , 3970.746106395600 
2035, 628.460691867854, 1256.338866771920, 1056.134277124810, 1114.356165342870, 898.010968835815, 1436.175294906220, 1467.492478771080, 1194.017443078570, 452.889312136750, 1306.563525514660, 1116.500015429820, 1694.329946313490, 1205.927691547760, 3207.420000000000, , 4241.879063659900 
2036, 737.304354669073, 1333.072409341560, 1146.255717363670, 1203.667144295810, 960.494242374592, 1535.507901610630, 1608.429851318490, 1273.522469269510, 467.719911820020, 1517.638017569080, 1184.065249916060, 1853.126683872270, 1278.910277899480, 3405.360000000000, , 4515.286114237980 
2037, 774.038085900548, 1412.895401267120, 1241.944253966680, 1297.207292133780, 1006.438618027070, 1639.351929494990, 1758.875445785270, 1354.917512807850, 482.336431241392, 1616.287915372590, 1254.310667055330, 2021.962888178340, 1352.841408771370, 3603.600000000000, , 4790.271812059840 
2038, 811.591525574853, 1495.910003300300, 1343.401911782390, 1395.059381786960, 1052.441693126520, 1747.839117807140, 1919.179417715300, 1438.136147972920, 496.729078647122, 1716.913590177480, 1327.323966794540, 2201.174263424740, 1427.608655027840, 3801.660000000000, , 5066.140711055510 
2039, 849.973364468686, 1582.219207697400, 1450.831970974050, 1497.307121617910, 1098.427974875120, 1861.102312046420, 2089.694001027720, 1523.112393031810, 510.888062283470, 1819.402236736460, 1403.193574559840, 2391.098699065660, 1503.099846420100, 3999.060000000000, , 5342.197365154990 
2040, 901.986088338293, 1602.863697876260, 1563.617205599780, 1654.856917901090, 1108.284864972720, 1942.236669770720, 2298.681820845310, 1641.411659769200, 499.200000000000, 1950.910585659520, 1448.672569856240, 2642.403476826810, 1592.369477651040, 4232.400000000000, , 5665.200000000000 
2041, 929.257003021738, 1765.131684547610, 1684.423402620470, 1715.323458497790, 1190.048187128520, 2102.486726172360, 2462.766760073200, 1698.070144823170, 538.465871233046, 2029.517224127530, 1563.853839230250, 2804.440499839250, 1655.800848363890, 4389.420000000000, , 5892.092154385470 
2042, 970.176184234354, 1861.937796008790, 1810.990745902630, 1831.256957190610, 1235.531132037670, 2230.870450166870, 2666.029807865660, 1787.914573484560, 551.865113038790, 2136.917954465040, 1648.818501614080, 3028.533095819570, 1732.780399647430, 4581.300000000000, , 6164.539397376490 
2043, 1011.958527773300, 1962.442725142820, 1944.340760081400, 1951.914290665410, 1280.695312404700, 2364.553332994120, 2880.910619008340, 1879.241037103400, 564.991524060181, 2245.730435567480, 1736.986193449060, 3264.686311696120, 1810.022076207210, 4770.300000000000, , 6434.392611191380 
2044, 1054.612724415270, 2066.743369672080, 2084.672522890190, 2077.373222179750, 1325.465235431790, 2503.661196009780, 3107.756123436510, 1971.975579779760, 577.835312543478, 2355.841862187560, 1828.439900483050, 3513.231134993930, 1887.405239216030, 4955.820000000000, , 6700.956349760170 
2045, 1140.749139525420, 2174.936502556020, 2232.184949963720, 2207.711167797800, 1391.544733198240, 2648.319623972160, 3346.912988382190, 2066.043761489820, 590.386686734937, 2650.195149595080, 1923.262498272680, 3774.498166787690, 1964.808755097440, 5137.320000000000, , 6963.535167012850 
2046, 1142.571440115080, 2287.120247627580, 2387.078312775340, 2343.006713008030, 1413.520338274840, 2798.655769307680, 3598.729896682650, 2161.372090186910, 602.635854880818, 2579.510330991470, 2021.538056924760, 4048.820198563340, 2042.112360094060, 5314.320000000000, , 7221.433616879460 
2047, 1187.893340726330, 2403.393179349650, 2549.553390043520, 2483.338753859450, 1456.654532495160, 2954.797287252480, 3863.556311983470, 2257.887171956990, 614.573025227376, 2692.841762680720, 2123.351043232190, 4336.530808416510, 2119.195829991090, 5486.220000000000, , 7473.956253289990 
2048, 1234.121857547390, 2523.852125868730, 2719.809126839950, 2628.784232175080, 1499.092498184260, 3116.869635270940, 4141.738926794370, 2355.513670061200, 626.188406020871, 2807.020918898450, 2228.784379937300, 4637.960382001510, 2195.937070721930, 5652.420000000000, , 7720.407630174470 
2049, 1281.265681354990, 2648.593162124320, 2898.043565559260, 2779.419112486420, 1540.758742544310, 3284.997257832480, 4433.623015354830, 2454.175303759640, 637.472205507560, 2921.934994397360, 2337.920325973500, 4953.437667751430, 2272.213101610240, 5812.500000000000, , 7960.092301462910 
2050, 1312.037776377050, 2804.015623437920, 3085.966882208270, 2920.454847537430, 1581.577772777500, 3475.521196698350, 4733.377540465920, 2543.552401417540, 657.600000000000, 3037.471183930170, 2466.542530570580, 5270.921084103150, 2343.283663386550, 5948.400000000000, , 8167.800000000000 
2051, 1378.334013036540, 2911.304620668820, 3279.238722245260, 3096.558708219270, 1622.012079243020, 3639.914177798380, 5059.873330396730, 2654.296826103290, 659.005893545549, 3061.511556673680, 2567.628050092210, 5627.846453720870, 2422.875806606470, 6111.840000000000, , 8416.379742971710 
2052, 1428.275902463900, 3049.466864855880, 3482.594446398830, 3263.214059931820, 1660.372219671990, 3826.951509361940, 5394.928121435640, 2755.603012106030, 669.236198589366, 3269.958684108320, 2688.364069512980, 5987.433122954630, 2497.015556166850, 6250.020000000000, , 8631.591621052120 
2053, 1479.167861984580, 3192.284468946850, 3694.706896731450, 3435.348959490830, 1698.196650737660, 4020.527134751100, 5745.042882971330, 2857.627687183560, 679.095755311407, 3386.684384259080, 2813.122039072120, 6362.357217416790, 2570.187937411310, 6379.860000000000, , 8837.255009256530 
2054, 1531.018582375280, 3339.838844559620, 3915.755760458040, 3613.022480633940, 1734.871896485170, 4220.746424236240, 6110.533746180340, 2960.281157877670, 688.574771957930, 3503.580977454570, 2941.971324755630, 6752.915315917830, 2642.258273058670, 6500.760000000000, , 9032.674461514980 
2055, 1583.836754412700, 3492.213376365020, 4145.922091574240, 3796.295427899040, 1770.322464116720, 4427.716954030440, 6491.718571100470, 3063.475944450260, 697.663456775193, 3620.535658447500, 3074.983052195410, 7159.406147944430, 2713.094230747370, 6612.180000000000, , 9217.154531757470 
2056, 1637.631068873540, 3649.497505119120, 4385.393406147440, 3985.234905753120, 1804.472860834480, 4641.553767529040, 6888.925030117560, 3167.130286927710, 706.352018009454, 3737.435621990590, 3212.233696186860, 7582.139458992640, 2782.568839176530, 6713.640000000000, , 9389.999773914020 
2057, 1692.410216534500, 3811.786762135970, 4634.364193187830, 4179.914544675040, 1837.247593840630, 4862.379557770140, 7302.491606396170, 3271.167922613780, 714.630663906971, 3854.168062836550, 3353.805100087720, 8021.436989046420, 2850.560102106390, 6804.480000000000, , 9550.514741914650 
2058, 1748.182888172280, 3979.177864851780, 4893.030327965110, 4380.409257126220, 1868.571170337350, 5090.318516183380, 7732.758945628970, 3375.513643617750, 722.489602714000, 3970.620175738070, 3499.780151840840, 8477.622869767060, 2916.946966676450, 6884.220000000000, , 9698.003989689360 
2059, 1804.957774563580, 4151.771402758040, 5161.592495543770, 4586.798232447200, 1898.368097526830, 5325.499800423720, 8180.075315462770, 3480.095491206740, 729.919042676801, 4086.679155447880, 3650.245143496680, 8951.029574789270, 2981.611165705790, 6952.320000000000, , 9831.772071168170 
