Year, Baseline: Based on- IEA ETP 2016 6DS, Baseline: Based on- AMPERE MESSAGE-MACRO Reference, Baseline: Based on- AMPERE GEM E3 Reference, Baseline: Based on- AMPERE IMAGE/TIMER Reference, Conservative: Based on- IEA ETP 2016 4DS, Conservative: Based on- AMPERE MESSAGE-MACRO 550, Conservative: Based on- AMPERE GEM E3 550, Conservative: Based on- AMPERE IMAGE/TIMER 550, Conservative: Based on- Greenpeace 2015 Reference, Ambitious: Based on- IEA ETP 2016 2DS, Ambitious: Based on- AMPERE MESSAGE-MACRO 450, Ambitious: Based on- AMPERE GEM E3 450, Ambitious: Based on- AMPERE IMAGE/TIMER 450, Ambitious: Based on- Greenpeace Energy [R]evolution, 100% REN: Based on- Greenpeace Advanced [R]evolution
2012, 4239.61189520062, 4185.80590511702, 4267.31598438885, 4320.08950347144, 4254.22760784738, 4187.69107353394, 4190.95876778410, 4278.76093050065, 4418.82891012212, 4286.89522159868, 4166.45791841158, 4207.49389249226, 4272.74559849645, 4418.82891012212, 4418.82891012212
2013, 4286.83705868245, 4114.44047903845, 4281.24813828347, 4364.49685204843, 4286.83705868245, 4115.99442830979, 4172.94882777354, 4301.39434168023, 4485.82767597224, 4286.83705868245, 4075.20173061431, 4185.66652073409, 4294.19019788968, 4397.94677514345, 4392.09173162672
2014, 4291.95038421021, 4007.54590643207, 4252.30250147197, 4365.57414306625, 4277.47668487360, 4008.31233109088, 4117.44435529531, 4283.14281067517, 4503.46065962814, 4245.12648540620, 3952.31961068367, 4123.32931606810, 4273.72323044880, 4334.74905574224, 4354.78129284095
2015, 4336.09020921871, 3942.41480781290, 4261.68143988338, 4406.35885413302, 4307.16033407928, 3942.03241109481, 4103.15996643464, 4305.60017168722, 4561.23298209790, 4242.49910203611, 3874.09815329615, 4099.67292314723, 4292.84976182478, 4325.15865880473, 4371.78060261248
2016, 4380.24829481015, 3881.68685321030, 4270.54883055271, 4447.26505976137, 4336.87902599482, 3879.84799722900, 4092.07453878036, 4329.68693008485, 4618.37519935212, 4239.94427114730, 3803.43829069073, 4076.82466722816, 4312.61220650980, 4328.28528784529, 4402.26895602903
2017, 4424.39530092989, 3825.23991164974, 4278.80241221380, 4488.18995692948, 4366.60309369500, 3821.70435826333, 4083.92727511492, 4355.23954334439, 4674.90562413458, 4237.43159522525, 3740.12834565523, 4054.78593804738, 4332.90334120241, 4343.23254912347, 4445.36558009135
2018, 4468.53934981551, 3773.07705168898, 4286.46893606382, 4529.16298204789, 4396.34012015472, 3767.67164342012, 4078.58495226867, 4382.22541595862, 4730.88179469811, 4234.96745193774, 3684.08216408159, 4033.68405937740, 4353.74600663798, 4369.14434111202, 4500.23034545304
2019, 4512.67367182139, 3725.15070490206, 4293.51293679975, 4570.14713154296, 4426.08300060418, 3717.76919300368, 4075.85764626525, 4410.54891213312, 4786.34536474839, 4232.54398747796, 3635.16604973532, 4013.58903108287, 4375.10000163359, 4405.15257204593, 4566.01078377551
2020, 4556.78954827658, 3597.41069281124, 4297.24887663324, 4692.13070510725, 4455.82282385672, 3597.40820048883, 4074.19653229439, 4545.39575429229, 4856.14988478061, 4230.15186036706, 3597.40820048883, 4049.16068971436, 4482.71642740301, 4503.29536260376, 4578.72744572945
2021, 4597.78375959424, 3641.96506780927, 4305.73219991645, 4652.14171681214, 4473.22408519496, 3630.57938379743, 4077.63327196374, 4470.96906742925, 4895.92576558464, 4215.64904941636, 3558.34115410809, 3976.84060402222, 4419.32251822477, 4504.02200362891, 4726.94502211797
