Year, Baseline: Based on- IEA ETP 2016 6DS, Baseline: Based on- AMPERE MESSAGE-MACRO Reference, Baseline: Based on- AMPERE GEM E3 Reference, Baseline: Based on- AMPERE IMAGE/TIMER Reference, Conservative: Based on- IEA ETP 2016 4DS, Conservative: Based on- AMPERE MESSAGE-MACRO 550, Conservative: Based on- AMPERE GEM E3 550, Conservative: Based on- AMPERE IMAGE/TIMER 550, Conservative: Based on- Greenpeace 2015 Reference, Ambitious: Based on- IEA ETP 2016 2DS, Ambitious: Based on- AMPERE MESSAGE-MACRO 450, Ambitious: Based on- AMPERE GEM E3 450, Ambitious: Based on- AMPERE IMAGE/TIMER 450, Ambitious: Based on- Greenpeace Energy [R]evolution, 100% REN: Based on- Greenpeace Advanced [R]evolution
2012, 1669.81523480696, 1321.97800786776, 1896.50661763709, 1453.07173935275, 1676.83735903300, 1306.94107812691, 1876.85724659592, 1438.71407189001, 1546.02173964551, 1683.36950203820, 1308.61751384095, 1901.80673032045, 1441.96598195790, 1546.02173964551, 1546.02173964551
2013, 1732.45162196987, 1348.99426896345, 1979.58821831822, 1513.07368850182, 1732.45162196987, 1325.73676896279, 1951.51006799799, 1487.54911751588, 1591.01590618817, 1732.45162196987, 1325.05351236805, 1978.76766696263, 1495.73327892579, 1570.51983269916, 1564.38534482699
2014, 1807.25343360147, 1386.14805886382, 2076.41810235057, 1589.00869107528, 1800.18371999740, 1356.81020700271, 2042.03727772829, 1551.87942246974, 1647.73496864944, 1793.60730824775, 1354.14104132667, 2068.81108709384, 1563.14074453744, 1598.98183393831, 1587.45274022230
2015, 1870.40404181715, 1415.05710863438, 2159.87536229540, 1659.84051936331, 1856.26393625501, 1382.04287812875, 2121.57219298874, 1611.09067369517, 1694.97574665328, 1843.11048173504, 1377.78396622881, 2144.90586745250, 1623.50589739768, 1620.50333714310, 1608.19763025614
2016, 1933.63407599200, 1444.89195635963, 2243.56505362148, 1735.63808409692, 1912.42209519195, 1410.34191196583, 2203.34756416184, 1675.08034859206, 1743.43338980496, 1892.69021812036, 1404.88206489411, 2220.68880443338, 1686.85718747385, 1645.59185914835, 1636.84801764852
2017, 1996.90306882293, 1475.67992735352, 2327.67255933991, 1816.21285983592, 1968.61759948521, 1441.62921071839, 2287.36696571449, 1743.66214470531, 1792.99414818325, 1942.30579913305, 1435.35467549016, 2296.38301666629, 1753.08360014297, 1674.08807485239, 1673.00752489980
2018, 2060.18233309447, 1507.46161852368, 2412.40250014537, 1901.39052538340, 2024.82200128871, 1475.83966495586, 2373.65270555460, 1816.66383842103, 1843.55560334596, 1991.92899959408, 1469.13415570392, 2372.23098688231, 1822.08831811627, 1705.84510074535, 1716.29203975930
2019, 2123.41832999295, 1540.26940841465, 2497.94566088924, 1990.98497256748, 2080.98285155882, 1512.89996772573, 2462.21314884187, 1893.90215808116, 1894.99351375451, 2041.50838418914, 1506.14473593204, 2448.46184386955, 1893.76358621561, 1740.69693741101, 1766.29738262678
2020, 2186.56883634837, 1537.50548966071, 2560.24590678124, 2159.97833501956, 2137.05932762687, 1538.30052543646, 2549.06456649532, 2076.11883175584, 1948.46530929286, 2091.00443302854, 1552.61968764046, 2563.97072581486, 2029.99756955222, 1812.78979685993, 1868.90034084118
2021, 2262.62265544238, 1609.12219092276, 2672.27852750606, 2182.70792995736, 2201.41466697785, 1595.30405530074, 2646.23226499061, 2060.38361615341, 2000.07426482448, 2141.88749378506, 1589.58316036041, 2603.03326966520, 2044.72431546643, 1819.09114400500, 1884.91650285962
2022, 2338.59678009633, 1645.27188906384, 2761.51338921888, 2284.50963302881, 2265.69305327654, 1640.53900384327, 2741.76810930368, 2149.30399805722, 2053.57073723626, 2192.69639483039, 1635.89705088100, 2681.89548933344, 2123.83926089557, 1862.39604332555, 1952.81140746060
2023, 2414.49420058312, 1682.63799071540, 2852.42122888671, 2390.05056536314, 2329.89827121324, 1688.38748850983, 2839.70298482582, 2241.79261069654, 2107.61052454948, 2243.43588366539, 1685.19559271511, 2762.15382981908, 2205.26071554852, 1908.28329307722, 2025.95251929355
2024, 2490.32429907174, 1721.27013645179, 2945.22144645471, 2499.16340447960, 2394.04009700140, 1738.79200027841, 2940.07147562438, 2337.68419403158, 2162.12589994757, 2294.11626050731, 1737.41873656689, 2844.06610186662, 2288.89980383193, 1956.63773653154, 2103.98407605892
2025, 2566.09563402074, 1761.21863076704, 3040.13497464834, 2611.68151310834, 2458.12730004347, 1791.69553351427, 3042.90933380123, 2436.81408596746, 2219.74417091835, 2344.74659605945, 1792.50694429326, 2927.89166256890, 2374.66833445082, 2005.83632522345, 2187.53555226097
2026, 2643.92111334834, 1802.53273097366, 3137.38133204811, 2727.43641365901, 2529.21691522462, 1847.03985404181, 3148.25052740872, 2539.01586543894, 2272.30000531989, 2400.58755573208, 1850.39945991377, 3013.88857683920, 2462.47649496089, 2060.27483431864, 2273.28353173140
2027, 2721.68551620402, 1845.26377566020, 3237.18402265633, 2846.26241379985, 2600.24903521742, 1904.76868349565, 3256.13263581336, 2644.12566985294, 2327.80448858055, 2456.37716999902, 1911.03749817670, 3102.31882105264, 2552.23705621920, 2115.30900816972, 2363.82165102813
2028, 2799.39931539956, 1889.46750803532, 3339.77477366266, 2968.00051121069, 2671.23379514275, 1964.83018467405, 3366.60114707791, 2751.98578995799, 2383.49408680480, 2512.12546251663, 1974.36675838866, 3193.45230242032, 2643.86876552477, 2172.32985814975, 2457.80870994252
2029, 2877.07672117685, 1935.20191525901, 3445.38995628417, 3092.49547675219, 2742.18483076407, 2027.17485501281, 3479.70589533969, 2862.44191945167, 2439.30434182127, 2567.84552107818, 2040.33534309597, 3287.56337706330, 2737.29358101843, 2231.22452483451, 2554.89349947251
2030, 2954.72945922572, 1998.52284327955, 3590.84789920367, 3137.91873717522, 2813.11334335204, 2108.40562213703, 3601.52455537158, 2865.40316894663, 2489.82722580105, 2623.54792288463, 2119.19887900581, 3326.60946859033, 2749.82195424612, 2248.23173150949, 2591.76077360954
2031, 3052.84191852454, 2031.48784000331, 3666.63035733807, 3349.12511301555, 2902.64376572159, 2158.50853809344, 3714.01268389319, 3090.51528164894, 2551.01654064764, 2699.40358070452, 2179.97604454017, 3485.80750950421, 2929.20073296224, 2354.17317201123, 2756.94269297951
