Year, Baseline: Based on- IEA ETP 2016 6DS, Baseline: Based on- AMPERE MESSAGE-MACRO Reference, Baseline: Based on- AMPERE GEM E3 Reference, Baseline: Based on- AMPERE IMAGE/TIMER Reference, Conservative: Based on- IEA ETP 2016 4DS, Conservative: Based on- AMPERE MESSAGE-MACRO 550, Conservative: Based on- AMPERE GEM E3 550, Conservative: Based on- AMPERE IMAGE/TIMER 550, Conservative: Based on- Greenpeace 2015 Reference, Ambitious: Based on- IEA ETP 2016 2DS, Ambitious: Based on- AMPERE MESSAGE-MACRO 450, Ambitious: Based on- AMPERE GEM E3 450, Ambitious: Based on- AMPERE IMAGE/TIMER 450, Ambitious: Based on- Greenpeace Energy [R]evolution, 100% REN: Based on- Greenpeace Advanced [R]evolution
2012, 7496.29286329576, 6994.13141359978, 6810.76796290990, 6986.60532871627, 7519.22127620643, 6995.92136661562, 6444.24949479267, 6828.85861525816, 7709.77529666601, 7563.32122415723, 6930.69990022592, 6603.11024936638, 6883.09686244490, 7709.77529666601, 7709.77529666601
2013, 7920.53295101401, 7454.74349126273, 7388.29404719107, 7578.86703950826, 7920.53295101401, 7454.36064000619, 6830.90399780636, 7296.95666241640, 8062.89840005609, 7920.53295101401, 7335.24705874264, 7009.00602137685, 7405.93798236074, 8158.18003989144, 8226.09321660672
2014, 8354.32505175177, 7913.89561539273, 7959.77681154342, 8192.76564892826, 8331.37039337012, 7908.72236567460, 7220.21055196717, 7785.35344464459, 8580.34776251322, 8287.21996552298, 7740.80382949283, 7405.68035745781, 7931.73015520242, 8532.82738362102, 8876.44822661648
2015, 8780.75789939568, 8355.82709033557, 8509.16622913613, 8811.03026704782, 8734.83965525971, 8343.47168376418, 7597.58076665984, 8277.70593412338, 9085.84425207349, 8646.52162887543, 8132.07520348150, 7779.21475927226, 8444.73289181602, 8904.46667757342, 9463.18074682649
2016, 9208.28764317085, 8788.77159170368, 9044.31404850746, 9440.92083153156, 9139.38991468521, 8767.06384159017, 7970.37790866315, 8781.18457039655, 9588.01506618349, 9006.87371079515, 8517.32755415004, 8138.22051786057, 8953.11239427078, 9281.47803863918, 9999.65579121147
2017, 9636.86399475692, 9212.96824713974, 9565.13614560309, 10081.56313424290, 9544.96562169846, 9179.95999950280, 8338.64336997864, 9295.13715603159, 10086.82019270560, 9368.21054124733, 8896.96624178952, 8483.79493064294, 9457.08857784022, 9663.48710185345, 10490.36802397230
2018, 10066.25662674990, 9628.42549064557, 10071.29747837190, 10731.81803429290, 9951.33459115696, 9582.39219697598, 8702.21234821200, 9818.67578366917, 10582.02436848170, 9730.29636196073, 9271.17860916067, 8816.82750483447, 9956.63936959941, 10049.94488093600, 10939.59558498660
2019, 10496.04065312230, 10034.95300568220, 10562.24028968760, 11390.29318830510, 10358.07495626080, 9974.39682998302, 9060.74276572954, 10350.69406058820, 11073.17981547530, 10092.71511324420, 9639.96635309565, 9138.03549495503, 10451.52584020150, 10440.11513769180, 11351.39995214420
2020, 10925.86399761440, 10165.74317615660, 10906.83460325690, 11902.48723995570, 10764.83969469040, 10069.55491611890, 9395.93332240103, 11007.97677649380, 11378.74627056520, 10455.12949340310, 9886.43301868560, 9751.72504716286, 10732.12733888830, 11137.66842417120, 11206.42023983590
2021, 11380.61823643950, 10821.02108221450, 11496.77460018090, 12726.77372388340, 11154.87719285880, 10727.84366286000, 9761.83211752794, 11436.20342010220, 12042.06127592430, 10763.15766860330, 10361.83622799610, 9748.41733496261, 11426.87039236700, 11229.18302772430, 12079.60212173210
2022, 11835.37359472550, 11201.04510018880, 11940.12721106480, 13402.82741883680, 11544.87707532570, 11090.22890415610, 10104.48626201920, 11988.27694041660, 12519.71323600560, 11071.10206694720, 10715.76248772630, 10039.85525772340, 11907.70394699660, 11627.41370691080, 12405.05163753310
2023, 12290.21993697620, 11572.92398418850, 12367.60073687940, 14083.02452174190, 11934.93085629490, 11443.88918588230, 10442.12693326950, 12545.82728048920, 12992.95515765740, 11379.05519865350, 11065.77419259790, 10323.82192491980, 12384.44572695580, 12027.81390171610, 12710.94628851810
2024, 12745.34978250440, 11937.19181227130, 12779.39489417980, 14766.74144184850, 12325.22726202780, 11789.58609335910, 10775.06244136570, 13108.45505043600, 13461.98647783030, 11687.19919408490, 11412.57004738520, 10601.71230899550, 12857.59758980740, 12430.26275619560, 13002.05717206790
2025, 13200.92838405850, 12294.35627133960, 13175.68393040820, 15453.33650465400, 12715.92549604340, 12128.05447842630, 11103.57684607400, 13675.74093208550, 13772.14044730670, 11995.68426699800, 11756.82287049510, 10874.89560849580, 13327.63865697590, 12766.74956810940, 13067.95526318700
2026, 13723.82909859520, 12644.76353368570, 13556.46997619510, 16141.97447815590, 13172.87147103300, 12459.86953145310, 11427.80814250540, 14247.09213902210, 14387.96217157520, 12317.40989629680, 12099.05102546350, 11144.59722248140, 13794.87684512090, 13240.57830529520, 13558.75319852360
2027, 14247.23630023380, 12988.71060430850, 13921.70232449400, 16831.75606270730, 13630.27233627400, 12785.55830284220, 11747.84954501000, 14821.85924148060, 14844.90731218350, 12639.48748626250, 12439.72593518500, 11412.00037315570, 14259.56655564350, 13647.82891754160, 13833.49769603110
2028, 14771.19886652300, 13326.62881669240, 14271.47399978770, 17521.95441997650, 14088.17337301910, 13105.78039543810, 12063.91544080750, 15399.54468928740, 15297.85581848890, 12961.95554170690, 12779.44782118900, 11678.40753439340, 14722.10966544000, 14056.09280641020, 14111.98641864400
2029, 15295.76547320460, 13658.97561017790, 14605.90514799280, 18211.88342277830, 14546.61931682080, 13421.22103053420, 12376.24389190290, 15979.68587051900, 15746.84952456730, 13284.85123089890, 13118.84269196280, 11945.14441646540, 15182.93981607520, 14465.09985177770, 14398.85395520650
2030, 15820.98534337190, 14206.74763608210, 15028.78639768110, 19013.81635425120, 15005.65512870790, 14006.51515284840, 12712.23406755180, 16468.48898022410, 16176.54898763480, 13608.21122894530, 13643.98155511690, 11756.26705439170, 15735.91469816220, 14559.45175136610, 15691.11011122430
2031, 16362.94530580710, 14308.69895633640, 15229.12595867250, 19588.10736448140, 15434.37437372620, 14040.41479417080, 12990.56375843550, 17145.41097812190, 16633.14446337580, 13904.86116419360, 13799.07921761000, 12484.84003602320, 16101.11644738190, 15284.26655575810, 15016.30391282600
2032, 16905.68219425410, 14626.86847669890, 15518.01560972030, 20272.89188600910, 15863.75644965870, 14345.41946794450, 13292.92130740680, 17729.94743686850, 17070.53670334110, 14202.03221465960, 14141.06222104310, 12760.35074030250, 16559.20807291250, 15693.89219046470, 15356.20130235500
2033, 17449.23770153370, 14941.08054669850, 15791.79438383270, 20954.41890939820, 16293.83570608900, 14648.17367439220, 13592.29885814780, 18314.87403890360, 17504.13610849690, 14499.74992037340, 14485.02782810500, 13041.32078390550, 17017.10675618010, 16103.17450212660, 15723.09184068220
2034, 17993.64739760080, 15251.69690599030, 16050.46906126770, 21631.88543649320, 16724.64062888910, 14949.27054406600, 13888.84761831200, 18899.62662518440, 17933.96538820010, 14798.03444282620, 14831.51664736540, 13329.00287026330, 17475.14898782960, 16511.82521666890, 16121.63935730230
2035, 18538.95180635230, 15559.08345709970, 16294.04815638800, 22304.49242078160, 17156.20424015000, 15249.30804908190, 14182.72232479570, 19483.64526551010, 18360.05153262890, 15096.90988184750, 15181.07474215920, 13624.65678400790, 17933.67676218250, 16919.55977687810, 16556.52438281040
2036, 18932.34055570870, 15863.61218632210, 16522.54365866680, 22971.44744294690, 17481.54306131590, 15548.89096162480, 14474.08296572400, 20066.37665215520, 18782.40821119140, 15356.79065721480, 15534.25565529930, 13929.55142477640, 18393.03992093490, 17326.08106655030, 17032.42930870070
2037, 19326.54093833070, 16165.67064864380, 16735.98050202810, 23631.97854441400, 17807.59143933080, 15848.64024161590, 14763.10341528080, 20647.28625851880, 19201.07355685040, 15617.26748141690, 15891.62992829640, 14244.97358772740, 18853.60739322140, 17731.11417993200, 17554.07357639730
2038, 19721.63974948430, 16465.65500473710, 16934.38868554740, 24285.32446006060, 18134.42682786360, 16149.18633092900, 15049.96507259160, 21225.84991601660, 19616.12833072320, 15878.40655473660, 16253.77863873300, 14572.22247259900, 19315.75952419460, 18134.42327426080, 18126.23251299620
2039, 20117.74538218670, 16763.96796819830, 17117.80059440120, 24930.73143887170, 18462.14605103700, 16451.16728376090, 15334.85494588480, 21801.55117405000, 20027.67442592000, 16140.29070232430, 16621.29168401850, 14912.60854505680, 19779.88590618260, 18535.79184029720, 18753.72130980960
2040, 20514.93877224450, 17156.18370221490, 17279.16248547730, 25649.61636768330, 18790.82022471810, 16783.04954819520, 15599.72680753370, 22323.50920801670, 20793.25412200890, 16402.97992293150, 16858.05866659770, 15574.00542839710, 20481.57321576320, 19158.42225836920, 18863.01543614120
2041, 20941.33323511430, 17357.11025618360, 17439.66002185540, 26194.57812391470, 19157.64494614460, 17061.91389678850, 15899.39147493400, 22942.18869331030, 20840.48903997480, 16684.69213433910, 17374.70310460150, 15637.99306867130, 20715.53211954410, 19331.69269686430, 20193.91832449920
2042, 21368.87032361070, 17652.64737139080, 17578.05114721630, 26811.34369221420, 19525.48406502060, 17371.86671591400, 16179.31997129670, 23505.95281556460, 21241.75883934830, 16967.23761022880, 17761.69581821070, 16025.55589065040, 21187.72087406170, 19725.60226850030, 21016.18349459330
2043, 21797.51519631010, 17947.91905738120, 17701.32550839530, 27416.80395695890, 19894.30387739400, 17685.61917860930, 16457.83128053710, 24064.49420693410, 21639.54950605060, 17250.58402504370, 18156.23076311170, 16431.37500252080, 21663.20844510280, 20116.35027689020, 21912.91319187760
