# 'Variable Meta-analysis'!C207:X211, VMA #5
Source ID, Link, Region, Specific Geographic Location, Source Validation Code, Year, License Code, Raw Data Input, Original Units, Weight
"IPCC WG3 AR5 (Table A.III.1) Solar PV, min", https://www.ipcc.ch/pdf/assessment-report/ar5/wg3/ipcc_wg3_ar5_annex-iii.pdf, World, , , 2014, , 1200, kWh/kW, 
"IPCC WG3 AR5 (Table A.III.1) Solar PV, max", https://www.ipcc.ch/pdf/assessment-report/ar5/wg3/ipcc_wg3_ar5_annex-iii.pdf, World, , , 2014, , 2400, kWh/kW, 
"REN21 2016, Africa, weighted average", http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf, Middle East and Africa, Africa, , 2016, , 19.90%, Capacity factor (%), 
"REN21 2016, Asia, weighted average", http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf, Asia (Sans Japan), Asia, , 2016, , 16.60%, Capacity factor (%), 
"REN21 2016, Central America and the Caribbean, weighted average", http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf, Latin America, Central America and the Caribbean, , 2016, , 19.80%, Capacity factor (%), 
"REN21 2016, Eurasia, weighted average", http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf, Asia (Sans Japan), Eurasia, , 2016, , 11.90%, Capacity factor (%), 
"REN21 2016, Europe, weighted average", http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf, EU, Europe, , 2016, , 12.30%, Capacity factor (%), 
"REN21 2016, Middle East, weighted average", http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf, Middle East and Africa, Middle East, , 2016, , 25.60%, Capacity factor (%), 
"REN21 2016, South America, weighted average", http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf, Latin America, South America, , 2016, , 32.00%, Capacity factor (%), 
"REN21 2016, China, weighted average", http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf, China, China, , 2016, , 17.00%, Capacity factor (%), 
"REN21 2016, India, weighted average", http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf, India, India, , 2016, , 20.60%, Capacity factor (%), 
"REN21 2016, United States, weighted average", http://www.ren21.net/wp-content/uploads/2016/06/GSR_2016_Full_Report_REN21.pdf, USA, USA, , 2016, , 19.70%, Capacity factor (%), 
"IRENA 2014, Asia (Sans Japan)", http://www.irena.org/documentdownloads/publications/irena_re_power_costs_2014_report.pdf, Asia (Sans Japan), , , 2014, , 14.00%, Capacity factor (%), 
"IRENA 2014, China", http://www.irena.org/documentdownloads/publications/irena_re_power_costs_2014_report.pdf, China, , , 2014, , 17.00%, Capacity factor (%), 
"IRENA 2014, Middle East and Africa", http://www.irena.org/documentdownloads/publications/irena_re_power_costs_2014_report.pdf, Middle East and Africa, , , 2014, , 22.00%, Capacity factor (%), 
"IRENA 2014, India", http://www.irena.org/documentdownloads/publications/irena_re_power_costs_2014_report.pdf, India, , , 2014, , 21.00%, Capacity factor (%), 
"IRENA 2014, Latin America", http://www.irena.org/documentdownloads/publications/irena_re_power_costs_2014_report.pdf, Latin America, , , 2014, , 27.00%, Capacity factor (%), 
"IRENA 2014, USA", http://www.irena.org/documentdownloads/publications/irena_re_power_costs_2014_report.pdf, USA, , , 2014, , 22.00%, Capacity factor (%), 
"Bolinger, et al., 2015 (LBNL)", zotero://attachment/9207/, USA, , , 2010-2012, , 27.50%, Capacity factor (%), 
"Lazard's LCOE Analysis–Version 10.0, 2016, Solar PV utility scale Crystalline high", https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/, USA, , , 2016, , 30.00%, Capacity factor (%), 
"Lazard's LCOE Analysis–Version 10.0, 2016, Solar PV utility scale Crystalline low", https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/, USA, , , 2016, , 21.00%, Capacity factor (%), 
"Lazard's LCOE Analysis–Version 10.0, 2016, Solar PV utility scale Thin Film high", https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/, USA, , , 2016, , 32.00%, Capacity factor (%), 
"Lazard's LCOE Analysis–Version 10.0, 2016, Solar PV utility scale Thin Film low", https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/, USA, , , 2016, , 23.00%, Capacity factor (%), 
EIA 2016, https://www.eia.gov/electricity/monthly/pdf/epm.pdf, USA, , , 2014, , 25.90%, Capacity factor (%), 
EIA 2016, https://www.eia.gov/electricity/monthly/pdf/epm.pdf, USA, , , 2015, , 28.60%, Capacity factor (%), 
