# Adoption Data for the Solar PV Utility solution
"Year", "World"
2012, 58.200000000000
2013, 81.060000000000
2014, 112.633033333333
2015, 119.082872575862
2016, 139.070863900396
2017, 160.738678491041
2018, 184.276817469110
2019, 209.874233910955
2020, 267.303807877295
2021, 268.003202888698
2022, 300.916303365190
2023, 336.650956463261
2024, 375.400427552835
2025, 417.358420403904
2026, 462.717949665546
2027, 511.671816411265
2028, 564.414189456056
2029, 621.139957554701
2030, 669.196542003481
2031, 747.323822474401
2032, 817.174020303322
2033, 891.793024506012
2034, 971.379866126780
2035, 1056.134277124810
2036, 1146.255717363670
2037, 1241.944253966680
2038, 1343.401911782390
2039, 1450.831970974050
2040, 1563.617205599780
2041, 1684.423402620470
2042, 1810.990745902630
2043, 1944.340760081400
2044, 2084.672522890190
2045, 2232.184949963720
2046, 2387.078312775340
2047, 2549.553390043520
2048, 2719.809126839950
2049, 2898.043565559260
2050, 3085.966882208270
2051, 3279.238722245260
2052, 3482.594446398830
2053, 3694.706896731450
2054, 3915.755760458040
2055, 4145.922091574240
2056, 4385.393406147440
2057, 4634.364193187830
2058, 4893.030327965110
2059, 5161.592495543770
2060, 5440.252799874110
