"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
,,,,,,,,,,US$2014 per million m2 commercial floor space,,See explanation for weighting methodology,
,,,,,,,,,,US$2014 per million m2 commercial floor space,,See explanation for weighting methodology,
,,,,,,,,,,US$2014 per million m2 commercial floor space,,See explanation for weighting methodology,
,,,,,,,,,,US$2014 per million m2 commercial floor space,,See explanation for weighting methodology,
,,,,,,,,,,US$2014 per million m2 commercial floor space,,See explanation for weighting methodology,
,,,,,,,,,,US$2014 per million m2 commercial floor space,,See explanation for weighting methodology,
,,,,,,,,,,US$2014 per million m2 commercial floor space,,See explanation for weighting methodology,
,,,,,,,,,,US$2014 per million m2 commercial floor space,,See explanation for weighting methodology,
,,,,,,,,,,US$2014 per million m2 commercial floor space,,See explanation for weighting methodology,
,,,,,,,,,,US$2014 per million m2 commercial floor space,,See explanation for weighting methodology,
