VMA number,Title on xls,Fixed Mean,Fixed High,Fixed Low
1,Current Adoption,5525.941972233443,10258.585554408313,793.2983900585732
2,CONVENTIONAL First Cost per Implementation Unit,4.442162256132418,4.442162256132418,4.442162256132418
3,SOLUTION First Cost per Implementation Unit,6.93288626734667,8.925829268116503,4.939943266576837
4,CONVENTIONAL Lifetime Capacity,27.5,30.0,25.0
5,SOLUTION Lifetime Capacity,17.5,23.090169943749473,11.909830056250525
6,CONVENTIONAL Average Annual Use,1.0,1.0,1.0
7,SOLUTION Average Annual Use,1.0,1.0,1.0
12,CONVENTIONAL Total Energy Used per Functional Unit,0.2026956015586753,0.2026956015586753,0.2026956015586753
13,SOLUTION Energy Efficiency Factor,0.12260109334620312,0.22059487448615556,0.02460731220625069
15,CONVENTIONAL Fuel Consumed per Functional Unit,241.42579438817637,241.42579438817637,241.42579438817637
16,SOLUTION Fuel Efficiency Factor,0.24086352660799773,0.3306709808332372,0.15105607238275826
23,CONVENTIONAL Revenue per Functional Unit,7.0,7.0,7.0
25,Commercial Building Energy Consumption (kWh/m2/yr) (Weighted Average by Region),269.861403167409,331.2438059870597,208.47900034775824
26,Commercial Building Energy Consumption for Thermal Purposes (Heating and Cooling) (% of total),0.25546686396451806,0.41268775089569565,0.09824597703334048
27,Commercial Building Energy Consumption for Non-Thermal Purposes (all other end-uses) (% of total),0.7441511586791743,0.901476306364056,0.5868260109942925
28,Commercial Building Electricity Consumption for Space Heating (% of total),0.044179758563447885,0.07951169505392561,0.008847822072970156
29,Commercial Building Electricity Consumption for Cooling (% of total),1.0,1.0,1.0
30,Commercial Building Fuel Consumption for Space Heating (% of total Space Heating/Cooling),0.9727602538171701,0.9727602538171701,0.9727602538171701
31,BAS Efficiency Factors for Non-Thermal Efficiency (Electricity End-Uses),0.08200163637051475,0.11828765504706903,0.045715617693960466
32,BAS Efficiency Factors for Thermal Efficiency (Heating/Cooling End-Uses),0.24086352660799773,0.3306709808332372,0.15105607238275826
33,Discount Rates - Commercial,0.09219999999999999,0.1231735370921695,0.06122646290783049
