,Total Area (km2),"AEZ1: Forest, prime, minimal","AEZ2: Forest, good, minimal","AEZ3: Forest, good, moderate","AEZ4: Forest, good, steep","AEZ5: Forest, marginal, minimal","AEZ6: Forest, marginal, moderate","AEZ7: Forest, marginal, steep","AEZ8: Grassland, prime, minimal","AEZ9: Grassland, good, minimal","AEZ10: Grassland, good, moderate","AEZ11: Grassland, good, steep","AEZ12: Grassland, marginal, minimal","AEZ13: Grassland, marginal, moderate","AEZ14: Grassland, marginal, steep","AEZ15: Irrigated Cropland, prime, minimal","AEZ16: Irrigated Cropland, good, minimal","AEZ17: Irrigated Cropland, good, moderate","AEZ18: Irrigated Cropland, good, steep","AEZ19: Irrigated Cropland, marginal, minimal","AEZ20: Irrigated Cropland, marginal, moderate","AEZ21: Irrigated Cropland, marginal, steep","AEZ22: Rainfed Cropland, prime, minimal","AEZ23: Rainfed Cropland, good, minimal","AEZ24: Rainfed Cropland, good, moderate","AEZ25: Rainfed Cropland, good, steep","AEZ26: Rainfed Cropland, marginal, minimal","AEZ27: Rainfed Cropland, marginal, moderate","AEZ28: Rainfed Cropland, marginal, steep",AEZ29: All Barren Land
OECD90,3665022.210032194,320078.4420189173,317863.75346219476,147520.77708794636,42672.890823697315,116621.03484198482,54123.89898911904,15656.257227675716,487718.182550814,484343.56015829125,224784.16489406885,65022.63828031539,177700.81234326414,82471.06390869287,23856.15623616023,35788.9033664483,35541.27258493306,16494.72798743452,4771.380279231801,13039.737759684285,6051.750872439284,1750.5717456861018,164578.58687192985,163439.83378775525,75852.53437952016,21941.634135700926,59964.441818613894,27829.53689552707,8050.166309176233,469493.49841497117
Eastern Europe,4774536.288380266,628067.5219278368,631589.9234951844,402504.08752400154,95039.40600500163,104452.6358290654,66566.31353646882,15717.66124753068,532499.0641461326,535485.487536411,341257.97376631445,80577.95219107423,88558.83943154254,56437.40270636121,13326.019277649686,15921.823887886992,16011.118518575076,10203.678700087496,2409.2961855061308,2647.9262407825267,1687.4891376970434,398.45052574045224,90494.91623692267,91002.4403862554,57994.67798255073,13693.723660841822,15050.025992528745,9591.186866649678,2264.6743994494277,853084.571038217
Asia (Sans Japan),4935041.159579753,333974.6002051228,273221.2095124127,269303.3610254178,131765.91442294963,168990.12316807648,166566.89365543114,81498.57087385766,380403.3629057551,311204.1060962859,306741.6028433657,150083.85946732588,192482.93466482603,189722.8305876399,92828.40794894958,56248.79159352134,46016.56192822594,45356.708625296254,22192.32676662869,28461.71599159483,28053.58994920615,13726.181947483115,100200.217411939,81972.7745100442,80797.32802416527,39532.86646515457,50701.00262568375,49973.97690619202,24451.483781423198,1218567.8556757781
Middle East and Africa,2074002.5499536274,73519.19964752585,89490.34654761416,51706.523488212704,8759.282438632055,32742.456464551906,18918.22592669657,3204.8196813611544,164197.73009037774,199867.67862772866,115481.31411023931,19562.97539335759,73126.97982075172,42251.95281495489,7157.642079230367,24624.67171686777,29974.08045964617,17318.68916721266,2933.8520489987154,10966.825611662643,6336.509444388615,1073.4288858370487,80103.89220540947,97505.48302542717,56337.57989305929,9543.801069990717,35675.010279645285,20612.62279261882,3491.8569778278056,777517.1192438006
Latin America,2563961.766307802,361346.64131043974,456212.35674996674,173629.56956873077,52926.53161302593,85485.12904747072,32534.730682830916,9917.380180594791,293928.29806838685,371094.418066233,141234.58763198738,43051.75026191654,69535.71894277784,26464.554874614616,8067.042403405233,21001.28240788388,26514.82938190939,10091.261985024255,3076.0630104211186,4968.352079569922,1890.9019457235404,576.3930755345982,70518.06347337924,89031.44031992037,33884.41902573049,10328.798137372767,16682.72253572872,6349.266718132035,1935.4114999618555,141683.8513091284
TOTAL,18012563.974253643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,3668129.6345780073,122501.4736503513,103079.76364557807,156555.05430797956,86251.69588272838,75162.327658234,114154.72709956841,62891.8615811561,235563.95315553344,198217.0164254247,301047.21502802207,165857.51863276528,144533.2411435388,219513.59429126605,120937.77400305799,30294.980746147747,25491.933785820976,38716.533072161576,21330.30230761109,18587.868385494457,28230.80536511781,15553.345432633083,48539.535378003646,40843.948118631,62032.80149002243,34176.05616453333,29782.045503168432,45232.25108647468,24920.040953305546,1098129.9702836778
India,81392.98616174381,10961.607683334027,13064.865808500577,4151.785491217717,1198.8496082828672,10265.251706679024,3262.1171716710637,941.9532636508242,4954.048387499678,5904.6062640891605,1876.3804372677375,541.81458964256,4639.333493212913,1474.2989149960797,425.71146329058297,1046.3252953223273,1247.0889280419965,396.30301555292004,114.43455254659321,979.8555863187115,311.38094079158003,89.91286271518038,2032.8381092704005,2422.888856750786,769.9516359169922,222.32753090649362,1903.6983874470466,604.9619996490654,174.68591714081646,5413.7082600380845
EU,802982.9969045055,106771.51988839812,64063.841072336756,61791.388595244,14631.606005625568,25297.4948465264,24400.150043811256,5777.720650651839,84747.85112078926,50849.448159014624,49045.732482689855,11613.55732988438,20079.402533777276,19367.152264941495,4585.955225052082,23324.762143494154,13995.060261132756,13498.631873057126,3196.346087563942,5526.3618120098845,5330.332439140522,1262.171410961173,67192.77823680604,40316.25166215559,38886.16622826298,9207.869838435698,15920.059609024018,15355.348247850068,3635.9986520679668,3312.0381838006556
USA,1319558.866475977,201039.75357805542,135900.2884971615,102404.16602576022,29748.550247818817,23521.20377835487,17723.797965996957,5148.787542891718,214964.2147274955,145313.04519675477,109496.906670276,31809.001102963197,25150.334745592172,18951.387692932385,5505.404037051322,5891.750794787732,3982.747782538235,3001.0971254876504,871.8228183577573,689.321731593156,519.420656334401,150.89241086961184,31925.300536322346,21581.0926745902,16261.877157915025,4724.097549257893,3735.189116755996,2814.555661946831,817.6322681407892,155915.22638197508
