Year,World
2012,
2013,
2014,13481.694444444443
2015,13637.963944094956
2016,13766.015258502031
2017,13893.531757803054
2018,14020.426497553579
2019,14146.65990362128
2020,14272.69919822838
2021,14396.830622173866
2022,14492.830860526434
2023,14615.329072962966
2024,14709.036507272234
2025,14857.690938610847
2026,14920.358570100023
2027,15010.018605210476
2028,15098.17015452909
2029,15212.413680727577
2030,15262.66453519181
2031,15379.992087884422
2032,15433.114727344813
2033,15511.910434646725
2034,15588.47926499622
2035,15636.24032898019
2036,15706.722144825902
2037,15748.1376936071
2038,15786.79690084198
2039,15822.635525382058
2040,15854.131270523298
2041,15885.084469249556
2042,15911.45547294669
2043,15932.655170154103
2044,15922.698338300079
2045,15928.101162103823
2046,15920.177455972409
2047,15899.75977511191
2048,15875.857211707178
2049,15931.807746831955
2050,16058.04825044888
2051,15894.517240785224
2052,15857.050087628877
2053,15816.396272228334
2054,15800.513794059356
2055,15753.973393571447
2056,15704.760551838348
2057,15653.018953579256
2058,15598.96532066691
2059,15538.059023063948
2060,15473.517338198644
