VMA number,Title on xls,Fixed Mean,Fixed High,Fixed Low
1,Current Adoption,43.035160579474606,85.97100469772252,0.09931646122669946
2,CONVENTIONAL First Cost per Implementation Unit,2.2327820362894992,5.00749558838112,0.0
3,SOLUTION First Cost per Implementation Unit,709.9486666666666,1016.6474602664388,403.24987306689434
4,CONVENTIONAL Lifetime Capacity,3.3553728472605507e-06,6.304491638148458e-06,4.062540563726437e-07
5,SOLUTION Lifetime Capacity,4.179935930625e-05,5.246342017517934e-05,3.113529843732066e-05
6,CONVENTIONAL Average Annual Use,1.6784148689795301e-06,2.2256128115758125e-06,1.1312169263832477e-06
7,SOLUTION Average Annual Use,2.572268265e-06,3.6752939999999996e-06,1.46924253e-06
8,CONVENTIONAL Variable Operating Cost (VOM) per Functional Unit,0.04742293027961719,0.0756474039276142,0.019198456631620186
9,SOLUTION Variable Operating Cost (VOM) per Functional Unit,0.017401596069386936,0.024169147228164135,0.010634044910609734
15,CONVENTIONAL Fuel Consumed per Functional Unit,29924.777902825932,41706.141109106204,18143.41469654566
17,CONVENTIONAL Direct Emissions per Functional Unit,584099.9995327201,756458.8111800156,411741.1878854246
18,SOLUTION Direct Emissions per Functional Unit,123549.5259985871,196559.99984275203,50539.052154422156
21,CH4-CO2eq Tons Reduced,18.050541516245488,18.050541516245488,18.050541516245488
25,tCO2/yr per digester,2.0250000000000004,2.631733054975579,1.4182669450244219
26,Black carbon GWP,660.0,821.9670748434179,498.0329251565821
27,t CO2 eq per Metric ton of fuel,1.511859461135938,2.4396906525859947,0.5840282696858811
28,Average Household Biodigester Production per year,630.0,880.0,380.0
29,Kerosene (Heating Oil) Spot Price,0.2635739550030116,0.2635739550030116,0.2635739550030116
