# Interpolation for Adoption Data (Global) -Project Drawdown Analysis based on
# Market Reports and a Drop om HEV to 0 (replaced by EV's)
Year,Adoption
2005, 31955616708.5883
2006, 47734728077.7032
2007, 68651314332.2073
2008, 81366384434.3895
2009, 99213462555.1726
2010, 119933945060.5110
2011, 140014637844.7730
2012, 175785472862.2540
2013, 213551310521.7010
2014, 252995954442.1490
2015, 291452226281.2280
2016, 334130932328.0940
2017, 380874657580.0640
2018, 383153583719.2800
2020, 247904610411.3290
2025, 1019697516572.2800
2030, 2599190050163.4800
2035, 5010869682785.5900
2040, 6410487932339.8900
2041, 4952164974107.3500
2042, 3471059130553.4700
2043, 3037031311473.9600
2044, 2867812331892.9600
2045, 2708792506478.7200
2046, 2506767191764.3100
2047, 2315183848959.6500
2048, 2118918027203.9800
2049, 1917824476430.8500
2050, 1708203896042.8900
2051, 1493723260483.0100
2052, 1274050566195.5800
2053, 1048617954861.5900
2054, 817272638531.5620
2055, 580080299568.7460
2056, 335723147754.2400
2057, 84213038463.4173
