year,Residential - IEA 2013 - Transition to Sustainable Buildings,Residential - GBPN 2012 - Best Practice Policies for Low Carbon and Energy Buildings,Residential - Drawdown Custom Calculation Based Upon GBPN 2012 Methodology,Residential - Source 4,Residential - Source 5,Residential - High,Residential - Low,Residential - Average,Commercial - IEA 2013 - Transition to Sustainable Buildings,Commercial - GBPN 2012 - Best Practice Policies for Low Carbon and Energy Buildings,Commercial - Drawdown Custom Calculation Based Upon GBPN 2012 Methodology,Commercial - Source 4,Commercial - Source 5,Commercial - High,Commercial - Low,Commercial - Average,Total - IEA 2013 - Transition to Sustainable Buildings,Total - GBPN 2012 - Best Practice Policies for Low Carbon and Energy Buildings,Total - Drawdown Custom Calculation Based Upon GBPN 2012 Methodology,Total - Source 4,Total - Source 5,Total - High,Total - Low,Total - Average
2041,269050.22098950,168940.07841009,238644.64583387,,,267451.31429108,183638.64919790,225544.98174449,58774.64548888,76217.36111269,121564.72718466,,,111983.19809329,59054.62443087,85518.91126208,327824.86647838,245157.43952279,360209.37301853,,,359505.84812861,262621.93788452,311063.89300656
2042,272373.41747165,169382.42863837,239407.74448537,,,269998.19385701,184110.86653991,227054.53019846,59356.63002606,79814.87592983,125658.18376463,,,115997.48339253,60555.64308781,88276.56324017,331730.04749772,249197.30456820,365065.92824999,,,364034.81512499,266627.37175228,315331.09343864
2043,275702.62319288,169803.94310751,240144.87148897,,,272553.92654680,184547.03197944,228550.47926312,59932.08696279,83524.94852242,129786.43321682,,,120095.28645682,62067.02601119,91081.15623401,335634.71015567,253328.89162992,369931.30470579,,,368560.86658771,270702.40440654,319631.63549713
2044,279037.14338352,170205.12658159,240855.78207345,,,275117.46754356,184947.90048214,230032.68401285,60500.84957266,87348.81211893,133948.09064764,,,124276.54392536,63588.62430079,93932.58411308,339537.99295618,257553.93870051,374803.87272109,,,373082.60434534,274847.93190651,323965.26812593
2045,282376.33446950,170586.48382469,241540.28598866,,,277687.84817998,185314.22134191,231501.03476095,61062.76354009,91287.69994782,138141.77116351,,,128541.28324174,65120.20652588,96830.74488381,343439.09800959,261874.18377251,379682.05715217,,,377598.71959906,279064.83969045,328331.77964476
2046,285719.78440010,170948.51960089,242198.49176590,,,280264.40052977,185646.79664815,232955.59858896,61617.72581131,95342.84523757,142366.08987085,,,132889.61160535,66661.49567447,99775.55363991,347337.51021141,266291.36483846,384564.58163674,,,382108.25706562,283354.04739213,332731.15222887
2047,289067.16647075,171291.73867429,242830.45799062,,,282846.51224475,185946.39651236,234396.45437855,62165.65255941,99515.48121663,146619.66187606,,,137321.70840862,68212.15535945,102766.93188403,351232.81903016,270807.21989092,389450.11986668,,,386610.30145094,287716.47107424,337163.38626259
2048,292417.97237189,171616.64580894,243435.89163148,,,285433.32398709,186213.68255445,235823.50327077,62706.42173754,103806.84111348,150901.10228556,,,141837.82196563,69771.75479209,105804.78837886,355124.39410943,275423.48692242,394336.99391704,,,391103.63313502,292152.95016424,341628.29164963
2049,295771.65846562,171923.74576895,244014.40987991,,,288023.94139469,186449.26801496,237236.60470483,63239.90497098,108218.15815657,155209.02620578,,,146438.26294104,71339.79661451,108889.02977777,359011.56343660,280141.90392551,399223.43608568,,,395586.98774053,296664.28122466,346125.63448260
2050,299127.63972140,172213.54331837,244565.82019599,,,290617.53636317,186653.79912734,238635.66774526,63765.96644304,112750.66557437,159745.13346697,,,151273.39395810,72901.11636482,112087.25516146,362893.60616444,284964.20889274,404310.95366296,,,400200.22760312,301245.61821031,350722.92290671
2051,302485.64817205,172486.54322131,245090.50138517,,,293213.73848932,186828.05669637,240020.89759284,64284.53927509,117405.59659534,163898.78500397,,,155893.64682665,74498.96708962,115196.30695813,366770.18744713,289892.13981665,408989.28638914,,,404519.91671962,305914.49238233,355217.20455098
2052,305845.09810052,172743.25024184,245588.88873245,,,295811.97554602,186972.84917052,241392.41235827,64795.49005091,122184.18444796,168277.85009479,,,160749.47278409,76088.87694501,118419.17486455,370640.58815142,294927.43468980,413866.73882725,,,408968.41084551,310654.76360013,359811.58722282
2053,309204.70188041,172984.16914403,246060.99191404,,,298411.01558097,187088.89304469,242749.95431283,65298.53878794,127087.66236069,172677.85912197,,,165691.40413686,77684.63604354,121688.02009020,374503.24066835,300071.83150472,418738.85103601,,,413403.59206722,315472.35673883,364437.97440303
2054,312562.88034237,173209.80469197,246506.78871284,,,301009.40711005,187176.90872141,244093.15791573,65793.34778454,132117.26356199,177097.42719193,,,170720.01760117,79285.34142447,125002.67951282,378356.22812691,305327.06825396,423604.21590477,,,417824.24831321,320367.42654387,369095.83742854
2055,315918.43916871,173420.66164975,246926.59851942,,,303606.10289425,187237.69666433,245421.89977929,66279.66467276,137274.22128032,181535.16941108,,,175835.92297207,80890.11393737,128363.01845472,382198.10384146,310694.88293006,428461.76793050,,,422229.70515497,325340.13131305,373784.91823401
2056,319270.87356257,173617.24478143,247320.92680436,,,306200.63006082,187272.06670475,246736.34838279,66757.38491479,142559.76874416,185989.70088584,,,181039.75149024,82498.15153962,131768.95151493,386028.25847736,316177.01352558,433310.62769020,,,426619.86506018,330390.73473525,378505.29989771
2057,322620.26713596,173800.05885110,247690.95913758,,,308793.18365844,187281.00642466,248037.09504155,67226.52836770,147975.13918196,190459.63672262,,,186332.15299908,84108.71651577,135220.43475743,389846.79550366,321775.19803306,438150.59586020,,,430995.50993884,335519.54965911,383257.52979898
2058,325966.79914899,173969.60862285,248038.61193268,,,311384.26636786,187265.74676848,249325.00656817,67687.13485682,153521.56582219,194943.59202784,,,191713.80361448,85721.05819009,138717.43090228,393653.93400581,327491.17444505,442982.20396051,,,435358.12299270,340726.75194821,388042.43747046
2059,329310.94212765,174126.39886075,248366.26471063,,,313974.73383753,187227.66996182,250601.20189968,68139.30468911,159200.28189333,199440.18190790,,,197185.39908961,87334.44657061,142259.92283011,397450.24681675,333326.68075408,447806.44661853,,,439709.81186359,346012.43759598,392861.12472979
2060,332653.19195558,174270.93432889,248676.02794249,,,316565.35412710,187168.08202420,251866.71807565,68583.14188197,165012.52062382,203898.75260589,,,202714.46919083,88948.47421696,145831.47170389,401236.33383755,339283.45495271,452574.78054837,,,444016.79627367,351379.58328541,397698.18977954
