year,Residential - IEA 2013 - Transition to Sustainable Buildings,Residential - GBPN 2012 - Best Practice Policies for Low Carbon and Energy Buildings,Residential - Drawdown Custom Calculation Based Upon GBPN 2012 Methodology,Residential - Source 4,Residential - Source 5,Residential - High,Residential - Low,Residential - Average,Commercial - IEA 2013 - Transition to Sustainable Buildings,Commercial - GBPN 2012 - Best Practice Policies for Low Carbon and Energy Buildings,Commercial - Drawdown Custom Calculation Based Upon GBPN 2012 Methodology,Commercial - Source 4,Commercial - Source 5,Commercial - High,Commercial - Low,Commercial - Average,Total - IEA 2013 - Transition to Sustainable Buildings,Total - GBPN 2012 - Best Practice Policies for Low Carbon and Energy Buildings,Total - Drawdown Custom Calculation Based Upon GBPN 2012 Methodology,Total - Source 4,Total - Source 5,Total - High,Total - Low,Total - Average
2012,174150.65000000,144779.45202229,,,,174150.65000000,144779.45202229,159465.05101115,38860.65714286,15308.70178820,,,,38860.65714286,15308.70178820,27084.67946553,213011.30714286,160088.15381049,,,,213011.30714286,160088.15381049,186549.73047667
2013,177298.97500000,146045.61164068,,,,177298.97500000,146045.61164068,161672.29332034,39626.46214286,16178.49549945,,,,39626.46214286,16178.49549945,27902.47882115,216925.43714286,162224.10714013,,,,216925.43714286,162224.10714013,189574.77214149
2014,180996.16544888,147276.29734158,207013.49011602,,,202883.74107425,153973.56086340,178428.65096883,40507.51783418,17125.08336067,29253.50638673,,,38510.09942608,19413.97229498,28962.03586053,221503.68328306,164401.38070225,236266.99650275,,,238380.46132862,176400.91233009,207390.68682936
2015,184214.14000197,148472.01388909,208600.57233526,,,205121.78041217,155736.03707204,180428.90874211,41273.89139554,18149.69860033,31884.06564137,,,39931.67350771,20940.09691712,30435.88521241,225488.03139751,166621.71248942,240484.63797663,,,242742.81402445,178986.77388459,210864.79395452
2016,187441.51985911,149633.26604728,210169.72483444,,,207383.03490890,157446.63891832,182414.83691361,42034.78814983,19253.57444688,34586.80989505,,,41442.67131740,22474.11034378,31958.39083059,229476.30800894,168886.84049416,244756.53472949,,,247136.31572395,181610.13976445,214373.22774420
2017,190676.80748317,150760.55858023,211716.69637184,,,209664.53141560,159104.84354122,184384.68747841,42789.86800117,20437.94412879,37360.35425418,,,43048.11936354,24010.65822589,33529.38879471,233466.67548434,171198.50270902,249077.05062602,,,251556.10913960,184272.04340665,217914.07627313
2018,193917.81148549,151854.39625203,213235.73902554,,,211961.88595923,160710.07854948,186335.98225435,43538.63245195,21704.04087453,40203.31382517,,,44752.46278556,25544.86198221,35148.66238388,237456.44393744,173558.43712656,253439.05285071,,,255996.01447252,186973.27480396,221484.64463824
2019,197161.34955470,152915.28382676,214719.59707051,,,214269.21227385,162261.60802746,188265.41015066,44280.35843570,23053.09791256,43114.30371443,,,46559.34088466,27072.49915714,36815.92002090,241441.70799040,175968.38173932,257833.90078495,,,260448.33243764,189714.32790547,225081.33017155
2020,200405.02724040,153943.72606849,216162.96689155,,,216582.26924632,163758.87755398,190170.57340015,45014.49871709,24486.34847135,46036.66089457,,,48439.26636952,28585.73901915,38512.50269434,245419.52595750,178430.07453984,262199.62778612,,,264871.62012233,192494.53206664,228683.07609449
2021,203648.05559366,154940.22774130,217563.45030116,,,218899.45269011,165201.70306731,192050.57787871,45740.86678079,26005.02577937,49134.83487345,,,50491.67208331,30095.47953910,40293.57581120,249388.92237445,180945.25352067,266698.28517461,,,269369.26871645,195319.03866337,232344.15368991
2022,206890.94146497,155905.29360929,218921.85387669,,,221221.80858374,166590.25071689,193906.02965031,46459.56778394,27610.36306507,52241.60635602,,,52620.61876480,31587.07270522,42103.84573501,253350.50924890,183515.65667435,271163.46023271,,,273834.53713084,198185.21363981,236009.87538532
2023,210134.14793856,156839.42843652,220240.17311826,,,223551.00953352,167924.82346204,195737.91649778,47170.69755748,29303.59355692,55410.86858253,,,54858.83283545,33064.60696251,43961.71989898,257304.84549605,186143.02199344,275651.04170079,,,278303.42669905,201095.84609447,239699.63639676
2024,213378.64251403,157743.13698708,221521.96880907,,,225889.80231633,169206.02989046,197547.91610339,47874.46540504,31085.95048339,58641.23665939,,,57205.80155824,34528.63347364,45867.21751594,261253.10791907,188829.08747047,280163.20546846,,,282777.76626296,204052.50097570,243415.13361933
2025,216625.20234203,158616.92402505,222770.03964507,,,228240.17904453,170434.59829690,199337.38867072,48571.03776897,32958.66707295,61931.32569301,,,59660.28701601,35980.40000728,47820.34351164,265196.24011100,191575.59109800,284701.36533808,,,287258.79852872,207056.66583600,247157.73218236
2026,219873.91465032,159461.29431451,223984.78187320,,,230602.17056223,171611.15666313,201106.66361268,49260.42615180,34922.97655405,65279.75078981,,,62220.49095914,37421.61137130,49821.05116522,269134.34080212,194384.27086856,289264.53266300,,,291745.82303828,210109.60651751,250927.71477790
2027,223124.63279785,160276.75261954,225165.76154596,,,232975.11827677,172736.31303214,202855.71565445,49942.58966912,36980.11215517,68685.12705620,,,64884.29539913,38854.25718786,51869.27629349,273067.22246697,197256.86477471,293850.88860216,,,296237.47541260,213212.50848330,254724.99194795
2028,226377.70066530,161063.80370422,226314.11002413,,,235359.49358803,173810.91600774,204585.20479788,50617.59726958,39131.30710476,72146.06959859,,,67649.46965681,40280.51299181,53964.99132431,276995.29793488,200195.11080899,298460.17962271,,,300733.70216347,216366.69008092,258550.19612219
2029,229633.52767041,161822.95233264,227431.08262816,,,237755.79638149,174835.91203931,206295.85421040,51285.53221714,41377.79463130,75661.19352340,,,70513.75712698,41702.58978759,56108.17345728,280919.05988755,203200.74696394,303092.27615155,,,305234.57918127,219573.47615410,262404.02766768
2030,232892.50767531,162554.70326887,228517.78049891,,,240164.36111158,175812.29985048,207988.33048103,51946.47381816,43720.80796325,79444.21720186,,,73645.56808276,43095.43123941,58370.49966109,284838.98149346,206275.51123212,307961.99770077,,,309880.26071037,222837.39957386,266358.83014212
2031,236154.88480407,163259.56127699,229574.90741042,,,242585.16283822,176741.07282277,209663.11783049,52600.46745828,46161.58032907,82848.44594593,,,76531.01622537,44542.64626348,60536.83124443,288755.35226235,209421.14160606,312423.35335635,,,314249.85370553,226150.04444431,270199.94907492
2032,239420.94514416,163938.03112108,230603.03350728,,,245018.09550702,177623.24434133,211320.66992418,53247.56740019,48701.34495724,86517.80465649,,,79680.01482266,45964.46318662,62822.23900464,292668.51254436,212639.37607832,317120.83816377,,,318763.47572537,229522.34213226,274142.90892882
2033,242691.18028741,164590.61756523,231602.92113655,,,247463.25768707,178459.88830572,212961.57299640,53887.87297431,51341.33507620,90235.80517512,,,82920.25399186,47389.75482523,65155.00440854,296579.05326172,215931.95264143,321838.72631167,,,323280.78475531,232952.37005457,278116.57740494
2034,245966.15299996,165217.82537352,232575.30926723,,,249920.76527927,179252.09314787,214586.42921357,54521.49835920,54082.78391444,94001.06260824,,,86250.22305108,48820.00687017,67535.11496063,300487.65135915,219300.60928796,326576.37187548,,,327801.64727924,236441.44106916,282121.54417420
2035,249246.33749753,165820.15931002,233520.80609346,,,252390.60630779,180000.92895955,216195.76763367,55148.53700584,56926.92470041,97812.19206227,,,89668.59999710,50256.50251525,69962.55125617,304394.87450337,222747.08401043,331332.99815573,,,332325.79776243,239990.84001725,286158.31888984
2036,252531.91657272,166398.12413882,234439.91119829,,,254872.52799714,180707.43994275,217789.98396994,55769.01692262,59874.99066258,101667.80864362,,,93174.24318425,51700.30096829,72437.27207627,308300.93349534,226273.11480139,336107.71984191,,,336852.73891058,243601.77318185,290227.25604621
2037,255823.04275996,166952.22462400,235332.91807824,,,257366.15928956,181372.63101858,219369.39515407,56382.95880373,62928.21502941,105566.52745870,,,96766.18854528,53152.27898261,74959.23376395,312206.00156369,229880.43965341,340899.44553695,,,341381.82757922,247275.43025681,294328.62891801
2038,259120.10228057,167482.96552963,236199.92305412,,,259871.20184409,181997.45873212,220934.33028811,56990.43413589,66087.83102937,109506.96361393,,,100443.63881599,54613.18037015,77528.40959307,316110.53641646,233570.79655900,345706.88666806,,,345912.42704663,251013.05271572,298462.73988117
2039,262423.51021403,167990.85161981,237040.87364023,,,262387.33516610,182582.82181661,222485.07849136,57591.51968007,69355.07189093,113487.73221573,,,104205.94535261,56083.60383854,80144.77459557,320015.02989410,237345.92351074,350528.60585596,,,350443.82018984,254815.88598402,302629.85308693
2040,265733.51652029,168476.38765860,237855.72899045,,,264914.16598769,183129.58945853,224021.87772311,58186.25487748,72731.17084255,117193.80737899,,,107804.36826390,57603.12046878,82703.74436634,323919.77139776,241207.55850115,355049.53636944,,,354765.38380874,258685.86037017,306725.62208945
