year,Insulation (Residential Only),Cool Roofs,Green Roofs,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),Heat Pumps,District Heat,Residential LED (Excludes Commercial LED),Commercial LED (Excludes Household LED),Water Saving - Home (WaSH),Solar Hot Water (SHW),Biogas for Cooking,Clean Cookstoves
2014,53939.55647040,2171561071.46307000,156755794.71865100,32762.74891978,1077.50105677,40.33521504,18396.32731570,31.80623440,275.37593099,149.34463543,1.22503102,1.44073641,33103.16482479,315.33521527,129.41130669,2091.93706285
2015,54128.67262263,2897113121.93626000,167066846.03899000,33060.56168983,1380.70041734,40.78203775,18668.81943211,33.15467580,281.20632023,149.26320683,1.23863227,1.63339402,35008.71237468,337.77176523,129.41130669,2222.07120133
2016,54724.45107408,3622665172.40944000,177377897.35932500,33358.37445989,1469.30251842,41.22886046,18941.31154851,34.50311720,287.08425444,149.18177824,1.25223351,3.71030048,36914.25992457,360.20831519,129.41130669,2324.86320451
2017,55315.40624352,4348217222.88263000,187688948.67966100,33656.18722994,1560.94678400,41.67568317,19214.07010174,35.85155860,293.00973364,149.10034964,1.26583476,5.98087629,38819.80747446,374.45472000,129.41130669,2428.75855239
2018,55900.79467631,5073769273.35581000,198000000.00000000,33954.00000000,1655.62155332,53.73025905,19486.59578132,37.20000000,298.98275781,149.01892104,1.27943601,8.45474618,40725.35502435,394.16122158,129.41130669,2533.70314606
2019,60400.33776624,5273638043.88925000,174873538.77508900,43145.58284820,4171.17064105,80.08529118,20747.98477216,54.13084384,462.11424224,195.55728394,2.65007742,13.78973069,44237.86899464,457.73611425,140.86532998,2757.58500593
2020,64862.80246342,5514209070.37902000,191894221.31351300,51982.85971040,6687.62163489,113.24162192,21714.04997803,75.37809830,588.25314085,218.89692566,4.02071882,19.12471520,47716.90553840,520.34039786,152.31935327,2981.51644371
2021,69248.96236072,5800118604.76852000,211871819.24587900,60480.84917928,9252.27097310,152.34908895,22715.17853748,89.91379027,708.96949240,246.07516276,5.39136023,24.45969971,51196.55227565,581.97407244,163.77337656,3205.55876609
2022,73560.44644268,6136391753.62986000,235132913.43757000,68655.02413783,11823.66844021,198.25785460,23757.26880099,113.77765931,824.46222951,276.81322773,6.76200164,29.79468422,54651.20599517,642.63713796,175.22739984,3429.71197305
2023,77799.24495430,6528456264.42484000,262035236.17861000,76520.47540499,14419.38079128,356.25919755,24847.37207625,138.36157300,934.93028477,310.83235305,8.13264304,35.12966873,58094.92544241,702.32959443,186.68142313,3653.97606462
2024,81968.01799078,6982153170.94579000,292970250.60973500,84092.24710862,17042.00497199,520.10391998,25993.66256078,162.36474265,1040.57259076,347.85377123,9.50328445,40.46465324,61531.84127162,761.05144186,198.13544642,3878.35104077
2025,86069.08852036,7503743451.73273000,328365895.39358700,91384.50323179,19694.01831293,731.25462359,27205.33122770,185.92397453,1232.79316944,387.59871474,10.87392586,45.79963776,64965.83425888,818.80268024,209.58946971,4102.83690152
2026,90103.72946533,8099909765.92710000,368689497.31452200,98409.88045034,22377.76964251,995.66648113,28492.38232477,219.41788933,1238.17568535,429.78841607,12.24456726,51.13462227,68400.51820104,875.58330957,221.04349300,4327.43364687
2027,94072.84019005,8777752251.20974000,414450852.85798300,105180.08326751,25095.51858762,1319.29466534,29865.31128840,251.63154959,1330.53433913,474.14410771,13.61520867,56.46960678,71839.06628534,931.39332985,232.49751629,4552.14127681
2028,97977.98684277,9544777304.56945000,466205477.79719200,111706.87957312,27849.46231704,1708.09434894,31334.64686526,286.00704025,1418.86297403,520.38702216,14.98585008,61.80459129,75284.29906552,986.23274108,243.95153957,4776.95979134
2029,101820.78061439,10408878226.22540000,524558021.34412500,118001.57251744,30641.72405289,2168.02070470,32910.35014604,322.54436130,1503.36052266,568.23839189,16.35649148,67.13957580,78738.73223689,1040.10154327,255.40556286,5001.88919046
