year,Insulation (Residential Only),Cool Roofs,Green Roofs  ,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),"Heat Pumps
",District Heat,Residential LED (Excludes Commercial LED),Commercial LED (Excludes Household LED),Water Saving - Home (WaSH),Solar Hot Water (SHW)
2025,-155.58402379,-26.78907756,-0.90044822,-45.90273757,-36.13954413,-5.08287105,263.60871377,42.92183921,105.91283684,166.32176868,-284.27545951,181.83147034,14.65543980,-224.70653383
2026,-175.56626903,-36.52072380,-1.35018234,-50.82183826,-41.06154802,-7.21234210,301.26710145,56.66242183,106.61852477,199.30025452,-324.88623944,207.56658141,16.43758275,-251.39190346
2027,-195.03068374,-48.48529600,-1.96785591,-55.42222789,-45.96363419,-9.84711286,338.92548913,73.27453679,117.07960574,234.72481135,-365.49701937,233.24223302,18.17144714,-276.72338216
2028,-213.99304269,-62.82774052,-2.79830031,-59.72844983,-50.85673271,-13.03962705,376.58387681,93.16795504,127.08459246,272.35179545,-406.10779930,258.85867313,19.86465961,-300.70096991
2029,-232.46902066,-79.58144442,-3.88866040,-63.76316959,-55.75096571,-16.84232840,412.43073181,116.72808393,136.65598000,311.84407222,-446.71857923,284.41614969,21.52408593,-323.32466672
2030,-250.47366526,-98.64748188,-5.28277891,-67.54726031,-60.77626595,-21.30766063,448.41561850,144.27093902,142.46217436,352.77823625,-487.32935916,309.91491066,23.19495730,-344.59447259
2031,-268.02084216,-119.79230157,-7.01334256,-71.09986672,-65.57765075,-26.48806748,484.82327163,175.98471017,154.58793776,394.65974528,-527.94013909,335.35520398,24.76739386,-364.51038751
2032,-285.12392898,-142.66691279,-9.09309091,-74.42872612,-70.48994397,-32.43599266,521.65369119,211.86197560,162.99349813,436.94521008,-568.55091902,360.73727761,26.36397738,-383.07241150
2033,-301.79655964,-166.84458899,-11.50760793,-77.54626701,-75.37987228,-39.20387991,558.90687718,251.63217976,171.05543957,479.06990456,-609.16169895,386.06137951,27.95199093,-400.28054454
2034,-318.05210983,-191.86871851,-14.21272114,-80.46895929,-80.25619909,-43.54836447,596.58282960,294.71014873,178.79625714,520.47763087,-649.77247888,411.32775762,29.53738804,-416.13478664
2035,-333.90330636,-217.30009992,-17.13853332,-83.21194039,-85.12697262,-43.95128986,634.68154846,340.18055850,181.02352932,560.64963786,-690.38325881,436.53665990,31.12569958,-430.63513780
2036,-349.36196572,-242.75448699,-20.19966707,-85.78908243,-89.99953768,-44.34854942,673.20303375,386.83665772,193.40450098,599.12946792,-730.99403874,461.68833431,32.72177966,-443.78159801
2037,-364.43924889,-267.92535956,-23.30867552,-88.21311962,-94.88062264,-44.73980053,712.14728547,433.28113952,200.31691736,635.54134804,-771.60481867,486.78302879,34.33009872,-455.57416729
2038,-379.14607954,-292.59157425,-26.38841416,-90.49578983,-99.77644639,-45.12471513,751.51430363,478.07852547,206.99819015,669.60084588,-812.21559860,511.82099131,35.95515415,-466.01284562
2039,-393.49291820,-316.61294805,-29.38011555,-92.64788375,-104.69272556,-45.50300136,790.82614130,519.92822393,213.47081441,701.11770414,-852.82637853,536.80246981,37.60125005,-475.09763301
2040,-407.48972040,-339.91827259,-32.24611218,-94.67931210,-109.45174316,-45.87427523,828.48452898,557.81593278,218.23360159,729.99178660,-893.43715846,561.72771225,39.21612640,-482.82852945
2041,-421.14624625,-362.49006085,-34.96816520,-96.59921353,-114.60720875,-46.23847512,866.14291666,591.10613494,225.88009758,756.20374661,-934.04793839,586.59696658,40.97244786,-489.20553496
2042,-434.47148387,-384.34923713,-37.54329905,-98.41593957,-119.61463858,-46.59500747,903.80130434,619.55887132,231.86174663,779.80231153,-974.65871832,611.41048075,42.70450970,-494.22864952
2043,-447.47334524,-412.14676767,-40.65742410,-100.13707084,-124.66106291,-46.94350598,941.45969202,643.27927568,237.72472740,800.89001295,-1015.26949825,636.16850272,44.47199607,-497.89787315
2044,-460.15904416,-437.39390215,-43.46428273,-101.76951904,-129.75021147,-47.28348848,979.11807970,662.62605940,243.49153497,819.60889169,-1055.88027818,660.87128045,46.27796815,-497.00887160
2045,-472.53571703,-460.06353771,-45.96411007,-103.31965706,-134.88549256,-47.61454899,1016.77646738,678.10914337,250.40370966,836.12729042,-1096.49105811,685.51906187,48.12530807,-495.28634843
2046,-484.61106661,-480.15942288,-48.16336748,-104.79344821,-140.07005587,-47.93631789,1054.43485506,690.29943379,254.82661076,850.62841875,-1137.10183804,710.11209496,50.01676786,-493.48340986
2047,-496.39262670,-497.70441178,-50.07162750,-106.19638900,-145.30673701,-48.24860468,1092.09324275,699.76222014,260.43986910,863.30100387,-1177.71261797,734.65062766,51.95491607,-491.61035543
2048,-507.88691611,-512.73197485,-51.69951564,-107.53343391,-150.59804014,-48.55140786,1129.75163043,707.01576203,266.04693450,874.33205706,-1218.32339790,759.13490792,53.94210190,-489.67748465
2049,-519.10005713,-525.28032515,-53.05746190,-108.80911141,-155.94620380,-48.84484485,1167.41001811,712.51084097,271.67030202,883.90159863,-1258.93417783,783.56518370,55.98050525,-487.69509704
2050,-530.03819268,-535.38854147,-54.15502200,-110.02761064,-161.47418829,-49.12311629,1205.06840579,716.62508504,280.09059214,892.17907815,-1299.54495776,807.94170295,58.10889274,-485.67349212
2051,-540.70860137,-543.09415484,-55.00057228,-111.19295799,-166.82137047,-49.40349320,1238.70474512,719.66627546,283.05592368,899.32118556,-1306.19303698,832.26471363,60.21923855,-483.62296941
2052,-551.11797937,-548.43176962,-55.60123393,-112.30881559,-172.35227220,-49.66819109,1272.28273540,721.88022550,288.86316795,905.47075020,-1312.67437882,856.53446368,62.42375387,-481.55382842
2053,-561.27114703,-551.43239053,-55.96292722,-113.37833388,-177.94764498,-49.92271232,1305.80237663,723.46031248,294.77669461,910.75645274,-1318.98898326,880.75120107,64.68735479,-479.47636867
2054,-571.17226030,-552.12321296,-56.09049113,-114.40433463,-183.60896996,-50.16668709,1339.26366881,724.55695452,300.81899872,915.29311537,-1325.13685033,904.91517374,67.01158605,-477.40088969
2055,-580.82639049,-550.52770294,-55.98782853,-115.38954093,-189.33764245,-50.39976138,1372.66661194,725.28616808,308.15091728,919.18237958,-1331.11798000,929.02662965,69.30835860,-475.33769099
2056,-590.23975323,-546.66584571,-55.65805363,-116.33662635,-195.13498838,-50.62167067,1406.01120602,725.73686958,313.37991953,922.51362283,-1336.93237229,953.08581676,71.64814502,-473.29707209
2057,-599.42030269,-540.55448135,-55.10362947,-117.24831100,-201.00229681,-50.83215071,1439.29745105,725.97688162,319.94352637,925.36500264,-1342.58002719,977.09298300,74.06019342,-471.28933251
2058,-608.37707364,-532.20767364,-54.32648955,-118.12729005,-206.94080766,-51.03084032,1472.52534702,726.05775222,326.72589092,927.80454715,-1348.06094471,1001.04837635,76.54556102,-469.32477176
2059,-617.12008108,-532.04941017,-54.32814769,-118.97623494,-212.95171456,-51.21735156,1505.69489395,726.01855480,333.74950825,929.89123642,-1353.37512484,1024.95224475,79.10533761,-467.41368938
2060,-625.65882215,-531.85437625,-54.32631096,-119.79760794,-219.00617141,-51.39424383,1538.80609182,725.88884721,339.31051453,931.67603749,-1358.52256759,1048.80483615,81.73189187,-465.56638487
