year,Number of Households - Case 1 - Average,Number of Households- Case 2 - High,Number of Households - Case 3 - Low,Number of Households - [Case 4],Number of Households - [Case 5],Number of Households - [Case 6]
2012,2383.83899357,4781.82456711,1587.66034759,,,
2013,2416.83500274,4848.01239593,1609.63601605,,,
2014,2667.32536724,5350.47962716,1776.46507633,,,
2015,2697.22716984,5410.46068069,1796.37997261,,,
2016,2726.91475959,5470.01203730,1816.15220102,,,
2017,2756.36200561,5529.08128015,1835.76435812,,,
2018,2785.53186160,5587.59409683,1855.19177072,,,
2019,2814.37483018,5645.45119879,1874.40147307,,,
2020,2842.85506716,5702.58068499,1893.36959259,,,
2021,2870.95920631,5758.95574363,1912.08722724,,,
2022,2898.69630768,5814.59454854,1930.56041109,,,
2023,2926.08113759,5869.52672005,1948.79897866,,,
2024,2953.13877568,5923.80256624,1966.81963325,,,
2025,2979.88955560,5977.46287506,1984.63591726,,,
2026,3006.33840172,6030.51752453,2002.25111038,,,
2027,3032.48493623,6082.96575673,2019.66496097,,,
2028,3058.33902547,6134.82736290,2036.88404011,,,
2029,3083.91148005,6186.12402844,2053.91554779,,,
2030,3109.21226479,6236.87574211,2070.76612068,,,
2031,3134.24861830,6287.09702409,2087.44057974,,,
2032,3159.02732241,6336.80147828,2103.94344176,,,
2033,3183.55714072,6386.00668389,2120.28054337,,,
2034,3207.84707500,6434.73069789,2136.45787985,,,
2035,3231.90503413,6482.98938495,2152.48071858,,,
2036,3255.73693361,6530.79461120,2168.35299935,,,
2037,3279.34751125,6578.15588035,2184.07787758,,,
2038,3302.74168679,6625.08306109,2199.65862987,,,
2039,3325.92378225,6671.58482313,2215.09813474,,,
2040,3348.89735490,6717.66830208,2230.39876135,,,
2041,3371.66619819,6763.34110738,2245.56303618,,,
2042,3394.23239966,6808.60742647,2260.59234955,,,
2043,3416.59530419,6853.46594527,2275.48626516,,,
2044,3438.75274532,6897.91231794,2290.24334010,,,
2045,3460.70308332,6941.94325535,2304.86248231,,,
2046,3482.44732101,6985.56076905,2319.34435968,,,
2047,3503.98663757,7028.76722444,2333.68975755,,,
2048,3525.31955519,7071.55965706,2347.89769168,,,
2049,3546.44397260,7113.93385198,2361.96676261,,,
2050,3567.35853042,7155.88708233,2375.89606498,,,
2051,3588.06629620,7197.42550140,2389.68764180,,,
2052,3608.56903556,7238.55265094,2403.34266900,,,
2053,3628.86289573,7279.26080252,2416.85858059,,,
2054,3648.94241224,7319.53899481,2430.23173719,,,
2055,3668.80574058,7359.38352780,2443.46091033,,,
2056,3688.45539933,7398.79945364,2456.54777741,,,
2057,3707.90022807,7437.80450389,2469.49822567,,,
2058,3727.15318474,7476.42467138,2482.32088524,,,
2059,3746.23099630,7514.69350929,2495.02689643,,,
2060,3765.14916545,7552.64211496,2507.62658420,,,
