year,"Calculated  from 2 sources - World Bank (2015) The State of the global Clean and Improved Cooking Sector, https://openknowledge.worldbank.org/bitstream/handle/10986/21878/96499.pdf AND Daioglou, V., Van Ruijven, B. J., & Van Vuuren, D. P. (2012). Model projections for household energy use in developing countries. Energy, 37(1), 601-615.","Calculated  from 2 sources - REN21 (2015) Renewables 2015 - Global Status Report, http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf AND Daioglou, V., Van Ruijven, B. J., & Van Vuuren, D. P. (2012). Model projections for household energy use in developing countries. Energy, 37(1), 601-615.", Drawdown Summation: Regional Sum , IEA (2013) , Interpolated using IEA 2006 , [Source 3 - Conservative] , [Source 1 - Ambitious] , [Source 2 - Ambitious] , [Source 3 - Ambitious] , [Source 1 - Maximum] , [Source 2 - Maximum] 
2012,"5,388.16055495 ","3,627.22560872 ","4,259.99789449 ","9,657.85267108 ","8,974.59288312 ",,,,,,
2013,"5,458.01418407 ","3,674.63348743 ","4,334.47800647 ","9,635.09654857 ","9,070.84920702 ",,,,,,
2014,"5,527.86781320 ","3,722.04136615 ","4,417.45414397 ","9,641.57822315 ","9,214.60846372 ",,,,,,
2015,"5,597.72144233 ","3,769.44924487 ","4,499.78471858 ","9,621.89063849 ","9,351.92054583 ",,,,,,
2016,"5,667.57507146 ","3,816.85712359 ","4,566.45957591 ","9,602.56444445 ","9,506.57481241 ",,,,,,
2017,"5,737.42870059 ","3,864.26500230 ","4,640.61948423 ","9,583.50301776 ","9,677.46834493 ",,,,,,
2018,"5,807.28232972 ","3,911.67288102 ","4,714.59206358 ","9,564.58252190 ","9,863.44050719 ",,,,,,
2019,"5,877.13595885 ","3,959.08075974 ","4,788.42902010 ","9,545.64011022 ","10,063.28380014 ",,,,,,
2020,"5,946.98958798 ","4,006.48863846 ","4,857.01790109 ","9,526.56212937 ","10,275.75270888 ",,,,,,
2021,"6,010.14872425 ","4,049.50772054 ","4,928.70042565 ","9,507.31802382 ","10,499.51302260 ",,,,,,
2022,"6,073.30786052 ","4,092.52680262 ","4,995.14872607 ","9,487.93888338 ","10,733.14876297 ",,,,,,
2023,"6,136.46699680 ","4,135.54588470 ","5,061.46460628 ","9,468.45172957 ","10,975.11785688 ",,,,,,
2024,"6,199.62613307 ","4,178.56496679 ","5,127.59784850 ","9,448.90411599 ","11,223.69641265 ",,,,,,
2025,"6,262.78526934 ","4,221.58404887 ","5,193.50861704 ","9,429.33211691 ","11,476.86157164 ",,,,,,
2026,"6,325.94440561 ","4,264.60313095 ","5,259.17796029 ","9,409.73987465 ","11,732.18564676 ",,,,,,
2027,"6,389.10354189 ","4,307.62221303 ","5,324.59769282 ","9,390.12141777 ","11,986.89216908 ",,,,,,
