year,Space Cooling - Residential - Case 1 - Average,Space Cooling - Residential - Case 2 - High,Space Cooling - Residential - Case 3 - Low,Space Cooling - Residential - [Case 4],Space Cooling - Residential - [Case 5],Space Cooling - Residential - [Case 6],Space Cooling - Commercial - Case 1 - Average,Space Cooling - Commercial - Case 2 - High,Space Cooling - Commercial - Case 3 - Low,Space Cooling - Commercial - [Case 4],Space Cooling - Commercial - [Case 5],Space Cooling - Commercial - [Case 6],Space Cooling - Total - Case 1 - Average,Space Cooling - Total - Case 2 - High,Space Cooling - Total - Case 3 - Low,Space Cooling - Total - [Case 4],Space Cooling - Total - [Case 5],Space Cooling - Total - [Case 6]
2012,5478.18280123,11186.12938196,395.25487442,,,,3077.11147977,4952.98838224,1201.23457730,,,,8555.29428100,16139.11776420,1596.48945173,,,
2013,5554.00930227,11340.96266920,400.72581164,,,,3170.02230002,5102.53974439,1237.50485566,,,,8724.03160229,16443.50241359,1638.23066729,,,
2014,6129.64885275,12516.38501685,442.25862398,,,,3290.39939858,5296.30145063,1284.49734652,,,,9420.04825132,17812.68646748,1726.75597049,,,
2015,6198.36471031,12656.69878533,447.21652309,,,,3457.84456867,5565.82499166,1349.86414569,,,,9656.20927898,18222.52377699,1797.08066878,,,
2016,6266.58829588,12796.00736316,452.13890442,,,,3630.81761499,5844.24632754,1417.38890244,,,,9897.40591087,18640.25369070,1869.52780686,,,
2017,6334.25955938,12934.18813156,457.02143531,,,,3809.29991441,6131.53548208,1487.06434674,,,,10143.55947379,19065.72361364,1944.08578205,,,
2018,6401.29336656,13071.06725139,461.85797326,,,,3993.26684511,6427.65282344,1558.88086677,,,,10394.56021167,19498.72007483,2020.73884004,,,
2019,6467.57596987,13206.41245677,466.64031131,,,,4182.68528076,6732.54503074,1632.82553078,,,,10650.26125063,19938.95748752,2099.46584210,,,
2020,6533.02499761,13340.05554952,471.36250628,,,,4375.43535659,7042.79992159,1708.07079160,,,,10908.46035420,20382.85547111,2179.43329788,,,
2021,6597.60973348,13471.93380876,476.02234196,,,,4577.78445735,7368.50562052,1787.06329419,,,,11175.39419083,20840.43942928,2263.08563614,,,
2022,6661.35099791,13602.08974855,480.62132056,,,,4783.45063004,7699.55055361,1867.35070647,,,,11444.80162795,21301.64030216,2347.97202702,,,
2023,6724.28272469,13730.59265975,485.16189043,,,,4994.52515743,8039.30089703,1949.74941784,,,,11718.80788213,21769.89355678,2434.91130827,,,
2024,6786.46254809,13857.56022814,489.64820992,,,,5211.01022233,8387.76016424,2034.26028043,,,,11997.47277042,22245.32039237,2523.90849035,,,
2025,6847.93719585,13983.08786906,494.08365048,,,,5432.90638435,8744.92925601,2120.88351268,,,,12280.84358020,22728.01712508,2614.96716316,,,
2026,6908.71798447,14107.19869013,498.46902859,,,,5660.20833549,9110.79962849,2209.61704249,,,,12568.92631996,23217.99831862,2708.08607108,,,
2027,6968.80404567,14229.89091837,502.80428162,,,,5892.90878385,9485.35954445,2300.45802324,,,,12861.71282952,23715.25046283,2803.26230486,,,
2028,7028.21805281,14351.21085149,507.09104546,,,,6131.00459694,9868.60396178,2393.40523210,,,,13159.22264975,24219.81481327,2900.49627756,,,
2029,7086.98484924,14471.20921812,511.33111257,,,,6374.49318439,10260.52871094,2488.45765784,,,,13461.47803363,24731.73792905,2999.78877042,,,
2030,7145.12733463,14589.93277804,515.52613519,,,,6631.51782231,10674.24139373,2588.79425088,,,,13776.64515693,25264.17417177,3104.32038608,,,
2031,7202.66214363,14707.41549830,519.67731352,,,,6877.63643680,11070.39949403,2684.87337957,,,,14080.29858044,25777.81499233,3204.55069309,,,
2032,7259.60486127,14823.68920253,523.78577202,,,,7137.28338828,11488.33311216,2786.23366439,,,,14396.88824954,26312.02231470,3310.01943641,,,
2033,7315.97562672,14938.79501382,527.85296376,,,,7402.31067845,11914.92704542,2889.69431149,,,,14718.28630517,26853.72205924,3417.54727524,,,
2034,7371.79512652,15052.77517284,531.88038128,,,,7672.71688770,12350.17900872,2995.25476667,,,,15044.51201422,27402.95418156,3527.13514795,,,
2035,7427.08153567,15165.66679187,535.86933592,,,,7948.49981143,12794.08545354,3102.91416933,,,,15375.58134710,27959.75224540,3638.78350524,,,
2036,7481.84844829,15277.49762933,539.82080850,,,,8229.65476674,13246.63884213,3212.67069135,,,,15711.50321503,28524.13647146,3752.49149986,,,
2037,7536.10675210,15388.28991730,543.73558460,,,,8516.17679373,13707.83119095,3324.52239651,,,,16052.28354583,29096.12110825,3868.25798111,,,
2038,7589.86775291,15498.06674158,547.61447991,,,,8808.06285601,14177.65761255,3438.46809947,,,,16397.93060892,29675.72435413,3986.08257938,,,
2039,7643.14138297,15606.84838327,551.45821108,,,,9105.31011695,14656.11354102,3554.50669287,,,,16748.45149992,30262.96192429,4105.96490395,,,
2040,7695.93581703,15714.65153469,555.26736790,,,,9396.03666101,15124.07357582,3667.99974620,,,,17091.97247804,30838.72511051,4223.26711410,,,
2041,7748.25977267,15821.49399664,559.04257937,,,,9715.86995951,15638.88450228,3792.85541674,,,,17464.12973218,31460.37849892,4351.89799610,,,
2042,7800.11804710,15927.38556478,562.78419160,,,,10029.16894353,16143.17764805,3915.16023901,,,,17829.28699063,32070.56321283,4477.94443060,,,
2043,7851.50913490,16032.32316508,566.49209597,,,,10347.80093282,16656.05491998,4039.54694566,,,,18199.31006772,32688.37808506,4606.03904162,,,
2044,7902.42805736,16136.29663134,570.16593326,,,,10671.75386981,17177.49690994,4166.01082969,,,,18574.18192718,33313.79354128,4736.17676296,,,
2045,7952.87104637,16239.29826927,573.80543162,,,,11001.01616694,17707.48496630,4294.54736758,,,,18953.88721331,33946.78323558,4868.35279920,,,
2046,8002.84040639,16341.33278449,577.41075730,,,,11335.57817794,18246.00356223,4425.15279365,,,,19338.41858433,34587.33634672,5002.56355094,,,
2047,8052.33884731,16442.40571038,580.98210582,,,,11675.43098465,18793.03834287,4557.82362644,,,,19727.76983196,35235.44405325,5138.80573226,,,
2048,8101.36297296,16542.51011220,584.51923215,,,,12020.56422155,19348.57262360,4692.55581949,,,,20121.92719451,35891.08273580,5277.07505164,,,
2049,8149.90795459,16641.63612992,588.02178789,,,,12370.96728343,19912.58933409,4829.34523278,,,,20520.87523803,36554.22546401,5417.36702067,,,
2050,8197.97066826,16739.77738460,591.48954764,,,,12734.32015440,20497.45035079,4971.18995801,,,,20932.29082266,37237.22773539,5562.67950566,,,
2051,8245.55816331,16836.94827063,594.92302003,,,,13087.54194486,21066.00415067,5109.07973904,,,,21333.10010817,37902.95242131,5704.00275908,,,
2052,8292.67449728,16933.15707324,598.32249780,,,,13453.69447198,21655.37155738,5252.01738659,,,,21746.36896926,38588.52863062,5850.33988439,,,
2053,8339.31081628,17028.38571330,601.68734215,,,,13825.07051807,22253.14685860,5396.99417754,,,,22164.38133434,39281.53257190,5998.68151969,,,
2054,8385.45456269,17122.60854892,605.01664702,,,,14201.65155067,22859.30022409,5544.00287726,,,,22587.10611336,39981.90877301,6149.01952428,,,
2055,8431.10149773,17215.81692472,608.31010659,,,,14583.42226896,23473.80702528,5693.03751263,,,,23014.52376668,40689.62394999,6301.34761922,,,
2056,8476.25740924,17308.02265915,611.56813846,,,,14970.37297045,24096.65164485,5844.09429605,,,,23446.63037969,41404.67430400,6455.66243451,,,
2057,8520.94261098,17399.26723171,614.79220827,,,,15362.49866355,24727.82604820,5997.17127889,,,,23883.44127453,42127.09327991,6611.96348716,,,
2058,8565.18688099,17489.61144744,617.98446454,,,,15759.79511284,25367.32341793,6152.26680776,,,,24324.98199384,42856.93486537,6770.25127230,,,
2059,8609.02865869,17579.13379735,621.14768069,,,,16162.26037340,26015.14062341,6309.38012339,,,,24771.28903208,43594.27442076,6930.52780408,,,
2060,8652.50357000,17667.90702753,624.28442717,,,,16568.02681616,26668.27148660,6467.78214573,,,,25220.53038616,44336.17851412,7092.06657290,,,
