year,Insulation (Residential Only),Cool Roofs,Green Roofs  ,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),"Heat Pumps
",District Heat,Water Saving - Home (WaSH),Solar Hot Water (SHW),Biogas for Cooking,Clean Cookstoves
2014,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2015,-42504.94726115,0.00000000,0.00000000,0.00000000,3412.67834948,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2016,-27620.98883994,0.00000000,0.00000000,0.00000000,2209.77123453,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2017,-13417.70053954,0.00000000,0.00000000,0.00000000,1072.29538504,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2018,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,141.78647314,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2019,749862.60777351,-1138.61402736,-206.99639282,348754.91256353,67020.37550358,458.25026985,71553.60739225,4107.05254612,592782.45093861,52567.82429988,44762.90037130,734297.95655199,192071.26540264,1309020.31219324
2020,1485343.48116000,-2830.83097324,296.96969813,673218.16086174,132163.57773947,857.79062146,143107.21478448,33168.63410720,1044823.95855792,93382.45431907,86989.80776452,1441104.54961734,322214.65822601,2618396.31742057
2021,2201199.47789951,-5254.86428522,1081.43805891,975244.37831320,196617.50975028,1330.02295861,214660.82217672,69808.31533536,1477447.78388691,139483.63860163,127496.45592195,2120419.77922784,452358.05104938,3928584.53082459
2022,2897998.35960256,-8625.03422236,2270.35709811,1256570.34860411,259651.43459790,1885.33185065,286214.42956896,115689.40962657,1891365.84139069,191227.71886497,165959.82696304,2772243.64535824,582501.44387270,5239584.95240531
2023,3576347.28973759,-13189.61417736,4032.79313929,1518804.52572769,321783.54663609,4577.25536003,357768.03696120,172775.51512930,2287290.04553438,248893.71785420,202790.55253011,3396576.14801697,712644.83669605,6551397.58216295
2024,4236936.75863616,-19222.91765267,6594.60497834,1763445.78847652,383198.92274171,7319.67806152,429321.64435342,243349.96355602,2665932.31078307,312651.28818541,238197.94233651,3993417.28719561,842788.22951941,7864022.42009728
2025,4880398.84148465,-27009.79531313,10249.87812693,1991871.09526230,444068.03784298,10922.54366867,500875.25174566,330015.90925234,3351885.36484615,382527.48933459,272374.32761229,4562767.06287734,972931.62234274,9177459.46620852
2026,5507206.94283876,-36821.62150933,15369.23954714,2205327.08948738,504547.62225805,15498.54811295,572428.85913790,435664.01174001,3374218.68245591,458375.51267249,305495.81664556,5104625.47510421,1103075.01516610,10491708.72049650
2027,6117771.60557322,-48884.77095952,22400.26999145,2404953.16014260,564782.46581687,21160.38732584,643982.46653014,563390.64984421,3705286.61781026,539849.31428803,337720.03875847,5618992.52385941,1233218.40798946,11806770.18296110
2028,6712587.65673055,-63345.38424585,31853.28859390,2591814.32476749,624906.87282320,28020.75723881,715536.07392239,716346.45587194,4021920.27213004,626388.53204822,369188.73669069,6105868.20913452,1363361.80081278,13122643.85360240
2029,7292146.78680164,-80237.12349583,44264.94957963,2766894.11504194,685045.21984557,36192.35378335,783647.64074320,897494.73610332,4324831.55988036,717217.78188753,400029.51224172,6565252.53092954,1493505.19363614,14439329.73242070
2030,7856921.01275734,-99460.24785798,60134.31831490,2931098.28530699,746794.06776806,45787.87289093,852021.47757197,1109265.25977382,4508583.58174126,811363.26338596,431082.99633670,6997145.48923606,1623648.58645950,15756827.81941560
2031,8407345.27702801,-120779.28172577,79833.47041135,3085257.58787630,805791.53379766,56920.01049303,921198.60060617,1353104.97432348,4892334.69353305,907687.56672172,460307.04941761,7401547.08407932,1753791.97928282,15747474.70231790
2032,8943839.21176986,-143842.35903493,103507.42137477,3229707.77053541,866151.79750863,69701.46252111,991179.00984578,1628956.81545625,5158350.36836562,1004940.93778301,489979.87861017,7778457.31544248,1883935.37210618,15736269.27294100
2033,9466830.48919960,-168219.23740896,130992.07254057,3364988.14621234,926237.25016789,84244.92490667,1061962.70529080,1934740.54534608,5413491.33448915,1101824.54927072,519493.43330640,8127876.18333397,2014078.76492954,15723138.48552950
2034,9976738.68164639,-193449.54310414,161784.60451604,3491813.39850708,986155.57323156,93580.75534999,1133549.68694126,2265956.89952736,5658469.50636876,1197059.18819046,548958.36069935,8449803.68775378,2144222.15775287,15708014.00249740
2035,10473963.00643970,-219090.45608061,195089.37157680,3610840.39050156,1046005.65973110,94446.59871964,1205939.95479713,2615568.16738773,5728957.28901532,1289451.76612586,578477.45369622,8744239.82867668,2274365.55057623,15690797.88315620
