year,Insulation (Residential Only),Cool Roofs,Green Roofs  ,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),"Heat Pumps
",District Heat,Water Saving - Home (WaSH),Solar Hot Water (SHW),Biogas for Cooking,Clean Cookstoves
2036,10958874.12639280,-244754.56426899,229934.51541389,3722671.07877398,1105877.75990779,95300.26682321,1279133.50885843,2974295.92208480,6120785.12525659,1377952.46509830,608140.92640614,9011184.60613632,2338689.73906594,15720569.83692760
2037,11431822.14195330,-270132.82204587,265324.62106979,3827858.04283248,1165854.54913642,96141.02340995,1353130.34912513,3331396.60030155,6339546.40119505,1461697.03560195,638031.86300286,9250638.02012428,2403013.92755559,15747944.82958580
2038,11893149.70983890,-295002.26402069,300381.54601649,3926910.62773495,1226012.44261946,96968.16351764,1427930.47559726,3675833.14652560,6550992.54074998,1540031.30477308,668233.84841744,9462600.07063214,2467338.11604530,15772713.93021450
2039,12343184.95793160,-319221.55220218,334436.33546502,4020297.07727503,1286421.68394539,97781.05997348,1502625.75523698,3997605.61812278,6755835.45838653,1612517.69522508,698826.87530164,9647070.75766834,2531662.30453501,15794641.01018420
2040,12782240.17451800,-342718.89152394,367060.21704872,4108447.44974275,1344898.55905071,98578.88761905,1574179.36262922,4288915.28508590,6906566.16417807,1678925.90118949,728839.68058748,9804050.08122444,2595986.49302471,15813494.20336240
2041,13210621.51665330,-365476.65089167,398045.57636338,4191758.30109769,1408246.82595573,99361.51405126,1645732.97002146,4544875.80630393,7148559.28576483,1739211.42684394,761481.27192956,9933538.04129204,2660310.68151438,15766100.81896820
2042,13628610.92646400,-387515.92700021,427358.54237610,4270592.03291797,1469776.08970814,100127.66376219,1717286.57741368,4763642.19281812,7337864.02443681,1793486.34143869,793671.99330075,10035534.63789640,2724634.87000408,15716308.80415680
2043,14036456.58812090,-415542.48403616,462806.89068503,4345277.59218491,1531784.50187658,100876.54960131,1788840.18480593,4946022.79340300,7523413.19905081,1841986.45988607,826521.08678704,10110039.87102060,2788959.05849379,15663973.61209720
2044,14434384.78681120,-440997.63206019,494757.59939167,4416114.90069444,1594317.89208504,101607.13544663,1860393.79219817,5094775.65530259,7705918.72407194,1885038.46531125,860085.44503388,10091988.29549450,2853283.24698346,15608940.11241540
2045,14822619.37857610,-463854.04490217,523213.34502918,4483380.49890967,1657418.14013356,102318.54891653,1931947.39959041,5213821.44011645,7924672.35060807,1923029.53312106,894418.63293257,10057011.68901940,2917607.43547316,15551037.48169130
2046,15201401.98525220,-484115.50197857,548247.67773841,4547333.15515229,1721123.94802911,103009.99569549,2003501.00698263,5307549.71111709,8064646.48319603,1956381.03159168,929571.79759249,10020402.21200150,2981931.62396286,15490072.07893200
2047,15570968.92927270,-501805.04570902,569969.56270822,4608211.38090078,1785470.15868345,103681.06646150,2075054.61437487,5380306.84595618,8242292.54622919,1985527.01895526,965592.67592903,9982369.00079417,3046255.81245253,15425838.84797940
2048,15931524.69428520,-516956.42229768,588499.95077585,4666230.16660692,1850487.54205897,104331.75794512,2146608.22176711,5436077.62061717,8419742.61752991,2010897.60704435,1002524.92851161,9943121.19175088,3110580.00094223,15358126.09045500
2049,16283261.32585590,-529608.15964881,603957.56765522,4721586.01855277,1916203.60464790,104962.32249557,2218161.82915935,5478327.98789071,8597708.61156328,2032906.82892582,1040409.06914668,9902867.92122499,3174904.18943194,15286704.76859310
2050,16626371.51631210,-539799.65852177,616451.18692902,4774460.71658732,1984129.23257552,105560.29793403,2289715.43655159,5509961.44124389,8864190.44758386,2051944.40581329,1079965.58338155,9861818.32556988,3239228.37792161,15211317.66626730
2051,16961083.58349490,-547568.75917260,626076.15716382,4825028.97979946,2049833.23511498,106162.79776806,2353626.86683227,5533344.43790403,8958036.02568845,2068370.71270838,1119186.78928612,9820181.54113894,3225618.13615288,15122941.01019510
2052,17287607.57414990,-552950.35107020,632913.53943005,4873449.71926474,2117794.70879530,106731.60509720,2417427.42977767,5550366.97813183,9141821.27471045,2082514.24628812,1160158.15458117,9778166.70428555,3212007.89438414,15031395.33598010
2053,17606094.69453760,-555975.69437735,637030.72467052,4919859.64350899,2186548.37655888,107278.54385476,2481117.12538778,5562515.89464974,9328970.10432554,2094670.96237761,1202227.63770953,9735982.95136311,3198397.65261541,14936453.11408220
2054,17916675.30896410,-556672.20855991,638482.79547589,4964381.19797695,2256112.43825677,107802.81942900,2544695.95366261,5570947.71695145,9520194.42899882,2105104.94333430,1245423.94822753,9693839.41872500,3184787.41084667,14837861.43386980
2055,18219508.49631110,-555063.55297584,637314.17839363,5007132.54692943,2326504.03870560,108303.67102943,2608163.91460213,5576554.46821414,9752231.93506153,2114049.95687215,1288109.93291708,9651945.24272460,3171177.16907794,14735349.26782590
2056,18514789.22949460,-551169.87754526,633560.32290795,5048229.70529550,2397739.47047361,108780.53024943,2671521.00820637,5580019.80585426,9917717.22138038,2121711.56442790,1331595.33902579,9610509.55971532,3157566.92730920,14628636.79737330
2057,18802767.01690220,-545008.16106631,627249.26592252,5087790.70753017,2469834.57306698,109232.82923778,2734767.23447532,5581865.20186055,10125439.51801890,2128269.52233994,1376423.74883122,9569741.50605051,3143956.68554046,14517438.79099940
2058,19083725.26375620,-536592.58321322,618403.01658811,5125932.50604749,2542804.58208687,109659.79184334,2797902.59340898,5582486.99686625,10340084.96757600,2133880.29020912,1422614.81088247,9529850.21808360,3130346.44377173,14401462.46844370
2059,19357978.12315300,-536433.01580090,618421.89128640,5162771.02325730,2616664.16439705,110060.58447167,2860927.08500736,5582185.61715444,10562365.48451680,2138679.51772182,1470188.77922731,9491044.83216794,3116736.20200299,14280417.35274340
2060,19625823.50327720,-536236.37498051,618400.98365729,5198413.10507382,2691058.87081710,110440.70695036,2923840.70927042,5581188.32598887,10738357.89588710,2142784.42520639,1519003.82407001,9453534.48465694,3103125.96023425,14154015.77854150
