year,Insulation (Residential Only),Cool Roofs,Green Roofs,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),Heat Pumps,District Heat,Residential LED (Excludes Commercial LED),Commercial LED (Excludes Household LED),Water Saving - Home (WaSH),Solar Hot Water (SHW),Biogas for Cooking,Clean Cookstoves
2014,53939.55647040,2171561071.46307000,156755794.71865100,32762.74891978,1077.50105677,40.33521504,18396.32731570,31.80623440,275.37593099,149.34463543,1.22503102,1.44073641,33103.16482479,315.33521527,129.41130669,2091.93706285
2015,54128.67262263,2897113121.93626000,167066846.03899000,33060.56168983,1380.70041734,40.78203775,18668.81943211,33.15467580,281.20632023,149.26320683,1.23863227,1.63339402,35008.71237468,337.77176523,129.41130669,2222.07120133
2016,54724.45107408,3622665172.40944000,177377897.35932500,33358.37445989,1469.30251842,41.22886046,18941.31154851,34.50311720,287.08425444,149.18177824,1.25223351,3.71030048,36914.25992457,360.20831519,129.41130669,2324.86320451
2017,55315.40624352,4348217222.88263000,187688948.67966100,33656.18722994,1560.94678400,41.67568317,19213.80366492,35.85155860,293.00973364,149.10034964,1.26583476,5.98087629,38819.80747446,374.45472000,129.41130669,2428.75855239
2018,55900.79467631,5073769273.35581000,198000000.00000000,33954.00000000,1655.62155332,53.73025905,19486.29578132,37.20000000,298.98275781,149.01892104,1.27943601,8.45474618,40725.35502435,394.16122158,129.41130669,2533.70314606
2019,61704.68964202,5441755844.17641000,193381047.89252000,47717.04231584,4916.20034005,80.08529118,21636.43781685,40.32610334,497.95401678,186.39599321,2.72432077,14.10079710,45531.06143808,558.78992687,149.85585482,2753.92971494
2020,67406.67450677,5947695738.02794000,240041599.62119200,60542.19723970,8089.50173977,113.24162192,23786.57985238,54.25331424,651.95599740,215.39803669,4.16920554,19.74684802,50172.46253528,717.32994605,164.19027640,2974.20405082
2021,72969.59595214,6635998289.61645000,306933904.15102800,72501.07111692,11230.75617546,152.34908895,25936.72188791,71.46056580,799.33579470,248.16714489,5.61409030,25.39289893,54702.40916842,869.78127912,178.52469798,3194.58746041
2022,78397.47718154,7560070355.98627000,402997973.13910500,83660.72018144,14305.98872768,198.25785460,28086.86392344,92.66779254,940.33619916,284.95723792,7.05897507,31.03894985,59099.97322155,1016.14392608,192.85911956,3415.07994370
2023,83694.62060307,8781779637.61154000,540428032.56205500,94083.24593048,17339.29235041,419.08665699,30237.00595897,118.72490169,1075.20000122,325.96714031,8.50385983,36.68500077,63391.75924859,1156.41788692,207.19354114,3635.68150068
2024,88865.91908552,10369482817.49870000,735514572.08092800,103826.51922486,20339.27201714,644.04971947,32387.14799449,150.62019127,1204.16999136,371.31774222,9.94874459,42.33105169,67591.32828817,1290.60316165,221.52796272,3856.39213137
2025,93915.85156338,12394162353.41790000,1009469061.31127000,112943.70364857,23313.85379764,939.45538936,34537.29003002,189.48038862,1437.94488807,421.02832555,11.39362936,47.97710261,71711.14135413,1418.69975026,235.86238430,4077.21183575
2026,98847.77261856,14923442515.75310000,1389023665.67564000,121482.93139695,26270.32471911,1314.52983984,36687.43206555,236.55666239,1445.39969772,474.99427818,12.83851412,53.62315352,75762.60838659,1540.70765276,250.19680587,4298.14061383
2027,103664.59139016,18013734034.26790000,1906460987.19199000,129488.19363327,29215.41664706,1778.49924409,38837.57410108,293.18922303,1558.14499488,532.96901799,14.28339888,59.26920444,79755.94208563,1656.62686916,264.53122745,4519.17846562
2028,108369.81426152,21701453947.71240000,2598588751.42884000,137000.61008122,32155.37393247,2340.58977528,40987.71613661,360.74176363,1665.96764196,594.55324511,15.72828365,64.91525536,83700.32587010,1766.45739943,278.86564903,4740.32539110
2029,112966.92539013,25994990583.16820000,3504114151.83891000,144058.15434163,35095.97934567,3010.02760660,43047.53502232,440.49689665,1769.11042945,659.19444048,17.17316841,70.56130628,87604.02697661,1870.19924359,293.20007061,4961.58139028
