year,Insulation (Residential Only),Cool Roofs,Green Roofs  ,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),"Heat Pumps
",District Heat,Water Saving - Home (WaSH),Solar Hot Water (SHW),Biogas for Cooking,Clean Cookstoves
2014,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2015,-42504.94726115,0.00000000,0.00000000,0.00000000,3412.67834948,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2016,-27620.98883994,0.00000000,0.00000000,0.00000000,2209.77123453,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2017,-13417.70053954,0.00000000,0.00000000,0.00000000,1072.29538504,0.00000000,10.60453645,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2018,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,141.78647314,11.94039507,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2019,565790.15522469,-488.01532711,-477.21731559,240505.87560024,50996.18089216,458.25026985,39371.33826893,38981.52003355,487692.43420593,65424.42857736,24802.94396053,278024.29720055,101909.23019906,1336239.13078847
2020,1126347.74183173,-1147.83567185,-381.45803343,471430.58700964,102011.76009686,857.79062146,66976.46059079,88761.13413554,858033.32310116,98292.66099638,49089.17598269,551666.14379353,203166.37037000,2672847.43928732
2021,1676137.05960228,-1999.03074426,-243.49790799,693180.26793191,154063.99549282,1330.02295861,95977.15056002,121750.85276928,1212474.12425761,136547.83105001,73384.82611994,820925.53978339,304423.51054093,4010281.44063871
2022,2215387.99372843,-3062.81161736,-58.67600512,906173.33701775,206261.37051346,1885.33185065,126608.17029302,178076.28765963,1551598.15132690,179798.72709710,97294.71809177,1085802.48517012,405680.65071183,5348541.13484309
2023,2744381.41111636,-4362.08891923,178.11319979,1110817.88111759,258981.71318616,3809.83002274,159150.17112191,236203.01312666,1875988.71796065,227654.13749648,121035.84353611,1346296.97995162,506937.79088276,6687626.52190023
2024,3263492.70912473,-5921.51776763,472.45663515,1307520.72445944,312280.87895290,5805.70395158,193928.49687224,292876.92758979,2186229.13781050,279722.85060700,144671.95760351,1602409.02412579,608194.93105370,8027537.60181014
2025,3773049.70915470,-7767.52587530,830.46180492,1496664.89034126,366212.15055863,8379.41134517,231308.96037733,348440.27076218,2750335.89030238,335613.65478751,168262.95866516,1854138.61769474,709452.07122459,9368274.37457303
2026,4273232.04826092,-9928.32087705,1258.79835694,1678592.10052599,420826.04690723,11603.69349354,271689.74387335,428856.58785968,2766592.79176498,394935.33839686,191864.62436524,2101485.76065846,810709.21139553,10709836.84018870
2027,4764166.64633929,-12433.87259275,1764.74206299,1853618.86890782,476171.16834404,15551.29168673,315488.57955027,506070.17235874,3037882.65317287,457296.68979388,215525.93169803,2344450.45301905,911966.35156646,12052224.99865690
2028,5246074.52101007,-15315.86567075,2356.22119661,2022063.42348402,532294.77185835,20294.94721475,363124.52539112,588691.87253973,3297355.62240335,522306.49733743,239290.41488755,2583032.69477441,1013223.49173735,13395438.84997830
2029,5719183.04639448,-18607.61788549,3041.86525959,2184231.42473742,589242.52398435,25907.40136764,414994.04592264,676721.68840267,3545595.01310805,589573.54938635,263196.90277869,2817232.48592244,1114480.63190829,14739478.39415230
2030,6183709.10577927,-22343.95932809,3831.05596538,2340413.60854389,648539.87849629,32461.39543544,471441.82037699,770159.61994755,3694187.38338910,658706.63429947,287878.97273657,3047049.82646525,1215737.77207922,16084343.63117900
2031,6639841.39005181,-26561.06786914,4733.98033716,2490882.97949333,705759.87048387,40029.67070817,532727.78651875,869005.66717437,4010706.31354662,729314.54043566,311603.64329784,3272484.71640704,1316994.91225012,16095460.25231650
2032,7087761.87093963,-31296.25663079,5761.68571828,2635451.06511177,764960.07533699,48684.96847587,598993.36961178,973259.83008314,4228744.85058375,801006.05615375,336188.37744735,3493537.15573938,1418252.05242105,16104724.56117490
2033,7527668.86954023,-36587.70982199,6926.13642265,2774179.03029714,824436.40344317,58500.03002855,670231.50072973,1082922.10867385,4437883.06370160,873389.96981258,361094.35162453,3710207.14446651,1519509.19259199,16112063.51199860
2034,7959760.64350383,-42474.16420309,8240.27167193,2907352.65369930,884229.55503435,62186.55557773,746266.58413039,1197992.50294650,4638704.26655181,946075.06977101,386373.37654788,3922494.68259261,1620766.33276289,16117408.76720170
2035,8384222.86770995,-48994.53468404,9718.06437268,3035242.26222363,944377.94573973,62761.96520633,822960.75764724,1318471.01290110,4695855.04647371,1018670.14438787,412074.97658469,4130399.77010928,1722023.47293382,16120662.38609570
