year,Water Heating - Residential - Case 1 - Average,Water Heating - Residential - Case 2 - High,Water Heating - Residential - Case 3 - Low,Water Heating - Residential - [Case 4],Water Heating - Residential - [Case 5],Water Heating - Residential - [Case 6],Water Heating - Commercial - Case 1 - Average,Water Heating - Commercial - Case 2 - High,Water Heating - Commercial - Case 3 - Low,Water Heating - Commercial - [Case 4],Water Heating - Commercial - [Case 5],Water Heating - Commercial - [Case 6],Water Heating - Total - Case 1 - Average,Water Heating - Total - Case 2 - High,Water Heating - Total - Case 3 - Low,Water Heating - Total - [Case 4],Water Heating - Total - [Case 5],Water Heating - Total - [Case 6]
2022,1452.03958889,2288.92186865,26.21079882,,,,2510.49386343,5775.47381811,18.95558354,,,,3962.53345232,8064.39568677,45.16638237,,,
2023,1465.75743062,2310.54598150,26.45841989,,,,2621.27190772,6030.32235757,19.79201756,,,,4087.02933834,8340.86833907,46.25043745,,,
2024,1479.31137264,2331.91173112,26.70308240,,,,2734.88955929,6291.70350709,20.64989215,,,,4214.20093192,8623.61523821,47.35297455,,,
2025,1492.71160065,2353.03517375,26.94497021,,,,2851.34711182,6559.61794233,21.52920952,,,,4344.05871248,8912.65311608,48.47417973,,,
2026,1505.96058143,2373.92019787,27.18412786,,,,2970.64177955,6834.05925450,22.42994864,,,,4476.60236098,9207.97945237,49.61407650,,,
2027,1519.05812570,2394.56650513,27.42055192,,,,3092.76973545,7115.01863946,23.35208062,,,,4611.82786116,9509.58514459,50.77263254,,,
2028,1532.00917580,2414.98188638,27.65433161,,,,3217.72933552,7402.49231507,24.29559304,,,,4749.73851132,9817.47420144,51.94992465,,,
2029,1544.81914708,2435.17487809,27.88556469,,,,3345.51922025,7696.47715375,25.26047564,,,,4890.33836733,10131.65203184,53.14604032,,,
2030,1557.49303119,2455.15334887,28.11434125,,,,3480.41321752,8006.80523733,26.27899812,,,,5037.90624871,10461.95858620,54.39333937,,,
2031,1570.03445416,2474.92301461,28.34072675,,,,3609.58341685,8303.96553522,27.25430283,,,,5179.61787101,10778.88854982,55.59502959,,,
2032,1582.44681320,2494.48923048,28.56478252,,,,3745.85368046,8617.45976484,28.28321686,,,,5328.30049367,11111.94899532,56.84799939,,,
2033,1594.73449826,2513.85891658,28.78658780,,,,3884.94770214,8937.45014289,29.33345180,,,,5479.68220040,11451.30905946,58.12003959,,,
2034,1606.90201856,2533.03918104,29.00622398,,,,4026.86473682,9263.93495533,30.40500200,,,,5633.76675538,11796.97413636,59.41122597,,,
2035,1618.95333591,2552.03626901,29.22376257,,,,4171.60362747,9596.91154037,31.49785873,,,,5790.55696338,12148.94780938,60.72162131,,,
2036,1630.89141353,2570.85485161,29.43925708,,,,4319.16191637,9936.37424393,32.61200345,,,,5950.05332989,12507.22909554,62.05126053,,,
2037,1642.71862473,2589.49866999,29.65275033,,,,4469.53700040,10282.31707750,33.74741649,,,,6112.25562514,12871.81574748,63.40016682,,,
2038,1654.43743396,2607.97160895,29.86428681,,,,4622.72728601,10634.73637498,34.90408582,,,,6277.16471996,13242.70798393,64.76837264,,,
2039,1666.05000623,2626.27708136,30.07390561,,,,4778.73128442,10993.62871146,36.08200020,,,,6444.78129065,13619.90579282,66.15590582,,,
2040,1677.55812348,2644.41789614,30.28163889,,,,4931.31302117,11344.64802227,37.23407466,,,,6608.87114465,13989.06591841,67.51571355,,,
2041,1688.96368596,2662.39704877,30.48752095,,,,5099.17082829,11730.81043608,38.50149169,,,,6788.13451425,14393.20748486,68.98901265,,,
2042,1700.26773938,2680.21618763,30.69157067,,,,5263.59923733,12109.08340666,39.74301492,,,,6963.86697670,14789.29959429,70.43458560,,,
2043,1711.46995557,2697.87479544,30.89378213,,,,5430.82656247,12493.79537593,41.00567148,,,,7142.29651804,15191.67017136,71.89945360,,,
2044,1722.56924928,2715.37116144,31.09413572,,,,5600.84647555,12884.93178573,42.28941358,,,,7323.41572483,15600.30294718,73.38354930,,,
2045,1733.56479914,2732.70399088,31.29261664,,,,5773.65289509,13282.47864540,43.59419531,,,,7507.21769422,16015.18263628,74.88681194,,,
2046,1744.45710747,2749.87407559,31.48923394,,,,5949.24075843,13686.42430817,44.91997844,,,,7693.69786590,16436.29838375,76.40921237,,,
2047,1755.24676498,2766.88234672,31.68399828,,,,6127.60538508,14096.75800637,46.26672763,,,,7882.85215006,16863.64035309,77.95072591,,,
2048,1765.93303136,2783.72763731,31.87689632,,,,6308.74133490,14513.46722480,47.63440181,,,,8074.67436627,17297.19486211,79.51129812,,,
2049,1776.51485406,2800.40828815,32.06790903,,,,6492.64304198,14936.53915890,49.02295894,,,,8269.15789604,17736.94744704,81.09086797,,,
2050,1786.99155210,2816.92322579,32.25702414,,,,6683.34118510,15375.24651794,50.46283284,,,,8470.33273720,18192.16974373,82.71985698,,,
2051,1797.36466212,2833.27487250,32.44426938,,,,6868.72224282,15801.72174692,51.86255987,,,,8666.08690494,18634.99661942,84.30682925,,,
2052,1807.63506856,2849.46462248,32.62966071,,,,7060.88972682,16243.80937307,53.31352809,,,,8868.52479539,19093.27399555,85.94318880,,,
2053,1817.80084146,2865.48943343,32.81316331,,,,7255.79866534,16692.20380561,54.78519576,,,,9073.59950680,19557.69323904,87.59835907,,,
2054,1827.85924352,2881.34499040,32.99472774,,,,7453.43933199,17146.88266872,56.27748946,,,,9281.29857551,20028.22765912,89.27221720,,,
2055,1837.80935076,2897.02983690,33.17433735,,,,7653.80369647,17607.82748837,57.79034854,,,,9491.61304723,20504.85732527,90.96468589,,,
2056,1847.65242482,2912.54596169,33.35201490,,,,7856.88666663,18075.02654993,59.32373457,,,,9704.53909144,20987.57251162,92.67574947,,,
2057,1857.39289368,2927.90034483,33.52784032,,,,8062.68562273,18548.47382660,60.87762775,,,,9920.07851640,21476.37417143,94.40546807,,,
2058,1867.03724835,2943.10321843,33.70193078,,,,8271.19834190,19028.16420462,62.45201131,,,,10138.23559026,21971.26742305,96.15394209,,,
2059,1876.59386785,2958.16779073,33.87443753,,,,8482.42380340,19514.09533568,64.04687754,,,,10359.01767125,22472.26312641,97.92131507,,,
2060,1886.07051792,2973.10630324,34.04550075,,,,8695.38182122,20004.01226965,65.65482551,,,,10581.45233914,22977.11857289,99.70032626,,,
