year,Insulation (Residential Only),Cool Roofs,Green Roofs  ,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),"Heat Pumps
",District Heat,Residential LED (Excludes Commercial LED),Commercial LED (Excludes Household LED),Water Saving - Home (WaSH),Solar Hot Water (SHW)
2025,-105.54416241,-4.01576930,-0.03146126,-23.04235623,-24.21002702,-2.99657538,102.23657290,36.49685766,59.93241372,105.23241720,-254.78365836,149.30314258,4.02738099,-26.35871559
2026,-119.68715222,-5.12479536,-0.05504634,-26.10606347,-28.07028885,-4.00862738,117.57780150,45.28274023,60.31262492,123.75729571,-291.18132384,170.39134968,4.69403439,-29.72805989
2027,-133.60493637,-6.39489852,-0.08240863,-29.11607016,-32.03705843,-5.22531904,133.48280549,54.82725472,66.34628059,139.12041346,-327.57898932,191.42009733,5.38711709,-32.99835756
2028,-147.30263175,-7.83622600,-0.11382149,-32.07351270,-36.11234169,-6.66590882,150.00744235,65.13040112,72.14213693,154.95917182,-363.97665480,212.38963347,6.10746167,-36.16960861
2029,-160.78560503,-9.45935963,-0.14957557,-34.97956537,-40.29814958,-8.34965517,167.20199136,76.19217946,77.70788828,171.22044987,-400.37432028,233.30020606,6.85575963,-39.24181303
2030,-174.05893454,-11.27531542,-0.18997963,-37.83536822,-44.71704904,-10.29581655,185.10667811,88.01258971,81.53070134,184.70628856,-436.77198576,254.15206306,7.65836099,-42.21497083
2031,-187.12684489,-13.29554049,-0.23536156,-40.64194540,-49.00724588,-12.52365141,203.74703642,100.59163189,88.17985347,204.79808134,-473.16965123,274.94545242,8.43993769,-44.14813907
2032,-199.99339050,-15.53190722,-0.28606940,-43.38976652,-53.49768374,-15.05241822,223.12947032,113.92930599,93.10145603,222.00819294,-509.56731671,295.68062208,9.27763848,-46.08130731
2033,-212.66318996,-17.99670430,-0.34247228,-46.07519939,-58.04756102,-17.34385385,243.23746918,128.02561202,97.82373104,239.42834053,-545.96498219,316.35782001,10.14764237,-48.01447554
2034,-225.14090185,-20.70262445,-0.40496158,-48.70005138,-62.65777526,-17.50800428,264.02898476,142.88054997,102.35437285,257.00540322,-582.36264767,336.97729416,11.05146781,-49.94764378
2035,-237.43082465,-23.66274839,-0.47395197,-51.26604420,-67.32917440,-17.67002609,283.44975034,158.49411984,103.90717568,278.38191784,-618.76031315,357.53929247,11.99058332,-51.88081201
2036,-249.53662625,-26.89052486,-0.54988254,-53.77477679,-72.06251436,-17.82974784,303.43971791,174.86632163,110.87153434,292.41779018,-655.15797863,378.04406291,12.96622082,-53.81398025
2037,-261.46158991,-30.39974650,-0.63321797,-56.22776095,-76.85849607,-17.98703044,324.21641526,191.99715535,114.87344273,310.14687262,-691.55564411,398.49185343,13.97954860,-55.74714849
2038,-273.20902392,-34.20452109,-0.72444968,-58.62648019,-81.71782662,-18.14174073,345.62752591,209.88662098,118.71449536,327.82038646,-727.95330959,418.88291198,15.03192629,-57.68031672
2039,-284.78202745,-38.31923812,-0.82409705,-60.97235759,-86.64118428,-18.29376022,367.50956542,228.53471855,122.40238659,345.38521079,-764.35097507,439.21748652,16.12474871,-59.61348496
2040,-296.18344073,-42.75853042,-0.93270862,-63.26674961,-91.44624841,-18.44293302,389.69473416,247.94144803,124.48089758,368.93635584,-800.74864055,459.49582499,17.22221793,-61.54665320
2041,-307.41614678,-47.53723058,-1.05086333,-65.51098964,-96.68252391,-18.58923413,412.01649656,268.10680944,129.34946228,379.97630724,-837.14630603,479.71817535,18.43655681,-63.47982143
2042,-318.48248732,-52.67032211,-1.17917176,-67.70630632,-101.80168868,-18.73242259,434.31313927,289.03080277,132.62403545,396.89633753,-873.54397151,499.88478556,19.65858058,-65.41298967
2043,-329.38395132,-64.50994280,-1.56748472,-69.85378042,-106.98727074,-18.87234969,456.43007405,310.71342802,135.77622466,413.49519462,-909.94163699,519.99590357,20.92613993,-67.34615790
2044,-340.12154587,-76.50227552,-1.96157354,-71.95439798,-112.23980607,-19.00881970,478.22362676,333.15468520,138.81372425,429.71975760,-946.33930247,540.05177732,22.24044421,-69.27932614
2045,-350.69641009,-88.61542849,-2.36093415,-74.00913779,-117.55979220,-19.14166781,499.56982826,356.35457430,141.93642526,445.08187863,-982.73696795,560.05265478,23.60268164,-71.21249438
2046,-361.11045221,-100.81395293,-2.76497318,-76.01906210,-122.94772764,-19.27074397,520.37934297,380.31309532,144.57543205,460.83351756,-1019.13463343,579.99878390,25.01404350,-73.14566261
2047,-371.36560784,-113.05871214,-3.17299969,-77.98521260,-128.40403496,-19.39597085,540.61433928,405.03024827,147.31502896,475.61647269,-1055.53229891,599.89041263,26.47568192,-75.07883085
2048,-381.46298770,-125.30676581,-3.58421648,-79.90849081,-133.92902356,-19.51734784,560.29847618,430.50603314,149.97071370,489.81265003,-1091.92996439,619.72778893,27.98867897,-77.01199909
2049,-391.40348998,-137.51127193,-3.99771087,-81.78974525,-139.52293746,-19.63492260,579.51140041,456.74044993,152.55018061,503.36892867,-1128.32762987,639.51116074,29.55407255,-78.94516732
2050,-401.18821165,-149.62140909,-4.41244496,-83.62983017,-145.30692587,-19.74634088,598.55094641,483.73349864,156.91058368,513.80254071,-1164.72529535,659.24077603,31.19711640,-80.87833556
2051,-410.81955786,-161.58232181,-4.82724543,-85.42976284,-150.91872274,-19.85861388,615.18794354,511.48517928,157.51123842,528.34930614,-1201.12296083,678.91688274,32.84660752,-82.81150380
2052,-420.29951824,-173.33509125,-5.24079284,-87.19048084,-156.72136105,-19.96452195,631.71976578,539.99549184,159.90821802,539.66716313,-1237.52062631,698.53972883,34.57558543,-84.74467203
2053,-429.62836824,-184.81673398,-5.65161040,-88.91265927,-162.59424456,-20.06629878,647.90189557,569.26443632,162.25975724,550.13263774,-1273.91829179,718.10956225,36.36111986,-86.67784027
2054,-438.80587531,-195.96023094,-6.05805228,-90.59688169,-168.53763587,-20.16379426,663.58387886,599.29201273,164.57355042,559.69260903,-1310.31595727,737.62663095,38.20409084,-88.61100850
2055,-447.83287373,-206.69458862,-6.45829154,-92.24386305,-174.55183004,-20.25686466,678.50642180,630.07822106,168.28438791,562.78217697,-1331.11798000,757.09118290,40.10542386,-90.54417674
2056,-456.71148862,-216.94493424,-6.85030758,-93.85448186,-180.63716099,-20.34540261,692.34240408,661.62306131,169.11867614,575.88355802,-1336.93237229,776.50346603,42.06616062,-92.47734498
2057,-465.44572552,-226.63264630,-7.23187318,-95.42986403,-186.79402485,-20.42930083,704.76017768,693.92653349,171.36539739,582.40829388,-1342.58002719,795.86372832,44.08740701,-94.41051321
2058,-474.04080785,-235.67552149,-7.60054136,-96.97128983,-193.02285914,-20.50841270,715.48868970,726.98863758,173.60515004,587.81504274,-1348.06094471,815.17221770,46.17023452,-96.34368145
2059,-482.50307215,-241.87267951,-7.82003857,-98.48017961,-199.32413792,-20.58258074,724.36337611,760.80937360,175.84562845,592.05068370,-1353.37512484,834.42918213,48.31573636,-98.27684969
2060,-490.83846567,-248.18903560,-8.04961713,-99.95788221,-205.66837115,-20.65284393,731.34157491,795.38874155,176.65361243,598.98359588,-1358.52256759,853.63486957,50.51907524,-100.21001792
