year,Roof Area - Residential - Case 1 - Average,Roof Area - Residential - Case 2 - High,Roof Area - Residential - Case 3 - Low,Roof Area - Commercial - Case 1 - Average,Roof Area - Commercial - Case 2 - High,Roof Area - Commercial - Case 3 - Low,Roof Area - Total - Case 1 - Average,Roof Area - Total - Case 2 - High,Roof Area - Total - Case 3 - Low
2012,101210.08939392,101210.08939392,101210.08939392,17173.62267431,17173.62267431,17173.62267431,118383.71206823,118383.71206823,118383.71206823
2013,102610.99316569,102610.99316569,102610.99316569,17692.16591846,17692.16591846,17692.16591846,120303.15908415,120303.15908415,120303.15908415
2014,113246.00343764,113246.00343764,113246.00343764,18364.00081387,18364.00081387,18364.00081387,131610.00425151,131610.00425151,131610.00425151
2015,114515.53721172,114515.53721172,114515.53721172,19298.52664721,19298.52664721,19298.52664721,133814.06385893,133814.06385893,133814.06385893
2016,115775.97620129,115775.97620129,115775.97620129,20263.90403110,20263.90403110,20263.90403110,136039.88023239,136039.88023239,136039.88023239
2017,117026.21097368,117026.21097368,117026.21097368,21260.02902835,21260.02902835,21260.02902835,138286.24000203,138286.24000203,138286.24000203
2018,118264.66866366,118264.66866366,118264.66866366,22286.76422240,22286.76422240,22286.76422240,140551.43288606,140551.43288606,140551.43288606
2019,119489.24777128,119489.24777128,119489.24777128,23343.92473247,23343.92473247,23343.92473247,142833.17250375,142833.17250375,142833.17250375
2020,120698.42646948,120698.42646948,120698.42646948,24419.67941166,24419.67941166,24419.67941166,145118.10588115,145118.10588115,145118.10588115
2021,121891.63727103,121891.63727103,121891.63727103,25549.00707099,25549.00707099,25549.00707099,147440.64434202,147440.64434202,147440.64434202
2022,123069.26483569,123069.26483569,123069.26483569,26696.84759277,26696.84759277,26696.84759277,149766.11242846,149766.11242846,149766.11242846
2023,124231.93609448,124231.93609448,124231.93609448,27874.87260536,27874.87260536,27874.87260536,152106.80869984,152106.80869984,152106.80869984
2024,125380.71584732,125380.71584732,125380.71584732,29083.09429106,29083.09429106,29083.09429106,154463.81013838,154463.81013838,154463.81013838
2025,126516.46739512,126516.46739512,126516.46739512,30321.51577315,30321.51577315,30321.51577315,156837.98316827,156837.98316827,156837.98316827
2026,127639.39981136,127639.39981136,127639.39981136,31590.10742726,31590.10742726,31590.10742726,159229.50723862,159229.50723862,159229.50723862
2027,128749.49705449,128749.49705449,128749.49705449,32888.82855666,32888.82855666,32888.82855666,161638.32561116,161638.32561116,161638.32561116
2028,129847.17801783,129847.17801783,129847.17801783,34217.66167865,34217.66167865,34217.66167865,164064.83969648,164064.83969648,164064.83969648
2029,130932.90168496,130932.90168496,130932.90168496,35576.59233614,35576.59233614,35576.59233614,166509.49402109,166509.49402109,166509.49402109
2030,132007.09112999,132007.09112999,132007.09112999,37011.06885043,37011.06885043,37011.06885043,169018.15998041,169018.15998041,169018.15998041
2031,133070.05368059,133070.05368059,133070.05368059,38384.67791407,38384.67791407,38384.67791407,171454.73159466,171454.73159466,171454.73159466
2032,134122.07727142,134122.07727142,134122.07727142,39833.78978489,39833.78978489,39833.78978489,173955.86705631,173955.86705631,173955.86705631
2033,135163.53397666,135163.53397666,135163.53397666,41312.92978672,41312.92978672,41312.92978672,176476.46376338,176476.46376338,176476.46376338
2034,136194.80598234,136194.80598234,136194.80598234,42822.08999652,42822.08999652,42822.08999652,179016.89597886,179016.89597886,179016.89597886
2035,137216.22907367,137216.22907367,137216.22907367,44361.25811032,44361.25811032,44361.25811032,181577.48718399,181577.48718399,181577.48718399
2036,138228.05440395,138228.05440395,138228.05440395,45930.40799236,45930.40799236,45930.40799236,184158.46239631,184158.46239631,184158.46239631
2037,139230.48312499,139230.48312499,139230.48312499,47529.51196102,47529.51196102,47529.51196102,186759.99508601,186759.99508601,186759.99508601
2038,140223.72411295,140223.72411295,140223.72411295,49158.55307002,49158.55307002,49158.55307002,189382.27718297,189382.27718297,189382.27718297
2039,141207.96086754,141207.96086754,141207.96086754,50817.51548781,50817.51548781,50817.51548781,192025.47635535,192025.47635535,192025.47635535
2040,142183.34441798,142183.34441798,142183.34441798,52440.08522632,52440.08522632,52440.08522632,194623.42964431,194623.42964431,194623.42964431
2041,143150.03582267,143150.03582267,143150.03582267,54225.10225391,54225.10225391,54225.10225391,197375.13807657,197375.13807657,197375.13807657
2042,144108.12371091,144108.12371091,144108.12371091,55973.65071279,55973.65071279,55973.65071279,200081.77442370,200081.77442370,200081.77442370
2043,145057.58026958,145057.58026958,145057.58026958,57751.96313080,57751.96313080,57751.96313080,202809.54340038,202809.54340038,202809.54340038
2044,145998.31351658,145998.31351658,145998.31351658,59559.97221358,59559.97221358,59559.97221358,205558.28573017,205558.28573017,205558.28573017
2045,146930.25383538,146930.25383538,146930.25383538,61397.61328995,61397.61328995,61397.61328995,208327.86712533,208327.86712533,208327.86712533
2046,147853.44380164,147853.44380164,147853.44380164,63264.83252323,63264.83252323,63264.83252323,211118.27632487,211118.27632487,211118.27632487
2047,148767.93348037,148767.93348037,148767.93348037,65161.58014050,65161.58014050,65161.58014050,213929.51362087,213929.51362087,213929.51362087
2048,149673.66012728,149673.66012728,149673.66012728,67087.79829077,67087.79829077,67087.79829077,216761.45841805,216761.45841805,216761.45841805
2049,150570.53453052,150570.53453052,150570.53453052,69043.42778563,69043.42778563,69043.42778563,219613.96231614,219613.96231614,219613.96231614
2050,151458.49897471,151458.49897471,151458.49897471,71071.33127389,71071.33127389,71071.33127389,222529.83024861,222529.83024861,222529.83024861
2051,152337.68369774,152337.68369774,152337.68369774,73042.69233427,73042.69233427,73042.69233427,225380.37603200,225380.37603200,225380.37603200
2052,153208.16366268,153208.16366268,153208.16366268,75086.22094329,75086.22094329,75086.22094329,228294.38460597,228294.38460597,228294.38460597
2053,154069.77529298,154069.77529298,154069.77529298,77158.90245895,77158.90245895,77158.90245895,231228.67775193,231228.67775193,231228.67775193
2054,154922.28658534,154922.28658534,154922.28658534,79260.63345010,79260.63345010,79260.63345010,234182.92003543,234182.92003543,234182.92003543
2055,155765.61922744,155765.61922744,155765.61922744,81391.32852144,81391.32852144,81391.32852144,237156.94774888,237156.94774888,237156.94774888
2056,156599.88015057,156599.88015057,156599.88015057,83550.93352265,83550.93352265,83550.93352265,240150.81367322,240150.81367322,240150.81367322
2057,157425.44465375,157425.44465375,157425.44465375,85739.42059516,85739.42059516,85739.42059516,243164.86524891,243164.86524891,243164.86524891
2058,158242.86289000,158242.86289000,158242.86289000,87956.76610082,87956.76610082,87956.76610082,246199.62899082,246199.62899082,246199.62899082
2059,159052.84503196,159052.84503196,159052.84503196,90202.95918473,90202.95918473,90202.95918473,249255.80421669,249255.80421669,249255.80421669
2060,159856.04927319,159856.04927319,159856.04927319,92467.57644923,92467.57644923,92467.57644923,252323.62572242,252323.62572242,252323.62572242
