year,Lighting Demand - Residential - Case 1 - Average,Lighting Demand - Residential - Case 2 - High,Lighting Demand - Residential - Case 3 - Low,Lighting Demand - Residential - IEA 2006 per capita ratio of lighting demand,"Lighting Demand - Residential - IEA 2006 exponential fit between GDP, Population, and Lighting Demand",Lighting Demand- Residential - [Case 6],Lighting Demand - Commercial - Case 1 - Average,Lighting Demand - Commercial - Case 2 - High,Lighting Demand - Commercial - Case 3 - Low,Lighting Demand - Commercial -  IEA 2006 per capita ratio of lighting demand,Lighting Demand - Commercial - [Case 5],Lighting Demand - Commercial - [Case 6],Lighting Demand - Total - Case 1 - Average,Lighting Demand - Total - Case 2 - High,Lighting Demand - Total - Case 3 - Low,Lighting Demand - Total - IEA 2006 per capita ratio of lighting demanded,Lighting Demand - Total - [Case 5],Lighting Demand - Total - [Case 6]
2022,38.53015957,67.20275834,9.85756081,125.02082188,20.47520796,,74.80302837,98.36635658,51.23970015,89.12501686,,,113.33318794,165.56911492,61.09726096,214.14583874,,
2023,38.89416523,67.83764240,9.95068806,128.30351286,20.98987944,,78.10378656,102.70687012,53.50070300,90.78431365,,,116.99795179,170.54451253,63.45139106,219.08782651,,
2024,39.25382178,68.46494093,10.04270264,131.61975790,21.51634371,,81.48915409,107.15864536,55.81966282,92.43664818,,,120.74297587,175.62358629,65.86236545,224.05640608,,
2025,39.60939950,69.08512532,10.13367368,134.97010386,22.05504162,,84.95913971,111.72169382,58.19658561,94.08215602,,,124.56853921,180.80681913,68.33025929,229.05225988,,
2026,39.96096384,69.69830974,10.22361795,138.35399107,22.60635888,,88.51366041,116.39590633,60.63141450,95.72019881,,,128.47462426,186.09421606,70.85503245,234.07418989,,
2027,40.30850979,70.30448543,10.31253415,141.77065673,23.17068728,,92.15260217,121.18113294,63.12407140,97.35001336,,,132.46111196,191.48561837,73.43660555,239.12067008,,
2028,40.65216848,70.90388113,10.40045583,145.22038489,23.74848901,,95.87591600,126.07730925,65.67452274,98.97156854,,,136.52808448,196.98119039,76.07497857,244.19195343,,
2029,40.99208362,71.49674748,10.48741976,148.70372386,24.34024752,,99.68356138,131.08438199,68.28274077,100.58500893,,,140.67564500,202.58112946,78.77016054,249.28873280,,
2030,41.32838766,72.08331549,10.57345983,152.22105932,24.94636938,,103.70288190,136.36980858,71.03595522,102.19036150,,,145.03126956,208.45312407,81.60941505,254.41142082,,
2031,41.66117681,72.66375298,10.65860065,155.77227244,25.56755560,,107.55165533,141.43096490,73.67234577,103.78731210,,,149.21283215,214.09471788,84.33094641,259.55958453,,
2032,41.99054123,73.23821718,10.74286528,159.35702206,26.20405430,,111.61198328,146.77031647,76.45365009,105.37540477,,,153.60252451,220.00853365,87.19651537,264.73242682,,
2033,42.31659740,73.80691127,10.82628353,162.97520995,26.85644627,,115.75644832,152.22030873,79.29258791,106.95435257,,,158.07304572,226.02722000,90.11887144,269.92956252,,
2034,42.63946497,74.37004394,10.90888601,166.62670177,27.52525051,,119.98502825,157.78091250,82.18914400,108.52384966,,,162.62449323,232.15095644,93.09803001,275.15055143,,
2035,42.95924908,74.92779854,10.99069962,170.31125511,28.21099975,,124.29768860,163.45208244,85.14329476,110.08352559,,,167.25693768,238.37988098,96.13399438,280.39478070,,
2036,43.27602834,75.48031223,11.07174446,174.02852791,28.91424287,,128.69435614,169.23372225,88.15499003,111.63295330,,,171.97038448,244.71403448,99.22673449,285.66148121,,
