year,Insulation (Residential Only),Cool Roofs,Green Roofs  ,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),"Heat Pumps
",District Heat,Residential LED (Excludes Commercial LED),Commercial LED (Excludes Household LED),Water Saving - Home (WaSH),Solar Hot Water (SHW)
2014,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2015,1.35503080,0.00000000,0.00000000,0.00000000,-0.27773366,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2016,0.88053963,0.00000000,0.00000000,0.00000000,-0.17983759,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2017,0.42774779,0.00000000,0.00000000,0.00000000,-0.08726651,0.00000000,0.00543073,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2018,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.06630845,0.00611485,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2019,-18.03703177,-0.47369427,0.04192337,-5.54246614,-4.15021702,-0.21430723,20.16262525,5.06993296,19.28446925,28.44633910,-38.50422270,24.60930197,1.33455328,-13.69210290
2020,-35.90725257,-1.11415185,0.03351096,-10.86413401,-8.30201274,-0.40115794,34.29960309,11.54426505,33.92859120,42.73734485,-77.00844541,49.15740881,2.64130423,-27.16837947
2021,-53.43418778,-1.94036818,0.02139121,-15.97436300,-12.53817453,-0.62200408,49.15127107,15.83490486,47.94398748,59.37057441,-115.51266811,73.64456847,3.94856193,-40.42882971
2022,-70.62516600,-2.97293186,0.00515467,-20.88279557,-16.78614822,-0.88170215,64.83785423,23.16058581,61.35372365,78.17593018,-154.01689082,98.07102891,5.23506344,-53.47345361
2023,-87.48914108,-4.23408122,-0.01564718,-25.59883609,-21.07668252,-1.78172099,81.50307814,30.72054245,74.18086524,98.98331454,-192.52111352,122.43703808,6.51248425,-66.30225118
2024,-104.03808045,-5.74774784,-0.04150515,-30.13185985,-25.41432313,-2.71511971,99.31355601,38.09154662,86.44847781,121.62262988,-231.02533623,146.74284393,7.78425479,-78.91522241
