year,Space Heating - Residential - Case 1 - Average,Space Heating - Residential - Case 2 - High,Space Heating - Residential - Case 3 - Low,Space Heating - Residential - [Case 4],Space Heating - Residential - [Case 5],Space Heating - Residential - [Case 6],Space Heating - Commercial - Case 1 - Average,Space Heating - Commercial - Case 2 - High,Space Heating - Commercial - Case 3 - Low,Space Heating - Commercial - [Case 4],Space Heating - Commercial - [Case 5],Space Heating - Commercial - [Case 6],Space Heating - Total - Case 1 - Average,Space Heating - Total - Case 2 - High,Space Heating - Total - Case 3 - Low,Space Heating - Total - [Case 4],Space Heating - Total - [Case 5],Space Heating - Total - [Case 6]
2050,11852.88238045,17893.03535403,5812.72940686,,,,6992.28866275,10731.76756457,3252.80976092,,,,18845.17104319,28624.80291861,9065.53916778,,,
2051,11921.68586908,17996.90065996,5846.47107820,,,,7186.23923811,11029.44298878,3343.03548745,,,,19107.92510719,29026.34364874,9189.50656565,,,
2052,11989.80813828,18099.73760139,5879.87867516,,,,7387.28995250,11338.01570932,3436.56419568,,,,19377.09809077,29437.75331071,9316.44287084,,,
2053,12057.23638681,18201.52685367,5912.94591995,,,,7591.20884924,11650.99051734,3531.42718114,,,,19648.44523605,29852.51737102,9444.37310109,,,
2054,12123.95245850,18302.24100835,5945.66390865,,,,7797.98575236,11968.35179475,3627.61970997,,,,19921.93821087,30270.59280311,9573.28361863,,,
2055,12189.95022477,18401.87081376,5978.02963578,,,,8007.61226032,12290.08664686,3725.13787379,,,,20197.56248510,30691.95746063,9703.16750956,,,
2056,12255.23805387,18500.42890257,6010.04720517,,,,8220.08304559,12616.18689698,3823.97919421,,,,20475.32109946,31116.61579954,9834.02639938,,,
2057,12319.84531606,18597.95961192,6041.73102019,,,,8435.39536733,12946.64833845,3924.14239622,,,,20755.24068339,31544.60795037,9965.87341641,,,
2058,12383.81506536,18694.52793591,6073.10219481,,,,8653.54689992,13281.46740193,4025.62639792,,,,21037.36196529,31975.99533784,10098.72859274,,,
2059,12447.20287868,18790.21777306,6104.18798430,,,,8874.53657542,13620.64244831,4128.43070252,,,,21321.73945410,32410.86022138,10232.61868682,,,
2060,12510.06026512,18885.10688118,6135.01364905,,,,9097.33889726,13962.59954507,4232.07824944,,,,21607.39916237,32847.70642626,10367.09189849,,,
