year,Insulation (Residential Only),Cool Roofs,Green Roofs  ,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),"Heat Pumps
",District Heat,Water Saving - Home (WaSH),Solar Hot Water (SHW),Biogas for Cooking,Clean Cookstoves
2014,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2015,-42504.94726115,0.00000000,0.00000000,0.00000000,3412.67834948,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2016,-27620.98883994,0.00000000,0.00000000,0.00000000,2209.77123453,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2017,-13417.70053954,0.00000000,0.00000000,0.00000000,1072.29538504,0.00000000,11.52882482,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2018,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,141.78647314,12.51375479,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2019,492161.17420516,-239.08336001,-501.80601593,150643.21774053,38978.03493359,458.25026985,38189.42648293,0.00000000,232974.89853667,78187.23007768,9591.96222957,82600.48615146,49153.77312556,344701.20851936
2020,981718.64036615,-584.07172432,-435.71794373,298623.15033924,78766.94420208,857.79062146,64222.82316526,0.00000000,404125.63868881,102442.80230542,19388.15932942,163187.19859756,97655.45622299,688945.90189589
2021,1463087.40330063,-1042.50379125,-341.72631657,443953.75436631,120348.03051546,1330.02295861,90844.97519452,68734.83680733,568968.60343185,128647.53064444,29779.29201976,241760.13734012,146157.13932041,1033190.59527264
2022,1936427.20387727,-1622.32201414,-217.69700718,586682.37804756,162791.97134729,1885.33185065,118108.88925959,112955.64939450,727670.19991207,156679.24099664,40422.65477580,318319.30237598,194658.82241783,1377435.28864917
2023,2401950.46441351,-2331.88343682,-61.35465879,726865.48524831,206445.49162787,3195.88975291,146085.78092723,163009.40410263,880396.83527578,186415.75926392,51464.92900625,392864.69370778,243160.50551526,1721679.98202592
2024,2859965.79866958,-3179.96956006,129.72549992,864576.88577957,251334.13572630,4594.52466364,174863.42371457,218896.10093173,1027314.91666926,217734.91134818,62932.39050185,465396.31133289,291662.18861267,2065924.67540245
2025,3310735.86754528,-4175.79504677,358.12621957,999883.79267212,297482.97752178,6344.90548638,204543.27220854,280615.73988178,1296168.15599417,242026.60102507,74849.69432447,535914.15525288,340163.87171010,2410169.36877919
2026,3754376.73363014,-5329.01505804,626.59718183,1132828.14894512,344916.30684198,8487.80979802,235236.25231790,348168.32095279,1304391.04613075,284632.42057525,87239.58335509,604418.22546880,388665.55480751,2754414.06215594
2027,4190953.29214523,-6649.73099616,938.06434413,1263442.26128395,393658.36001803,11064.01517544,267057.16990220,421553.84414477,1434881.90849134,319966.42952186,100120.66612974,670908.52197856,437167.23790494,3098658.75553247
2028,4620626.05037769,-8148.49441567,1295.63968184,1391775.44208187,443733.78529393,14114.29919550,300117.77824891,500772.30945771,1560229.84546690,356394.37589306,113508.41661803,735385.04478268,485668.92100235,3442903.44890922
2029,5043563.35178890,-9836.30884885,1702.63133048,1517878.64676276,495167.29232028,17679.43943508,334518.67042021,585823.71689160,1680601.26420371,393794.08559074,127415.68634208,797847.79388273,534170.60409978,3787148.14228575
2030,5459924.49477413,-11724.62927854,2162.55412844,1641801.34630957,549464.93389340,21800.21347105,370340.32515312,676708.06644646,1763277.87017954,424810.49467653,142332.19566183,858296.76927661,582672.28719719,4131392.83566249
2031,5869841.99793977,-13825.35897919,2679.14055847,1763587.98166497,602181.12996972,26517.39888029,407633.82763064,773425.35812228,1907080.17554628,471020.09857315,156857.95763017,897601.12076616,631173.97029461,4475637.52903903
2032,6273443.04091606,-16150.84343737,3256.35208301,1882824.99760009,657357.80624477,31871.77323967,446411.99028830,875975.59191906,2013520.48244463,510602.05366169,172426.79699334,936905.47225487,679675.65339204,4819882.22241577
2033,6670872.50117542,-18713.86105510,3898.39086559,1999354.78222855,713264.85000588,36723.62599562,486641.78054606,984358.76783680,2115649.89968943,550667.07568432,188595.99618433,976209.82374360,728177.33648946,5164126.91579252
2034,7062276.51020367,-21527.61033536,4609.71186659,2113255.76243123,769913.28990875,37071.19575993,528239.07307529,1098574.88587550,2213634.83442695,591092.99054294,205393.77558613,1015514.17523231,776679.01958687,5508371.60916905
2035,7447789.90384998,-24605.69324837,5395.03529783,2224602.64962517,827313.54496762,37414.25839568,567093.92538829,1218623.94603516,2247217.55626605,640257.35749550,222847.42834469,1054818.52672102,825180.70268431,5852616.30254580
