Year,World
2012,
2013,
2014,15846.690762545904
2015,10268.495600298282
2016,10258.555671776947
2017,10243.866792814666
2018,10223.880973526631
2019,10175.564253816225
2020,10121.273911783248
2021,10075.248359315296
2022,10023.120647142696
2023,9964.975674683983
2024,9900.966676857533
2025,9831.200430186933
2026,9755.661152329361
2027,9674.293138269573
2028,9587.112640351204
2029,9494.136183103403
2030,9395.364613428237
2031,9268.897057887038
2032,9138.346595533092
2033,9003.719224874574
2034,8865.010387217797
2035,8722.206734106225
2036,8575.289247823846
2037,8424.23133982304
2038,8268.998500770127
2039,8109.552249029661
2040,7945.851927758832
2041,7777.862939219127
2042,7605.539786168233
2043,7428.8183331477485
2044,7247.6276941171745
2045,7061.905988191579
2046,6871.611248776691
2047,6676.707952177627
2048,6477.151732566319
2049,6272.900796980077
2050,6063.918814693191
2051,
2052,
2053,
2054,
2055,
2056,
2057,
2058,
2059,
2060,
