"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Calculations for Bandwidth, Annual maintenance per passenger km ",,OECD90,USA,,,,,,$/pkm,,US2014$/passenger-km/ pkm equivalent,,,
