Year,China,India,EU,USA
2012,164.68996850409536,116.30328783871184,239.73886319020514,228.87370365
2013,176.0174763780715,129.3274658790339,240.02663764265384,231.39567795000002
2014,187.34498425204768,142.35164391935592,240.31441209510257,234.416604
2015,198.67249212602385,155.37582195967795,240.6021865475513,237.78226035
2016,210.0,168.4,240.889961,242.05510170000002
2017,221.32750787397617,181.42417804032203,241.17773545244873,242.93507115
2018,232.65501574795235,194.4483560806441,241.46550990489743,251.4328845714286
2019,243.98252362192852,207.47253412096612,241.75328435734616,256.12181085714286
2020,255.31003149590467,220.49671216128814,242.04105880979486,260.81073714285714
2021,266.63753936988087,233.5208902016102,242.3288332622436,265.4996634285714
2022,277.965047243857,246.54506824193223,242.61660771469232,270.18858971428574
2023,289.29255511783316,259.56924628225426,242.90438216714102,274.877516
2024,300.62006299180933,272.5934243225763,243.19215661958975,279.5664422857143
2025,311.9475708657855,285.6176023628983,243.47993107203845,284.25536857142856
2026,323.2750787397616,298.64178040322037,243.76770552448718,288.94429485714284
2027,334.6025866137378,311.6659584435424,244.05547997693589,293.6332211428571
2028,345.930094487714,324.6901364838644,244.34325442938461,298.3221474285714
2029,357.25760236169015,337.71431452418653,244.63102888183334,303.0110737142857
2030,368.5851102356663,350.73849256450853,244.91880333428205,307.7
2031,372.01380893553295,358.076905230826,246.31332228823152,310.13
2032,375.44250763539964,365.4153178971435,247.70784124218105,312.56
2033,378.87120633526627,372.75373056346103,249.10236019613055,314.99
2034,382.29990503513295,380.09214322977857,250.49687915008005,317.42
2035,385.72860373499964,387.43055589609605,251.89139810402955,319.85
2036,389.15730243486627,394.76896856241353,253.28591705797905,322.28000000000003
2037,392.58600113473295,402.107381228731,254.68043601192858,324.71000000000004
2038,396.0146998345996,409.44579389504855,256.0749549658781,327.14
2039,399.44339853446627,416.7842065613661,257.4694739198276,329.57000000000005
2040,402.87209723433295,424.1226192276836,258.8639928737771,332.0
2041,406.3007959341996,431.46103189400105,260.2585118277266,334.43
2042,409.72949463406627,438.79944456031853,261.6530307816761,336.86
2043,413.1581933339329,446.1378572266361,263.0475497356256,339.29
2044,416.5868920337996,453.4762698929536,264.4420686895751,341.72
2045,420.0155907336663,460.8146825592711,265.8365876435246,344.15000000000003
2046,423.4442894335329,468.1530952255886,267.2311065974741,346.58000000000004
2047,426.8729881333996,475.4915078919061,268.6256255514236,349.01000000000005
2048,430.3016868332662,482.82992055822365,270.0201445053731,351.44000000000005
2049,433.7303855331329,490.16833322454113,271.41466345932264,353.87
2050,437.1590842329996,497.50674589085867,272.80918241327214,356.3
2051,440.5877829328662,504.8451585571761,274.20370136722164,358.73
2052,444.0164816327329,512.1835712234937,275.59822032117114,361.16
2053,447.44518033259953,519.5219838898112,276.99273927512064,363.59000000000003
2054,450.8738790324662,526.8603965561286,278.38725822907014,366.02000000000004
2055,454.3025777323329,534.1988092224461,279.78177718301964,368.45000000000005
2056,457.7312764321996,541.5372218887636,281.17629613696914,370.88000000000005
2057,461.1599751320662,548.8756345550812,282.57081509091864,373.31000000000006
2058,464.58867383193285,556.2140472213987,283.96533404486814,375.74
2059,468.01737253179954,563.5524598877162,285.35985299881764,378.1700000000001
2060,471.4460712316662,570.8908725540336,286.7543719527672,380.6
