Year,PDS1,PDS2,PDS3
2014,0,0,0
2015,43.47823826,55.4362492,72.68319879
2016,15.8355572,21.687129,32.54341387
2017,15.82541981,21.59079981,32.08630242
2018,15.8030688,21.48100825,31.62382727
2019,15.76509274,21.35358683,31.15078854
2020,15.7140875,21.21168617,30.67062842
2021,15.49429716,20.86561703,29.95947607
2022,15.27837509,20.52641736,29.26818211
2023,15.0676539,20.19565743,28.59819157
2024,14.8645677,19.8762501,27.95254545
2025,14.66795226,19.56672732,27.3291331
2026,14.47409556,19.26251946,26.61140719
2027,14.28170142,18.96200002,19.77293917
2028,14.0931893,18.66806862,9.318915935
2029,13.9087567,18.38091997,4.453457531
2030,13.72817378,18.10022944,0
2031,13.55076174,17.82512669,0
2032,13.3763846,17.55540341,0
2033,13.20548954,17.29156247,0
2034,13.03810748,17.03360079,0
2035,12.87395169,16.78112935,0
2036,12.71252061,12.68812222,0
2037,12.55350806,6.263060066,0
2038,12.39693314,0,0
2039,12.24262904,0,0
2040,12.09038941,0,0
2041,11.94024748,0,0
2042,11.79177272,0,0
2043,11.64428725,0,0
2044,11.49740775,0,0
2045,11.35123836,0,0
2046,11.20638914,0,0
2047,11.06288119,0,0
2048,10.9200588,0,0
2049,10.77775258,0,0
2050,10.63611974,0,0
2051,10.49619846,0,0
2052,10.35765818,0,0
2053,10.21913709,0,0
2054,10.08023122,0,0
2055,9.941787124,0,0
2056,9.804829261,2.17351791,0
2057,9.670850254,9.192682571,0
2058,9.540816653,11.86497466,2.969456167
2059,9.415611793,11.68758197,6.545246826
2060,9.294926015,11.51651095,6.490476441
