Year,World
2012,1536.6666666666667
2013,1655.0
2014,1773.3333333333333
2015,1891.6666666666665
2016,2009.9999999999998
2017,2021.6666666666667
2018,2033.3333333333335
2019,2045.0
2020,2056.666666666667
2021,2068.3333333333335
2022,2080.0
2023,2091.666666666667
2024,2103.3333333333335
2025,2115.0
2026,2163.9399999999996
2027,2212.8799999999997
2028,2261.8199999999997
2029,2310.7599999999998
2030,2359.7
2031,2408.62
2032,2457.54
2033,2506.46
2034,2555.38
2035,2604.3
2036,2653.08
2037,2701.86
2038,2750.6400000000003
2039,2799.42
2040,2848.2
2041,2896.6
2042,2945.0
2043,2993.3999999999996
2044,3041.8
2045,3090.2
2046,3138.16
2047,3186.12
2048,3234.08
2049,3282.04
2050,3330.0
2051,3377.96
2052,3425.92
2053,3473.88
2054,3521.84
2055,3569.8
2056,3617.76
2057,3665.7200000000003
2058,3713.6800000000003
2059,3761.6400000000003
2060,3809.6000000000004
