Year,PDS1,PDS2,PDS3
2014,0.000000,0.000000,0.000000
2015,17.069609,25.521491,32.243689
2016,34.448950,51.340159,64.697088
2017,52.125829,77.435515,97.334821
2018,70.087366,103.786239,130.130540
2019,88.320756,130.371292,163.058297
2020,106.813182,157.169763,196.092339
2021,125.550294,184.158674,229.204415
2022,144.517919,211.315507,262.366948
2023,163.705228,238.622768,295.558634
2024,183.104348,266.067337,328.763563
2025,202.708231,293.637326,361.967301
2026,222.507948,321.318169,395.152086
2027,242.493479,349.093814,428.298340
2028,262.656955,376.951362,461.390342
2029,282.991069,404.878759,494.413381
2030,303.488730,432.864294,527.353130
2031,323.373715,459.849628,558.970165
2032,343.323796,486.768060,590.368882
2033,363.333306,513.611903,621.541440
2034,383.396527,540.373401,652.479845
2035,403.507663,567.044685,683.175914
2036,423.661128,593.618166,713.621727
2037,443.850952,620.085731,743.808693
2038,464.070273,646.438071,773.726789
2039,484.311609,672.665073,803.365033
2040,504.567408,698.756566,832.712366
2041,524.830889,724.703448,861.758955
2042,545.095059,750.496344,890.494613
2043,565.351550,776.124047,918.907005
2044,585.591324,801.574501,946.982806
2045,605.805448,826.835858,974.708962
2046,625.986138,851.897884,1002.074323
2047,646.125692,876.750501,1029.067929
2048,666.215157,901.382006,1055.676944
2049,686.245254,925.780324,1081.888128
2050,706.207217,949.934131,1107.689137
2051,710.908466,955.906793,1114.317394
2052,715.560590,961.808776,1120.858838
2053,720.162029,967.638102,1127.311280
2054,724.711037,973.392552,1133.672261
2055,729.207238,979.071706,1139.941378
2056,733.650986,984.676108,1146.119332
2057,738.045546,990.210098,1152.211127
2058,742.397409,995.682200,1158.226489
2059,746.715173,1001.103669,1164.178232
2060,751.006375,1006.484380,1170.077604
