Year,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America
2012,520.9940639269407,174.33333333333334,714.8872146118722,227.43196347031954,215.46757990867582
2013,526.167694063927,175.63333333333333,731.1361872146119,241.37203196347025,219.51586757990867
2014,531.3413242009133,176.93333333333334,747.3851598173517,255.31210045662093,223.56415525114156
2015,536.5149543378996,178.23333333333335,763.6341324200914,269.2521689497716,227.61244292237444
2016,535.7,178.2,769.1,302.4,230.8
2017,536.9470588235296,176.76764705882357,776.3235294117648,309.6588235294118,237.00588235294117
2018,538.194117647059,175.53529411764708,783.5470588235295,316.91764705882355,243.21176470588233
2019,539.4411764705884,174.30294117647063,790.7705882352942,324.1764705882353,249.41764705882352
2020,540.6882352941178,173.07058823529414,797.9941176470589,331.43529411764706,255.6235294117647
2021,541.9352941176472,171.83823529411768,805.2176470588237,338.6941176470588,261.82941176470587
2022,543.1823529411766,170.6058823529412,812.4411764705883,345.95294117647063,268.035294117647
2023,544.4294117647061,169.37352941176474,819.664705882353,353.2117647058824,274.24117647058824
2024,545.6764705882355,168.14117647058828,826.8882352941177,360.47058823529414,280.4470588235294
2025,546.9235294117649,166.9088235294118,834.1117647058825,367.7294117647059,286.65294117647056
2026,548.1705882352943,165.67647058823533,841.3352941176472,374.98823529411766,292.8588235294118
2027,549.4176470588237,164.44411764705885,848.5588235294118,382.2470588235294,299.06470588235294
2028,550.6647058823531,163.2117647058824,855.7823529411766,389.50588235294117,305.2705882352941
2029,551.9117647058825,161.9794117647059,863.0058823529413,396.764705882353,311.4764705882353
2030,553.158823529412,160.74705882352944,870.229411764706,404.02352941176474,317.6823529411765
2031,554.4058823529413,159.51470588235296,877.4529411764706,411.2823529411765,323.88823529411764
2032,555.6529411764707,158.2823529411765,884.6764705882354,418.5411764705883,330.0941176470588
2033,556.9000000000001,157.05,891.9000000000001,425.80000000000007,336.3
2034,558.1470588235295,155.81764705882355,899.1235294117648,433.0588235294118,342.50588235294117
2035,559.3941176470589,154.5852941176471,906.3470588235296,440.3176470588236,348.71176470588233
2036,560.6411764705883,153.3529411764706,913.5705882352943,447.57647058823534,354.9176470588235
2037,561.8882352941177,152.12058823529415,920.7941176470589,454.8352941176471,361.1235294117647
2038,563.1352941176472,150.88823529411766,928.0176470588236,462.09411764705885,367.32941176470587
2039,564.3823529411766,149.6558823529412,935.2411764705884,469.3529411764706,373.535294117647
2040,565.629411764706,148.42352941176472,942.4647058823531,476.6117647058824,379.74117647058824
2041,566.8764705882354,147.19117647058826,949.6882352941177,483.8705882352942,385.9470588235294
2042,568.1235294117648,145.9588235294118,956.9117647058824,491.12941176470594,392.15294117647056
2043,569.3705882352942,144.72647058823532,964.1352941176472,498.38823529411775,398.3588235294118
2044,570.6176470588236,143.49411764705886,971.3588235294119,505.6470588235295,404.56470588235294
2045,571.8647058823531,142.26176470588237,978.5823529411766,512.9058823529413,410.7705882352941
2046,573.1117647058825,141.0294117647059,985.8058823529414,520.164705882353,416.9764705882353
2047,574.3588235294119,139.79705882352943,993.029411764706,527.4235294117648,423.1823529411765
2048,575.6058823529413,138.56470588235297,1000.2529411764707,534.6823529411765,429.38823529411764
2049,576.8529411764707,137.3323529411765,1007.4764705882354,541.9411764705883,435.59411764705885
2050,578.1,136.1,1014.7,549.2,441.8
2051,579.3470588235296,134.86764705882354,1021.9235294117648,556.4588235294118,448.00588235294117
2052,580.594117647059,133.63529411764708,1029.1470588235295,563.7176470588236,454.2117647058824
2053,581.8411764705884,132.40294117647062,1036.3705882352942,570.9764705882353,460.4176470588235
2054,583.0882352941178,131.17058823529413,1043.594117647059,578.2352941176472,466.6235294117647
2055,584.3352941176472,129.93823529411767,1050.8176470588237,585.4941176470589,472.82941176470587
2056,585.5823529411766,128.7058823529412,1058.0411764705884,592.7529411764707,479.035294117647
2057,586.829411764706,127.47352941176473,1065.2647058823532,600.0117647058825,485.24117647058824
2058,588.0764705882355,126.24117647058826,1072.4882352941177,607.2705882352942,491.4470588235294
2059,589.3235294117649,125.00882352941179,1079.7117647058826,614.529411764706,497.65294117647056
2060,590.5705882352943,123.77647058823531,1086.9352941176471,621.7882352941178,503.8588235294118
