Year,India
2012,116.30328783871184
2013,129.3274658790339
2014,142.35164391935592
2015,155.37582195967795
2016,168.4
2017,172.64516129032256
2018,176.89032258064512
2019,181.1354838709677
2020,185.3806451612903
2021,189.62580645161287
2022,193.87096774193546
2023,198.11612903225802
2024,202.3612903225806
2025,206.6064516129032
2026,210.85161290322577
2027,215.09677419354836
2028,219.34193548387094
2029,223.58709677419353
2030,227.8322580645161
2031,232.0774193548387
2032,236.32258064516125
2033,240.56774193548384
2034,244.81290322580642
2035,249.05806451612898
2036,253.30322580645156
2037,257.54838709677415
2038,261.79354838709673
2039,266.0387096774193
2040,270.2838709677419
2041,274.5290322580645
2042,278.7741935483871
2043,283.01935483870966
2044,287.26451612903224
2045,291.50967741935483
2046,295.7548387096774
2047,300.0
2048,304.2451612903226
2049,308.49032258064517
2050,312.7354838709677
2051,316.9806451612903
2052,321.22580645161287
2053,325.47096774193545
2054,329.71612903225804
2055,333.9612903225806
2056,338.20645161290315
2057,342.45161290322574
2058,346.6967741935483
2059,350.9419354838709
2060,355.1870967741935
