Year,PDS1,PDS2,PDS3
2014,826.151838,826.151838,826.151838
2015,837.161930,837.161930,837.161930
2016,848.099839,848.099839,848.099839
2017,858.961023,858.961023,858.961023
2018,869.733607,869.733607,869.733607
2019,880.411760,880.411760,880.411760
2020,890.991228,890.991228,890.991228
2021,901.459927,901.459927,901.459927
2022,911.812521,911.812521,911.812521
2023,922.061986,922.061986,922.061986
2024,932.229536,932.229536,932.229536
2025,942.332109,942.332109,942.332109
2026,952.373479,952.373479,952.373479
2027,962.352112,962.352112,962.352112
2028,972.274107,972.274107,972.274107
2029,982.145704,982.145704,982.145704
2030,991.972221,991.972221,991.972221
2031,1000.099749,1000.099749,1000.099749
2032,1008.163727,1008.163727,1008.163727
2033,1016.167158,1016.167158,1016.167158
2034,1024.112284,1024.112284,1024.112284
2035,1032.000678,1032.000678,1032.000678
2036,1039.833952,1039.833952,1039.833952
2037,1047.612588,1047.612588,1047.612588
2038,1055.335157,1055.335157,1055.335157
2039,1062.999119,1062.999119,1062.999119
2040,1070.601966,1070.601966,1070.601966
2041,1078.142770,1078.142770,1078.142770
2042,1085.620114,1085.620114,1085.620114
2043,1093.030109,1093.030109,1093.030109
2044,1100.367954,1100.367954,1100.367954
2045,1107.629417,1107.629417,1107.629417
2046,1114.812564,1114.812564,1114.812564
2047,1121.915653,1121.915653,1121.915653
2048,1128.934908,1128.934908,1128.934908
2049,1135.866223,1135.866223,1135.866223
2050,1142.706508,1142.706508,1142.706508
2051,1149.455836,1149.455836,1149.455836
2052,1156.114451,1156.114451,1156.114451
2053,1162.680122,1162.680122,1162.680122
2054,1169.150349,1169.150349,1169.150349
2055,1175.524739,1175.524739,1175.524739
2056,1181.804035,1181.804035,1181.804035
2057,1187.993378,1187.993378,1187.993378
2058,1194.102750,1194.102750,1194.102750
2059,1200.145284,1200.145284,1200.145284
2060,1206.132512,1206.132512,1206.132512
