Year,World
2012,44.831749
2013,45.099481
2014,45.346352
2015,45.573771
2016,46.000000
2017,45.975584
2018,46.152484
2019,46.314939
2020,46.464036
2021,46.600794
2022,46.726168
2023,46.841051
2024,46.946273
2025,47.000000
2026,47.130774
2027,47.211436
2028,47.285210
2029,47.352664
2030,47.414325
2031,47.470676
2032,47.522163
2033,47.569197
2034,47.612156
2035,47.651385
2036,47.687203
2037,47.719903
2038,47.749751
2039,47.776994
2040,47.801856
2041,47.824544
2042,47.845245
2043,47.864132
2044,47.881363
2045,47.897081
2046,47.911420
2047,47.924498
2048,47.936427
2049,47.947307
2050,47.957229
2051,47.966278
2052,47.974531
2053,47.982056
2054,47.988918
2055,47.995176
2056,48.000882
2057,48.006084
2058,48.010828
2059,48.015154
2060,48.019098
