Year,India
2012,116.30328783871184
2013,129.3274658790339
2014,142.35164391935592
2015,155.37582195967795
2016,168.4
2017,189.53524885017947
2018,206.44156534097016
2019,223.34788183176084
2020,240.25419832255153
2021,257.1605148133422
2022,274.0668313041329
2023,290.9731477949236
2024,307.8794642857143
2025,324.78578077650496
2026,341.6920972672957
2027,358.5984137580864
2028,375.5047302488771
2029,392.41104673966777
2030,409.31736323045845
2031,426.22367972124914
2032,443.1299962120398
2033,460.0363127028305
2034,476.9426291936212
2035,493.8489456844119
2036,510.7552621752026
2037,527.6615786659933
2038,544.567895156784
2039,561.4742116475746
2040,578.3805281383653
2041,595.286844629156
2042,612.1931611199467
2043,629.0994776107374
2044,646.0057941015281
2045,662.9121105923188
2046,679.8184270831094
2047,696.7247435739001
2048,713.6310600646908
2049,730.5373765554815
2050,747.4436930462722
2051,764.3500095370629
2052,781.2563260278536
2053,798.1626425186442
2054,815.0689590094349
2055,831.9752755002256
2056,848.8815919910163
2057,865.787908481807
2058,882.6942249725977
2059,899.6005414633884
2060,916.506857954179
