Year,World
2014,1773.333333
2015,1891.666667
2016,2010
2017,2111.092026
2018,2147.661998
2019,2184.031331
2020,2220.618411
2021,2256.086235
2022,2292.06705
2023,2327.812153
2024,2363.323556
2025,2397.574967
2026,2442.041918
2027,2489.111805
2028,2535.946842
2029,2582.551921
2030,2631.964315
2031,2675.091844
2032,2720.102413
2033,2764.905277
2034,2809.513567
2035,2854.063833
2036,2898.159542
2037,2942.230649
2038,2986.174172
2039,3030.010493
2040,3070.268257
2041,3117.323775
2042,3159.689457
2043,3202.034628
2044,3244.384711
2045,3286.870911
2046,3329.08709
2047,3371.081686
2048,3412.937941
2049,3454.663024
2050,3495.571562
2051,3537.748349
2052,3579.12293
2053,3620.395015
2054,3661.571773
2055,3702.660374
2056,3743.667987
2057,3784.60178
2058,3825.468922
2059,3866.276584
2060,3907.031933
