Year,EU
2012,239.73886319020514
2013,240.02663764265384
2014,240.31441209510257
2015,240.6021865475513
2016,240.889961
2017,241.17773545244873
2018,241.46550990489743
2019,281.6000000000001
2020,284.7200000000001
2021,287.8400000000001
2022,290.9600000000001
2023,294.0800000000001
2024,297.2000000000001
2025,300.3200000000001
2026,303.4400000000001
2027,306.5600000000001
2028,309.6800000000001
2029,312.8000000000001
2030,315.92000000000013
2031,319.04000000000013
2032,322.16000000000014
2033,325.28000000000014
2034,328.40000000000015
2035,331.52000000000015
2036,334.64000000000016
2037,337.76000000000016
2038,340.88000000000017
2039,344.00000000000017
2040,347.1200000000002
2041,350.2400000000002
2042,353.3600000000002
2043,356.4800000000002
2044,359.6000000000002
2045,362.7200000000002
2046,365.84000000000015
2047,368.96000000000015
2048,372.08000000000015
2049,375.20000000000016
2050,378.32000000000016
2051,381.44000000000017
2052,384.5600000000002
2053,387.6800000000002
2054,390.8000000000002
2055,393.9200000000002
2056,397.0400000000002
2057,400.1600000000002
2058,403.2800000000002
2059,406.4000000000002
2060,409.5200000000002
