Year,USA
2012,228.87370365
2013,231.39567795000002
2014,234.416604
2015,237.78226035
2016,242.05510170000002
2017,242.93507115
2018,274.17358264546
2019,279.5166566002281
2020,285.39754278236353
2021,291.81624119186625
2022,298.77275182873626
2023,306.26707469297355
2024,314.2992097845781
2025,322.86915710355004
2026,331.9769166498892
2027,341.62248842359566
2028,351.80587242466936
2029,362.5270686531104
2030,373.7860771089188
2031,385.5828977920944
2032,397.9175307026373
2033,410.7899758405475
2034,424.200233205825
2035,438.1483027984698
2036,452.6341846184818
2037,467.6578786658612
2038,483.2193849406078
2039,499.3187034427218
2040,515.955834172203
2041,533.1307771290516
2042,550.8435323132674
2043,569.0940997248505
2044,587.8824793638009
2045,607.2086712301186
2046,627.0726753238035
2047,647.4744916448558
2048,668.4141201932754
2049,689.8915609690623
2050,711.9068139722164
2051,734.4598792027377
2052,757.5507566606266
2053,781.1794463458825
2054,805.3459482585058
2055,830.0502623984964
2056,855.2923887658542
2057,881.0723273605795
2058,907.3900781826719
2059,934.2456412321317
2060,961.6390165089588
