Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America
2012,1536.6666666666667,520.9940639269407,174.33333333333334,714.8872146118722,227.43196347031954,215.46757990867582
2013,1655.0,526.167694063927,175.63333333333333,731.1361872146119,241.37203196347025,219.51586757990867
2014,1773.3333333333333,531.3413242009133,176.93333333333334,747.3851598173517,255.31210045662093,223.56415525114156
2015,1891.6666666666665,536.5149543378996,178.23333333333335,763.6341324200914,269.2521689497716,227.61244292237444
2016,2009.9999999999998,535.7,178.2,769.1,302.4,230.8
2017,2053.824200913242,546.8622146118722,180.83333333333334,796.1320776255709,306.73618721461185,235.70901826484018
2018,2094.6803652968038,552.0358447488585,182.13333333333333,812.3810502283106,311.07237442922366,239.75730593607307
2019,2135.536529680365,557.2094748858448,183.43333333333334,828.6300228310503,325.01244292237436,243.80559360730595
2020,2176.3926940639267,562.383105022831,184.73333333333335,844.87899543379,338.952511415525,247.8538812785388
2021,2217.2488584474886,567.5567351598173,186.03333333333333,861.1279680365298,352.8925799086757,251.9021689497717
2022,2258.10502283105,572.7303652968037,187.33333333333334,877.3769406392695,366.8326484018264,255.95045662100458
2023,2298.961187214612,577.90399543379,188.63333333333335,893.6259132420092,380.7727168949771,259.99874429223746
2024,2339.8173515981734,583.0776255707763,189.93333333333334,909.874885844749,394.7127853881278,264.0470319634703
2025,2380.6735159817354,588.2512557077625,191.23333333333335,926.1238584474886,408.6528538812785,268.0953196347032
2026,2421.529680365297,593.4248858447488,192.53333333333336,942.3728310502283,422.5929223744291,272.1436073059361
2027,2462.3858447488583,598.5985159817352,193.83333333333334,958.6218036529681,436.5329908675799,276.19189497716894
2028,2503.24200913242,603.7721461187215,195.13333333333335,974.8707762557078,450.47305936073053,280.24018264840186
2029,2544.0981735159817,608.9457762557078,196.43333333333334,991.1197488584476,464.41312785388124,284.2884703196347
2030,2590.0,624.3,200.0,1007.3687214611873,478.35319634703194,289.8
2031,2625.810502283105,624.3833333333333,199.03333333333336,1023.617694063927,492.2932648401826,292.3850456621004
2032,2666.6666666666665,624.4666666666667,200.33333333333334,1039.8666666666668,506.2333333333333,296.43333333333334
2033,2707.5228310502284,629.640296803653,201.63333333333335,1056.1156392694065,520.173401826484,300.4816210045662
2034,2748.37899543379,634.8139269406392,202.93333333333334,1072.3646118721463,534.1134703196346,304.5299086757991
2035,2789.235159817352,639.9875570776255,204.23333333333335,1088.613584474886,548.0535388127853,308.57819634703196
2036,2830.0913242009133,645.1611872146118,205.53333333333336,1104.8625570776258,561.993607305936,312.6264840182648
2037,2870.9474885844747,650.3348173515982,206.83333333333334,1121.1115296803655,575.9336757990867,316.67477168949773
2038,2911.8036529680367,655.5084474885845,208.13333333333335,1137.3605022831052,589.8737442922373,320.7230593607306
2039,2952.659817351598,660.6820776255707,209.43333333333334,1153.609474885845,603.8138127853881,324.7713470319635
2040,2993.5159817351596,665.855707762557,210.73333333333335,1169.8584474885847,617.7538812785388,328.81963470319636
2041,3034.3721461187215,671.0293378995434,212.03333333333336,1186.1074200913242,631.6939497716895,332.8679223744292
2042,3075.2283105022834,676.2029680365297,213.33333333333337,1202.356392694064,645.6340182648402,336.91621004566207
2043,3116.084474885845,681.376598173516,214.63333333333335,1218.6053652968037,659.5740867579908,340.964497716895
2044,3156.9406392694063,686.5502283105022,215.93333333333337,1234.8543378995435,673.5141552511416,345.01278538812784
2045,3197.7968036529683,691.7238584474885,217.23333333333335,1251.1033105022832,687.4542237442922,349.06107305936075
2046,3238.6529680365297,696.8974885844748,218.53333333333336,1267.352283105023,701.3942922374429,353.1093607305936
2047,3279.509132420091,702.0711187214612,219.83333333333337,1283.6012557077627,715.3343607305936,357.15764840182646
2048,3320.365296803653,707.2447488584475,221.13333333333335,1299.8502283105024,729.2744292237443,361.2059360730593
2049,3361.2214611872146,712.4183789954337,222.43333333333337,1316.0992009132422,743.2144977168949,365.25422374429223
2050,3400.0,713.4,222.8,1324.8,770.6,368.7
2051,3442.933789954338,722.7656392694064,225.03333333333336,1348.5971461187214,777.8173515981734,373.350799086758
2052,3483.7899543379,727.9392694063927,226.33333333333337,1364.8461187214612,785.034703196347,377.39908675799086
2053,3524.6461187214613,733.112899543379,227.63333333333338,1381.095091324201,798.9747716894976,381.4473744292237
2054,3565.502283105023,738.2865296803652,228.93333333333337,1397.3440639269406,812.9148401826484,385.4956621004566
2055,3606.3584474885847,743.4601598173515,230.23333333333335,1413.5930365296804,826.854908675799,389.5439497716895
2056,3647.214611872146,748.6337899543378,231.53333333333336,1429.8420091324201,840.7949771689497,393.5922374429224
2057,3688.0707762557076,753.8074200913242,232.83333333333337,1446.0909817351599,854.7350456621004,397.64052511415525
2058,3728.9269406392696,758.9810502283104,234.13333333333338,1462.3399543378996,868.6751141552511,401.6888127853881
2059,3769.7831050228315,764.1546803652967,235.43333333333337,1478.5889269406393,882.6151826484017,405.73710045662096
2060,3810.6392694063925,769.328310502283,236.73333333333338,1494.837899543379,896.5552511415525,409.7853881278539
